キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
A.K.I.	通常技	立ち弱P （蛇突）		弱P	5	5-6		7	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
A.K.I.	通常技	立ち弱K （蛇咬脚）		弱K	4	4-6		12	3	-3	C	300	始動補正20%	250	-500	-2000	300	上	
A.K.I.	通常技	立ち中P （蛇咬手）		中P	6	6-10		14	3	-3	C	600		1500	-3000	-4000	500	上	ガード、空振り時硬直2F増加
A.K.I.	通常技	立ち中K （蛇蝎蹴）		中K	8	8-10		15	6	-2		700		2000	-4000	-6000	700	上	空振り時硬直2F増加
A.K.I.	通常技	立ち強P （蛇突牙）		強P	12	12-14		21	1	-4		800		3000	-5000	-8000	1000	上	
A.K.I.	通常技	立ち強K （蛇旋脚）		強K	9	9-12		19	4	-3	C	800		2000	-5000	-8000	1000	上	強制立ち効果|パニッシュカウンター時+12F
A.K.I.	通常技	しゃがみ弱P （潜蛇突）		↓ + 弱P	4	4-5		9	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
A.K.I.	通常技	しゃがみ弱K （蹴突蛇）		↓ + 弱K	5	5-7		8	3	-2		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
A.K.I.	通常技	しゃがみ中P （蛇伸突）		↓ + 中P	7	7-9		18	1	-3	C	600		1500	-3000	-4000	500	上	
A.K.I.	通常技	しゃがみ中K （蛇落蹴）		↓ + 中K	7	7-9		16	5	1	SA	600	始動補正20%	1000	-2000	-4000	600	下	
A.K.I.	通常技	しゃがみ強P （修蛇）		↓ + 強P	10	10-12		28	D	-8		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
A.K.I.	通常技	しゃがみ強K （蛇尾脚）		↓ + 強K	10	10-15		20	0	-3	SA	900		3000	-6000	-10000	1000	上	パニッシュカウンター時吹き飛びダウン
A.K.I.	通常技	ジャンプ弱P （空蛇突）	（ジャンプ中に）	弱P	5	5-13		着地後3				300		500	-1500	-2000	300	中	
A.K.I.	通常技	ジャンプ弱K （空蛇蹴）	（ジャンプ中に）	弱K	5	5-10		着地後3				300		500	-1500	-2000	300	中	めくり性能
A.K.I.	通常技	ジャンプ中P （回旋蛇）	（ジャンプ中に）	中P	7	7-10		着地後3				700		1000	-3000	-4000	500	中	空中ヒット時吹き飛びダウン
A.K.I.	通常技	ジャンプ中K （蛇天蹴）	（ジャンプ中に）	中K	7	7-12		着地後3				600		1000	-2500	-4000	500	中	
A.K.I.	通常技	ジャンプ強P （騰空双蛇突）	（ジャンプ中に）	強P	11	11-16		着地後3				800		2000	-4000	-5000	1000	中	空中カウンター/パニッシュカウンター時叩きつけダウン
A.K.I.	通常技	ジャンプ強K （騰空双蹴蛇）	（ジャンプ中に）	強K	8	8-15		着地後3				800		2000	-4000	-5000	1000	中	
A.K.I.	特殊技	蒲牢		↘ + 中P	24	24-26		18	3	-3		600		1500	-2500	-4000	500	中	
A.K.I.	特殊技	螭吻		→ + 強P	16	16-18		21	3	-4	SA	900		3000	-6000	-6000	1000	上	ヒット、ガード時硬直1F減少
A.K.I.	特殊技	囚牛		→ + 強K	14	14-24	14-16, 22-24	16	4	2		800	始動補正20%	3000	-4000	-10000	1000	上	空振り時硬直8F増加
A.K.I.	特殊技	蚣蝮	（前ジャンプ中に）	↓ + 強P	9	9-13		着地後3				800	始動補正20%	2000	-4000	-5000	1000	中	空中ヒット時叩きつけダウン
A.K.I.	特殊技	渾沌 （2段目）		弱P⇒弱P	8	8-9		15	1	-3	C	300		500	-1000	-4000	400	上	
