キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
ブランカ	通常技	立ち弱P （ベアアタック）		弱P	5	5-7		10	3	-3	C	300	始動補正20%	250	-500	-2000	300	上	
ブランカ	通常技	立ち弱K （ビーストキック）		弱K	4	4-7		7	5	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ブランカ	通常技	立ち中P （ビーストチョップ）		中P	10	10-12		15	3	-4	SA	700		2000	-4000	-6000	500	上	
ブランカ	通常技	立ち中K （ブラッディーテイル）		中K	8	8-10		17	5	-2	C	600		2000	-3000	-6000	700	上	※空振り時硬直3F増加
ブランカ	通常技	立ち強P （ジャングルアーチ）		強P	10	10-16		22	3	-3	C	800		2000	-5000	-8000	1000	上	強制立ち効果
ブランカ	通常技	立ち強K （ワイルドダンス）		強K	7	7-15		18	6	-4		800		3000	-4000	-10000	1000	上	空中カウンター、空中パニッシュカウンター時吹き飛びダウン|強制立ち効果
ブランカ	通常技	しゃがみ弱P （キャットクロー）		↓ + 弱P	6	6-8		8	5	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ブランカ	通常技	しゃがみ弱K （ジャングルトラップ）		↓ + 弱K	5	5-6		10	3	-3		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
ブランカ	通常技	しゃがみ中P （ベアクロー）		↓ + 中P	9	9-13		16	-1	-5	C	600		1500	-3000	-4000	500	上	
ブランカ	通常技	しゃがみ中K （ビーストステップ）		↓ + 中K	8	8-10		※16	5	-5	C	500	始動補正20%	1000	-2000	-4000	600	下	※ガード、空振り時硬直2F増加
ブランカ	通常技	しゃがみ強P （スネークアッパー）		↓ + 強P	15	15-19		20	0	-5		900		4000	-6000	-10000	1000	上	カウンター/パニッシュカウンター時吹き飛びダウン|強制立ち効果
ブランカ	通常技	しゃがみ強K （ビーストテイル）		↓ + 強K	11	11-14		23	D	-12		900		2000	-5000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
ブランカ	通常技	ジャンプ弱P （パンサークロー）	（ジャンプ中に）	弱P	4	4-8		着地後3				300		500	-1500	-2000	300	中	
ブランカ	通常技	ジャンプ弱K （フライングヴァイパー）	（ジャンプ中に）	弱K	5	5-10		着地後3				300		500	-1500	-2000	300	中	
ブランカ	通常技	ジャンプ中P （フィストドロップ）	（ジャンプ中に）	中P	7	7-13		着地後3			C	700		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
ブランカ	通常技	ジャンプ中K （ワイルドヒール）	（ジャンプ中に）	中K	7	7-12		着地後3				500		1000	-2500	-4000	500	中	めくり性能
ブランカ	通常技	ジャンプ強P （サバイバルクロー）	（ジャンプ中に）	強P	9	9		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時叩き付けダウン
ブランカ	通常技	ジャンプ強K （サバイバルキック）	（ジャンプ中に）	強K	11	11-16		着地後3				800		2000	-4000	-5000	1000	中	
ブランカ	通常技	垂直ジャンプ強P （サバイバルクロー (垂直)）	（垂直ジャンプ中に）	強P	7	7-9		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時吹き飛びダウン
ブランカ	特殊技	ロッククラッシュ		→ + 中P	20	20-22		20	3	-3		600		1500	-2500	-5000	500	※中上	※初段が空振り時のみ2段目が中段判定
ブランカ	特殊技	ダブルニーボンバー		→ + 中K	9	9-20	9-11, 19-20	18	6	-2		600		2000	-2000	-3000	500	上	初段が空中ヒット時吹き飛びダウン|強制立ち効果
ブランカ	特殊技	ワイルドエッジ		← + 中K	9	9-14		12	8	2	C	600		1500	-3000	-4000	500	上	
ブランカ	特殊技	ワイルドネイル		→ + 強P	18	18-21		31	D	-15	※	1100	始動補正20%	3000	-6000	-10000	1000	上	※33-34F フィアーダウンへ派生可|パニッシュカウンターで以下の性能変化|・地上ヒット時膝崩れ|・空中ヒット時床バウンド
ブランカ	特殊技	アマゾンリバーラン		↘ + 強P	14	14-23		22	D	-18		1000		2000	-4000	-7000	1000	下	パニッシュカウンター時ハードノックダウン
ブランカ	特殊技	フィアーダウン		↓ + PP				全体 98				0		0	0	0	0		動作中に下方向入力を続けた場合伏せ部分の動作を48F延長可|伏せ動作中に上方向入力で動作を中断可|18F-111F(最延長時) 専用技及びサプライズフォワード、サプライズバックへ派生可
ブランカ	特殊技	ワイルドリフト	（フィアーダウン中に）	P	8	8-14		31	D	-21		600		1000	-3000	-4000	500	上	
ブランカ	特殊技	レイドジャンプ	（フィアーダウン中に）	K				43+着地後12				0		0	0	0	0		9-43F 空中判定|15-43F 空中での通常技及び必殺技へ派生可
ブランカ	特殊技	サプライズフォワード		→ + KKK				全体 27				0		0	0	0	0		必殺技キャンセル可能な通常技及び特殊技からキャンセル可能
