キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
キャミィ	通常技	立ち弱P（フーリガンジャブ）		弱P	4	4-6		7	5	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
キャミィ	通常技	立ち弱K（フーリガンローキック）		弱K	5	5-7		10	2	-3	C	300	始動補正20%	250	-500	-2000	300	上	
キャミィ	通常技	立ち中P（フーリガンストレート）		中P	6	6-9		13	6	-1		600		1500	-3000	-4000	500	上	
キャミィ	通常技	立ち中K（トゥースマッシュ）		中K	8	8-10		18	3	-4		700		2000	-4000	-6000	700	上	
キャミィ	通常技	立ち強P（スイングナックル）		強P	8	8-10		20	2	-3	C	800		2000	-4000	-8000	1000	上	
キャミィ	通常技	立ち強K（スティールスライサー）		強K	11	11-13		21	2	-3		900		3000	-6000	-10000	1200	上	パニッシュカウンター時吹き飛びダウン|空振り時のみ硬直が2F増加
キャミィ	通常技	しゃがみ弱P（ラピッドショット）		↓ + 弱P	4	4-5		8	5	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
キャミィ	通常技	しゃがみ弱K（スタンレイピア）		↓ + 弱K	5	5-7		7	3	-2		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
キャミィ	通常技	しゃがみ中P（ライトグレネード）		↓ + 中P	7	7-9		14	5	-2	C	600		1500	-3000	-4000	500	上	空振り時硬直3F増加
キャミィ	通常技	しゃがみ中K（トゥーバズソー）		↓ + 中K	8	8-10		18	1	-5	C	500	始動補正20%	1000	-2000	-4000	500	下	
キャミィ	通常技	しゃがみ強P（トーピードーシェル）		↓ + 強P	10	10-13		15	7	1		700		2500	-5000	-8000	1000	上	強制立ち効果
キャミィ	通常技	しゃがみ強K（グランドスイープ）		↓ + 強K	9	9-11		24	D	-10		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン|空中ヒット時吹き飛びダウン
キャミィ	通常技	ジャンプ弱P（ダガーショット）	（ジャンプ中に）	弱P	4	4-13		着地後3				300		500	-1500	-2000	300	中	
キャミィ	通常技	ジャンプ弱K（レイダーニー）	（ジャンプ中に）	弱K	4	4-13		着地後3				300		500	-1500	-2000	300	中	めくり性能
キャミィ	通常技	ジャンプ中P（アラウンドブレード）	（ジャンプ中に）	中P	6	6-13		着地後3			C	600		1200	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
キャミィ	通常技	ジャンプ中K（スナイピングスピア）	（ジャンプ中に）	中K	7	7-12		着地後3				600		1200	-2500	-4000	700	中	
キャミィ	通常技	ジャンプ強P（フィストボム）	（ジャンプ中に）	強P	8	8-12		着地後3				800		2500	-4000	-7000	1000	中	空中ヒット時叩きつけダウン
キャミィ	通常技	ジャンプ強K（クリティカルストライク）	（ジャンプ中に）	強K	10	10-15		着地後3				800		2500	-4000	-7000	1000	中	
キャミィ	特殊技	リフトアッパー		← + 中P	5	5-9		12	4	-1	C	500		1500	-3000	-4000	500	上	
キャミィ	特殊技	ディレイリーパー		→ + 強K	18	18-20		25	D	-12	C	800	始動補正20%	3000	-4000	-10000	1000	上	ヒット時硬直5F減少|パニッシュカウンター時吹き飛び時間増加
キャミィ	特殊技	アサルトブレード		← + 強K	9	9-11		18	D	-7	C※	800	始動補正20%	2500	-5000	-10000	1000	上	ヒット時のみジャンプキャンセル可能
キャミィ	特殊技	リフトコンビネーション		←+中P⇒強K	9	9-11		23	D	-12	C※	600		2000	-3000	-7000	700	上	ヒット時のみジャンプキャンセル可能
