キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
春麗	通常技	立ち弱P（手突）		弱P	4	4-6		7	5	-3	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
春麗	通常技	立ち弱K（斧刃脚）		弱K	5	5-7		10	2	-2	C	300	始動補正20%	250	-500	-2000	300	上	
春麗	通常技	立ち中P（頸穿刀）		中P	5	5-8		10	6	1	C	600		1500	-3000	-4000	600	上	
春麗	通常技	立ち中K（外擺脚）		中K	7	7-10		16	4	-2	C	500		1500	-3000	-4000	700	上	
春麗	通常技	立ち強P（顎狙突拳）		強P	13	13-15		20	2	-3	※	800		4000	-6000	-8000	800	上	ヒット・ガード時、行雲流水でキャンセル可能
春麗	通常技	立ち強K（前周脚）		強K	14	14-16		18	4	0	※	900	始動補正20%	3000	-6000	-10000	1000	上	ヒット・ガード時、行雲流水でキャンセル可能|空中ヒット時吹き飛びダウン
春麗	通常技	しゃがみ弱P（尖打）		↓ + 弱P	4	4-6		7	4	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
春麗	通常技	しゃがみ弱K（前掃腿）		↓ + 弱K	4	4-5		10	0	-2	C	200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
春麗	通常技	しゃがみ中P（丹頂拳）		↓ + 中P	6	6-9		13	4	-2	C	600		1500	-3000	-4000	600	上	空振り時硬直1F増加
春麗	通常技	しゃがみ中K（後掃旋腿）		↓ + 中K	7	7-9		19	-2	-6	C	500	始動補正20%	1000	-2000	-4000	500	下	
春麗	通常技	しゃがみ強P（孔雀掌）		↓ + 強P	11	11-23	11-13, 19-23	18	1	-3	C	900		2000	-5000	-8000	1000	上	強制立ち効果|初段のみ空中ヒット時吹き飛びダウン
春麗	通常技	しゃがみ強K（元伝暗殺蹴）		↓ + 強K	9	9-14		19	D	-9	※	900		3000	-4000	-10000	1000	下	※ヒット・ガード時、行雲流水でキャンセル可能|パニッシュカウンター時ダウン時間増加、ハードノックダウン|空中ヒット時吹き飛びダウン
春麗	通常技	ジャンプ弱P（鶴嘴拳）	（ジャンプ中に）	弱P	4	4-13		着地後3				300		500	-1500	-2000	300	中	
春麗	通常技	ジャンプ弱K（鶴脚打）	（ジャンプ中に）	弱K	4	4-11		着地後3				300		500	-1500	-2000	300	中	
春麗	通常技	ジャンプ中P（落昇旋）	（ジャンプ中に）	中P	7	7-21	7-10, 17-21	着地後3			C	600		1000	-1250	-4000	500	中中	空中ヒット時吹き飛びダウン
春麗	通常技	ジャンプ中K（飛翔脚）	（ジャンプ中に）	中K	6	6-10		着地後3				500		1000	-2500	-4000	500	中	めくり性能
春麗	通常技	ジャンプ強P（鷹嘴拳）	（ジャンプ中に）	強P	9	9-14		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時吹き飛びダウン
春麗	通常技	ジャンプ強K（鷹翔脚）	（ジャンプ中に）	強K	8	8-14		着地後3				800		2000	-4000	-5000	1000	中	
春麗	通常技	垂直ジャンプ強K（鶴翼脚）	（垂直ジャンプ中に）	強K	8	8-12		着地後3				800		2000	-4000	-5000	1000	中	めくり性能
