キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
C.ヴァイパー	通常技	立ち弱P（スナップナックル）		弱P	4	4-6		8	4	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応|ハイジャンプキャンセル可能
C.ヴァイパー	通常技	立ち弱K（ヒールキック）		弱K	5	5-7		11	3	-2	C	300	始動補正20%	250	-500	-2000	300	上	ハイジャンプキャンセル可能
C.ヴァイパー	通常技	立ち中P（ハンマーフック）		中P	8	8-11		12	6	1	C	600		1500	-3000	-4000	500	上	ハイジャンプキャンセル可能
C.ヴァイパー	通常技	立ち中K（フロントキック）		中K	8	8-10		18	4	-3		700		2000	-4000	-6000	700	上	空振り時硬直2F増加|ハイジャンプキャンセル可能
C.ヴァイパー	通常技	立ち強P（トマホークチョップ）		強P	12	12-14		21	3	-2		900		3000	-6000	-10000	1000	上	ハイジャンプキャンセル可能
C.ヴァイパー	通常技	立ち強K（ヴァイパーブレード）		強K	10	10-13		20	4	-3		900		3000	-6000	-10000	1000	上	空中ヒット時床バウンド|パニッシュカウンター時+19|ハイジャンプキャンセル可能
C.ヴァイパー	通常技	しゃがみ弱P（ジャブ）		↓ + 弱P	4	4-6		8	5	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応|ハイジャンプキャンセル可能
C.ヴァイパー	通常技	しゃがみ弱K（クラウチングヒールキック）		↓ + 弱K	5	5-6		9	4	-1		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応|ハイジャンプキャンセル可能
C.ヴァイパー	通常技	しゃがみ中P（ヴァイパーブロー）		↓ + 中P	6	6-9		16	5	-2	C	600		1500	-3000	-4000	500	上	ハイジャンプキャンセル可能
C.ヴァイパー	通常技	しゃがみ中K（グランドキック）		↓ + 中K	8	8-10		17	5	-1		600	始動補正20%	2000	-3000	-5000	600	下	ハイジャンプキャンセル可能
C.ヴァイパー	通常技	しゃがみ強P（ヴァイパースライサー）		↓ + 強P	9	9-11		20	2	-5	C	800		2000	-5000	-8000	1000	上	ハイジャンプキャンセル可能|強制立ち効果
C.ヴァイパー	通常技	しゃがみ強K（ヴァイパースイープ）		↓ + 強K	10	10-12		25	D	-11		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
C.ヴァイパー	通常技	ジャンプ弱P（エアリアルエルボー）	（ジャンプ中に）	弱P	5	5-10		着地後3				300		500	-1500	-2000	300	中	
C.ヴァイパー	通常技	ジャンプ弱K（エアリアルプレスキック）	（ジャンプ中に）	弱K	5	5-11		着地後3				300		500	-1500	-2000	300	中	
C.ヴァイパー	通常技	ジャンプ中P（エアリアルヴァイパーブロー）	（ジャンプ中に）	中P	8	8-13		着地後3			C	600		1000	-3000	-4000	500	中	空中ヒット時吹き飛びダウン
C.ヴァイパー	通常技	ジャンプ中K（エアリアルトーキック）	（ジャンプ中に）	中K	7	7-12		着地後3				500		1000	-2500	-4000	500	中	めくり性能
C.ヴァイパー	通常技	ジャンプ強P（エアリアルハンマー）	（ジャンプ中に）	強P	11	11-15		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時叩きつけダウン
C.ヴァイパー	通常技	ジャンプ強K（エアリアルクラッシュニー）	（ジャンプ中に）	強K	8	8-14		着地後3			C	700		2000	-4000	-5000	1000	中	めくり性能
C.ヴァイパー	通常技	垂直ジャンプ強K（エアリアルジャベリン）	（垂直ジャンプ中に）	強K	10	10-16		着地後3				800		2000	-4000	-5000	1000	中	
C.ヴァイパー	特殊技	ヴァイパーエルボー		→ + 中P	22	22-24		20	2	-3		600		1500	-2500	-5000	500	中	16-27F 足元無敵
C.ヴァイパー	特殊技	ダブルキック		→ + 強K	11	11-31	11-13, 29-31	16	4	-2		900	始動補正20%	3000	-5000	-10000	1000	上	
