キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
ED	通常技	立ち弱P（ジャブ）		弱P	4	4-6		7	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ED	通常技	立ち弱K（フリッカー）		弱K	6	6-7		13	3	-3		300	始動補正20%	250	-500	-2000	300	上	
ED	通常技	立ち中P（ボディブロー）		中P	7	7-9		15	6	-1	C	600		1500	-3000	-4000	500	上	
ED	通常技	立ち中K（ヒットマンフリッカー）		中K	10	10-11		16	0	-5	C	600		1500	-3000	-4000	700	上	空振り時硬直4F増加
ED	通常技	立ち強P（ソリッドナックル）		強P	10	10-13		18	5	-2	C	800		2000	-5000	-8000	1000	上	強制立ち効果|ボタンをホールドする事でサイコナックルに移行|ホールド中、キルステップ（前方）にキャンセル可能|30F以上ボタンを押して離すとLv1が発動|60F以上ボタンを押し続けるとLv2が発動
ED	通常技	立ち強K（ライジングフリッカー）		強K	10	10-12		12	8	4	C	800		3000	-6000	-10000	1000	上	
ED	通常技	しゃがみ弱P（アンダーブロー）		↓ + 弱P	4	4-6		10	3	-3		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
ED	通常技	しゃがみ弱K（ジャブフリッカー）		↓ + 弱K	5	5-6		12	2	-4	C	300	始動補正20%	250	-500	-2000	300	上	
ED	通常技	しゃがみ中P（アンダーフック）		↓ + 中P	8	8-10		19	2	-6	C	500	始動補正20%	1000	-2000	-4000	500	下	
ED	通常技	しゃがみ中K（オーバーフリッカー）		↓ + 中K	9	9-10		16	8	-1	C	600		1500	-3000	-4000	600	上	空振り時硬直3F増加|強制立ち効果
ED	通常技	しゃがみ強P（ローフックパンチ）		↓ + 強P	10	10-13		24	D	-12		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
ED	通常技	しゃがみ強K（ローフリッカー）		↓ + 強K	12	12-13		19	-1	-6	C	800		2000	-4000	-8000	1000	上	空振り時硬直2F増加
ED	通常技	ジャンプ弱P（エアナックル）	（ジャンプ中に）	弱P	5	5-9		着地後3				300		500	-1500	-2000	300	中	
ED	通常技	ジャンプ弱K（アンダーフリッカー）	（ジャンプ中に）	弱K	8	8-10		着地後3				300		500	-1500	-2000	300	中	
ED	通常技	ジャンプ中P（バーティカルナックル）	（ジャンプ中に）	中P	8	8-13		着地後3				500		1000	-2500	-4000	500	中	めくり性能
ED	通常技	ジャンプ中K（ミドルフリッカー）	（ジャンプ中に）	中K	10	10-11		着地後3				700		1000	-3000	-4000	500	中	
ED	通常技	ジャンプ強P（ソリッドダイブ）	（ジャンプ中に）	強P	9	9-13		着地後3				800		2000	-4000	-5000	1000	中	空中カウンター/パニッシュカウンター時叩きつけダウン
ED	通常技	ジャンプ強K（ハイフリッカー）	（ジャンプ中に）	強K	8	8-9		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時吹き飛びダウン
ED	特殊技	サイコナックル(Lv1)		強Pホールド	39	39-53		35	D	※-2		800	始動補正20%	3000	-6000	-10000	1000	上	ヒット時に膝崩れダウンに＋41|※画面端でガードさせた時は+2
ED	特殊技	サイコナックル(Lv2)		強Pホールド	69	69-83		35	D	4		1200	始動補正20%	4000	-8000	-12000	1200	上	ヒット時に膝崩れダウンに＋41|飛び道具相殺判定あり（1回）
ED	特殊技	コブラパンチ		→ + 強P	17	17-19		21	1	-3		900		4000	-6000	-10000	1000	上	7-19F 足元無敵|空中ヒット時叩きつけダウン
ED	特殊技	フリッカーコンビネーション（2段目）		弱K⇒弱K	7	7-9		15	3	-3		400		500	-1000	-4000	400	上	
ED	特殊技	フリッカーコンビネーション（3段目）		弱K⇒弱K⇒弱K	7	7-9		16	1	-8		600		500	-1500	-4000	400	上	
ED	特殊技	ボディブローコンビネーション		中P⇒強P	13	13-14		23	D	-8	C※	400	コンボ補正20%	1000	-1000	-4000	400	上	※キルステップ（後方）のみキャンセル不可
ED	特殊技	ヒットマンコンビネーション（2段目）		中K⇒中K	7	7-8		20	0	-6		300		1500	-1000	-4000	400	上	
ED	特殊技	ヒットマンコンビネーション（3段目）		中K⇒中K⇒強P	11	11-15		23	D	-11		600		1500	-2000	-4000	500	上	
ED	特殊技	ロースマッシュコンビネーション		↓ + 強K⇒強P	10	10-14		19	D	-8	SA	700	コンボ補正30%	3500	-3000	-4000	1200	上	ヒット時キルステップ（前方）、キルステップ（後方）にキャンセル可能
ED	必殺技	サイコスパーク		↓↘→ + P	14	14-25		8	3	-5	SA3	400		1000	-2500	-3000	300	上・弾	22-28F サイコシュートに派生可能
ED	必殺技	OD サイコスパーク		↓↘→ + PP	14	14-25		7	D	-2	SA2	400		0	-2000	-3000	400	上・弾	18-28F サイコシュートに派生可能
ED	必殺技	弱 サイコシュート	（サイコスパーク中に）	→ + 弱P	12			全体 42	3	-8	SA3	600		1000	-2500	-3000	600	上・弾	
ED	必殺技	中 サイコシュート	（サイコスパーク中に）	→ + 中P	12			全体 42	3	-8	SA3	600		1000	-2500	-3000	600	上・弾	
ED	必殺技	強 サイコシュート	（サイコスパーク中に）	→ + 強P	12			全体 42	3	-8	SA3	600		1000	-2500	-3000	600	上・弾	
ED	必殺技	OD 弱 サイコシュート	（ODサイコスパーク中に）	→ + 弱P	12			全体 40	D	-2	SA2	800		0	-2500	-5000	600	上・弾	
ED	必殺技	OD 中 サイコシュート	（ODサイコスパーク中に）	→ + 中P	12			全体 40	D	-2	SA2	800		0	-2500	-5000	600	上・弾	
ED	必殺技	OD 強 サイコシュート	（ODサイコスパーク中に）	→ + 強P	12			全体 40	D	-2	SA2	800		0	-2500	-5000	600	上・弾	
ED	必殺技	弱 サイコアッパー		→↓↘ + 弱P	10	10-17		28	D	-13	SA3	900	始動補正30%|コンボ補正20%	2000	-4000	-5000	800	上	1-15F 空中判定の打撃・空弾属性に対して無敵
ED	必殺技	中 サイコアッパー		→↓↘ + 中P	14	14-19		32	D	-20	SA3	1000		3000	-4000	-5000	1000	上	1-19F 空中判定の打撃・空弾属性に対して無敵
ED	必殺技	強 サイコアッパー		→↓↘ + 強P	16	16-21		33	D	-21	SA3	1200		4000	-4000	-5000	1200	上	1-19F 空中判定の打撃・空弾属性に対して無敵
ED	必殺技	OD サイコアッパー		→↓↘ + PP	13	13-18		36	D	-28		1600		0	-4000	0	1500	上	1-16F 完全無敵
ED	必殺技	弱 サイコブリッツ		↓↙← + 弱P	11	11-29	11-13, 17-19, 26-29	14	3	-5	SA3	800		2000	-3000	-5000	900	上	
ED	必殺技	中 サイコブリッツ		↓↙← + 中P	13	13-36	13-14, 22-24, 34-36	16	D	-12	SA3	900		2000	-3000	-5000	1000	上	
ED	必殺技	強 サイコブリッツ		↓↙← + 強P	15	15-37	15-16, 28-29, 36-37	23	D	-12	SA3	1100		2000	-3000	-5000	1100	上	
ED	必殺技	OD サイコブリッツ		↓↙← + PP	13	13-44	13, 18, 22, 26, 30, 34,43-44	20	D	-4	SA2	1400	コンボ補正20%	0	-4000	-5000	1200	上	
ED	必殺技	弱 サイコフリッカー		↓↘→ + 弱K	16	16-19		26	1	-6	SA3	800		2000	-2500	-8000	600	上・弾	26F以上ボタンホールドすると性能変化|ホールド中キルステップ（前方）、キルステップ（後方）にキャンセル可能|ヒット時キルステップ（前方）、キルステップ（後方）にキャンセル可能|パニッシュカウンター時膝崩れダウン+21|ヒット時硬直2F減少|飛び道具相殺判定あり（1回）
ED	必殺技	弱 サイコフリッカー（ホールド）		↓↘→ + 弱Kホールド	31	31-35		24	D	4		1000	始動補正20%|コンボ補正20%	2000	-3000	-5000	800	上・弾	ヒット/ガード時相手を引き寄せる|地上ヒット時打ち上げ効果|空中ヒット時叩きつけダウン|飛び道具相殺判定あり（2回）
ED	必殺技	中 サイコフリッカー		↓↘→ + 中K	20	20-23		26	3	-6	SA3	900		2000	-3000	-10000	600	上・弾	30F以上ホールドすると性能変化|ホールド中キルステップ（前方）、キルステップ（後方）にキャンセル可能|ヒット時キルステップ（前方）、キルステップ（後方）にキャンセル可能|パニッシュカウンター時膝崩れダウン+23|ヒット時硬直1F減少|飛び道具相殺判定あり（1回）
ED	必殺技	中 サイコフリッカー（ホールド）		↓↘→ + 中Kホールド	35	35-39		24	D	4		1000	始動補正20%|コンボ補正20%	2000	-3000	-5000	800	上・弾	ヒット/ガード時相手を引き寄せる|地上ヒット時打ち上げ効果|空中ヒット時叩きつけダウン|飛び道具相殺判定あり（2回）
ED	必殺技	強 サイコフリッカー		↓↘→ + 強K	17	17-24		18			SA3	800		2000	0	-10000	600	上・弾	30F以上ホールドすると性能変化|ホールド中キルステップ（前方）、キルステップ（後方）にキャンセル可能|ヒット時キルステップ（前方）、キルステップ（後方）にキャンセル可能|地上の相手に当たらない|飛び道具相殺判定あり（1回）
ED	必殺技	強 サイコフリッカー（ホールド）		↓↘→ + 強Kホールド	35	35-44		19				1000	始動補正20%|コンボ補正20%	3000	0	-5000	800	上・弾	地上の相手に当たらない|空中ヒット時叩きつけダウン|飛び道具相殺判定あり（2回）
ED	必殺技	OD サイコフリッカー		↓↘→ + KK	25	25-28		32	D	4	SA2	※800	始動補正20%|コンボ補正20%	0	-3000	-5000	700	上・弾	ヒット/ガード時相手を引き寄せる|地上ヒット時打ち上げ効果|空中ヒット時叩きつけダウン|※空中ヒット時のダメージは1200|飛び道具相殺判定あり（1回）
ED	必殺技	キルステップ（前方）		KK				全体 31				0		0	0	0	0		11-12F キルスイッチ・ブレイクに派生可能|13-24F キルスイッチ・チェイスに派生可能
ED	必殺技	キルスイッチ・ブレイク	（キルステップ（前方）	中に）→ + P	11	11-13		20	D	-4	SA3	600	始動補正20%|コンボ補正20%	2000	-5000	-8000	600	上	
ED	必殺技	キルスイッチ・チェイス	（キルステップ（前方）	中に）→ + P	11	11-13		20	D	-6	SA3	600	始動補正20%	2000	-5000	-8000	600	上	
ED	必殺技	キルステップ（後方）		← + KK				全体 31				0		0	0	0	0		
ED	スーパーアーツ	SA1 サイコストーム		↓↘→↓↘→ + K	13	13- 67	13-14, 22-23, 40-41, 45-46, 63, 65, 67	56	D	-32		2000		0	-2500	-5000	0	上	1-14F 打撃・投げに対して無敵|カウンター/パニッシュカウンターで数値が変動しない|最低保障ダメージ30％
