キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
エドモンド本田	通常技	立ち弱P（張り手）		弱P	5	5-7		10	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	
エドモンド本田	通常技	立ち弱K（けたぐり）		弱K	4	4-5		9	5	-1	C	300	始動補正20%	250	-500	-2000	300	上	
エドモンド本田	通常技	立ち中P（突っ張り）		中P	10	10-13		13	6	1	C	700		2000	-4000	-6000	500	上	空振り時硬直2F増加
エドモンド本田	通常技	立ち中K（四股蹴り）		中K	10	10-13		16	4	-3	※	700		1000	-2500	-4000	700	上	※肩屋入り中、百裂張り手でのみキャンセル可能
エドモンド本田	通常技	立ち強P（ごっつぁんチョップ）		強P	8	8-14		20	1	-6	C※	900		2000	-5000	-8000	1000	上	地上パニッシュカウンター時膝崩れ|空中パニッシュカウンター時床バウンド|キャンセルは持続の3F目まで|※8-14F 肩屋入り中、百裂張り手でのみキャンセル可能
エドモンド本田	通常技	立ち強K（丸太蹴り）		強K	8	8-14	8-9, 11-14	22	-1	-5	C	800		3000	-4000	-10000	800	上	強制立ち効果|空中ヒット時吹き飛びダウン
エドモンド本田	通常技	しゃがみ弱P（しゃがみ張り手）		↓ + 弱P	4	4-6		10	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
エドモンド本田	通常技	しゃがみ弱K（向こうずねキック）		↓ + 弱K	5	5-6		9	3	-3	※	200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応|※肩屋入り中、百裂張り手でのみキャンセル可能
エドモンド本田	通常技	しゃがみ中P（しゃがみ突っ張り）		↓ + 中P	8	8-11		16	3	-3	C	600		1500	-3000	-4000	500	上	
エドモンド本田	通常技	しゃがみ中K（掛け足）		↓ + 中K	9	9-11		17	6	-2	※	500	始動補正20%	2000	-4000	-6000	600	下	※肩屋入り中、百裂張り手でのみキャンセル可能
エドモンド本田	通常技	しゃがみ強P（スーパー出足払い）		↓ + 強P	11	11-14		※17	3	-3	※	800		3000	-6000	-10000	1000	上	空振り、アーマーヒット時硬直2F増加|※肩屋入り中、百裂張り手でのみキャンセル可能
エドモンド本田	通常技	しゃがみ強K（土俵払い）		↓ + 強K	11	11-24	11-13,20-24	14	D	-10		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
エドモンド本田	通常技	ジャンプ弱P（ジャンプ突き手）	（ジャンプ中に）	弱P	5	5-10		着地後3				300		500	-1500	-2000	300	中	
エドモンド本田	通常技	ジャンプ弱K（百貫落とし）	（ジャンプ中に）	弱K	6	6-11		着地後3				300		500	-1500	-2000	300	中	
エドモンド本田	通常技	ジャンプ中P（ジャンプチョップ）	（ジャンプ中に）	中P	6	6-13		着地後3				700		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
エドモンド本田	通常技	ジャンプ中K（わらじ蹴り）	（ジャンプ中に）	中K	9	9-14		着地後3				700		1000	-2500	-4000	500	中	
