キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
エレナ	通常技	立ち弱P（チークスパン）		弱P	5	5-8		8	4	-2	C	300	始動補正20%	250	-500	-2000	300	上	
エレナ	通常技	立ち弱K（スタンドロー）		弱K	5	5-7		11	2	-4	C	300	始動補正20%	250	-500	-2000	300	上	
エレナ	通常技	立ち中P（ブレイズパーチ）		中P	8	8-12		15	3	-3	SA	600		1500	-3000	-4000	500	上	パニッシュカウンター時強制立ち効果
エレナ	通常技	立ち中K（スプルースベンド）		中K	6	6-9		13	5	1	C	500		1000	-2000	-3000	500	上	空振り時硬直2F増加
エレナ	通常技	立ち強P（ラウンドホップ）		強P	12	12-15		20	2	-2		800		2000	-5000	-8000	1000	上	強制立ち効果|パニッシュカウンター時吹き飛びダウン
エレナ	通常技	立ち強K（ラウンドステップ）		強K	12	12-15		19	2	-4		900		3000	-6000	-10000	1000	上	9-17F 足元無敵|パニッシュカウンター、空中カウンター/パニッシュカウンター時吹き飛びダウン|空中パニッシュカウンター時吹き飛び時間延長
エレナ	通常技	しゃがみ弱P（クラウチングフロント）		↓ + 弱P	4	4-6		8	5	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
エレナ	通常技	しゃがみ弱K（リトルラップ）		↓ + 弱K	5	5-7		8	3	-1		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
エレナ	通常技	しゃがみ中P（リングカッター）		↓ + 中P	8	8-10		20	1	-4	C	600		1000	-3000	-4000	600	上	
エレナ	通常技	しゃがみ中K（サーフェスキック）		↓ + 中K	9	9-11		18	4	-4		600	始動補正20%	1000	-3000	-4000	600	下	ヒット時硬直2F減少
エレナ	通常技	しゃがみ強P（アカシアブランチ）		↓ + 強P	9	9-18	9-11, 16-18	20	6	-7	C	800	始動補正20%	4000	-5000	-8000	1000	上	強制立ち効果
エレナ	通常技	しゃがみ強K（ルートブレイク）		↓ + 強K	11	11-13		24	D	-12		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
エレナ	通常技	ジャンプ弱P（ニーアタック）	（ジャンプ中に）	弱P	5	5-10		着地後3				300		500	-1500	-2000	300	中	めくり性能
エレナ	通常技	ジャンプ弱K（ジャンプキック）	（ジャンプ中に）	弱K	5	5-10		着地後3				300		500	-1500	-2000	300	中	
エレナ	通常技	ジャンプ中P（クレストフラップ）	（ジャンプ中に）	中P	8	8-12		着地後3				700		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
エレナ	通常技	ジャンプ中K（ロージャベリン）	（ジャンプ中に）	中K	7	7-11		着地後3				500		1000	-2500	-4000	500	中	めくり性能
エレナ	通常技	ジャンプ強P（ハイソバット）	（ジャンプ中に）	強P	10	10-16		着地後3				800		2000	-4000	-5000	1000	中	
エレナ	通常技	ジャンプ強K（オーバーヘッドキック）	（ジャンプ中に）	強K	10	10-20	10-11, 13-20	着地後3				800		2000	-6000	-7000	2000	※中上	初段空中ヒット時吹き飛びダウン|2段目空中ヒット時叩き付けダウン|※初段が空振り時のみ2段目が中段判定
エレナ	特殊技	スライディング		↘ + 強K	14	14-22		22	D	-10		900		3000	-4000	-10000	1000	下	空振り/アーマーヒット時硬直4F増加
エレナ	特殊技	ラウンドアーチ		← + 強K	14	14-17		17	3	-3		900	始動補正20%	3000	-6000	-10000	1000	上	9-17F 足元無敵|カウンター/パニッシュカウンター時吹き飛びダウン|空振り時硬直2F増加
エレナ	特殊技	スターリングビーク（2段目）		中P⇒中P	17	17-21		20	-4	-10	C	400		1000	-2000	-3000	700	上	
エレナ	特殊技	ハンドスタンドウィップ（1段目）		→ + 中K	20	20-22		19	2	-3		600		1500	-2500	-5000	700	中	
エレナ	特殊技	ハンドスタンドウィップ（2段目）		→ + 中K⇒中K	14	14-16		26	D	-14		600		750	-2500	-5000	350	上	
