キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
豪鬼	通常技	立ち弱P（面割り）		弱P	4	4-6		7	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	
豪鬼	通常技	立ち弱K（脛斬り）		弱K	5	5-7		11	2	-4	C	300	始動補正20%	250	-500	-2000	300	上	
豪鬼	通常技	立ち中P（豪掌）		中P	6	6-9		11	4	1	C	600		1500	-3000	-4000	500	上	空振り時硬直2F増加
豪鬼	通常技	立ち中K（腸潰し）		中K	7	7-11		15	3	-3	C	700		2000	-4000	-6000	500	上	強制立ち効果
豪鬼	通常技	立ち強P（岩砕突き）		強P	9	9-13		18	3	-3	C	800		2000	-5000	-8000	1000	上	
豪鬼	通常技	立ち強K（首撥ね）		強K	13	13-27	13-15, 24-27	15	7	3		800	コンボ補正20%	3000	-6000	-10000	1000	上	強制立ち効果|空振り時硬直1F増加
豪鬼	通常技	しゃがみ弱P（足止め）		↓ + 弱P	4	4-5		9	5	-1	C	300	始動補正20%	250	-500	-2000	300	上	
豪鬼	通常技	しゃがみ弱K（楔打ち）		↓ + 弱K	5	5-6		10	3	-3		200	始動補正20%	250	-500	-2000	300	下	
豪鬼	通常技	しゃがみ中P（膝折り豪掌）		↓ + 中P	6	6-8		14	6	-1	C	600		1500	-3000	-4000	500	上	空振り時硬直2F増加
豪鬼	通常技	しゃがみ中K（踝払い）		↓ + 中K	8	8-10		19	0	-6	C	500	始動補正20%	1000	-2000	-4000	500	下	
豪鬼	通常技	しゃがみ強P（獄門掌）		↓ + 強P	8	8-15		19	1	-8	C	900		3000	-6000	-8000	1000	上	
豪鬼	通常技	しゃがみ強K（刎脚）		↓ + 強K	9	9-11		23	D	-12		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
豪鬼	通常技	ジャンプ弱P（眉間割り）	（ジャンプ中に）	弱P	4	4-13		着地後3				300		500	-1500	-2000	300	中	
豪鬼	通常技	ジャンプ弱K（飛び膝）	（ジャンプ中に）	弱K	6	6-15		着地後3				300		500	-1500	-2000	300	中	めくり性能
豪鬼	通常技	ジャンプ中P（跳び朱刀）	（ジャンプ中に）	中P	8	8-11		着地後3			C	700		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
豪鬼	通常技	ジャンプ中K（首斬り）	（ジャンプ中に）	中K	7	7-12		着地後3				500		1000	-2500	-4000	500	中	めくり性能
豪鬼	通常技	ジャンプ強P（羅刹拳）	（ジャンプ中に）	強P	9	9-14		着地後3				800		2000	-4000	-5000	1000	中	空中カウンター/パニッシュカウンター時叩きつけダウン
豪鬼	通常技	ジャンプ強K（斬鉄脚）	（ジャンプ中に）	強K	12	12-17		着地後3				800		2000	-4000	-5000	1000	中	
豪鬼	特殊技	頭蓋破殺		→ + 中P	20	20-24	20, 22-24	18	3	-3		600		1500	-2500	-5000	500	※中上	※初段が空振り時のみ2段目が中段判定
豪鬼	特殊技	裂槍脚		→ + 中K	10	10-12		15	5	-4		700		2000	-4000	-6000	500	上	空振り時硬直4F増加|ガード時硬直3F増加
豪鬼	特殊技	羅豪脚		← + 強K	12	12-16		27	D	-15	C	800	始動補正20%	2000	-5000	-5000	1000	上	
豪鬼	特殊技	六腑穿ち		中P⇒中P	7	7-9		21	-1	-6	C	700	コンボ補正20%	1500	-2000	-4000	500	上	
豪鬼	特殊技	骸斬り		中K⇒強K	20	20-22		20	1	-3		600	コンボ補正20%	2000	-4000	-5000	1000	中	
豪鬼	特殊技	鬼哭連撃（1段目）		→ + 強P	13	13-16		20	4	-3		800		3000	-5000	-8000	1000	上	
豪鬼	特殊技	鬼哭連撃（2段目）		→+強P⇒→+強P	10	10-12		21	D	-10		600		2000	-5000	-8000	1000	上	
豪鬼	特殊技	鬼哭連撃（3段目）		→+強P⇒→+強P⇒強K	9	9-11		24	D	-13		875		2500	-2000	0	1000	上	
豪鬼	特殊技	天魔空刃脚	（前ジャンプ中に）	↓ + 中K	16	16-着地まで		着地後13				800	始動補正20%|コンボ補正20%	3000	-4000	-5000	1000	上	
豪鬼	必殺技	弱 豪波動拳(Lv1)		↓↘→ + 弱P	16			全体 46	0	-4	SA3	700		1000	-2500	-3000	600	上・弾	25F以上ボタンを押して離すとLv2が発動|49F以上ボタンを押して離すとLv3が発動
豪鬼	必殺技	弱 豪波動拳(Lv2)		↓↘→ + 弱Pホールド	31			全体 60	D	2	SA3	1000		1000	-2500	-5000	600	上・弾	
豪鬼	必殺技	弱 豪波動拳(Lv3)		↓↘→ + 弱Pホールド	56			全体 82	D	5	SA3	1350		5000	-4000	-9000	800	上・弾	76F目までにヒット/ガード時、硬直5F減少
豪鬼	必殺技	中 豪波動拳(Lv1)		↓↘→ + 中P	14			全体 46	-2	-6	SA3	700		1000	-2500	-3000	600	上・弾	25F以上ボタンを押して離すとLv2が発動|49F以上ボタンを押して離すとLv3が発動
豪鬼	必殺技	中 豪波動拳(Lv2)		↓↘→ + 中Pホールド	31			全体 60	D	2	SA3	1000		1000	-2500	-5000	600	上・弾	
豪鬼	必殺技	中 豪波動拳(Lv3)		↓↘→ + 中Pホールド	56			全体 82	D	5	SA3	1350		5000	-4000	-9000	800	上・弾	76F目までにヒット/ガード時、硬直5F減少
豪鬼	必殺技	強 豪波動拳(Lv1)		↓↘→ + 強P	12			全体 46	-4	-8	SA3	700		1000	-2500	-3000	600	上・弾	25F以上ボタンを押して離すとLv2が発動|49F以上ボタンを押して離すとLv3が発動
豪鬼	必殺技	強 豪波動拳(Lv2)		↓↘→ + 強Pホールド	31			全体 60	D	2	SA3	1000		1000	-2500	-5000	600	上・弾	
