キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
ガイル	通常技	立ち弱P （ジャブ）		弱P	5	5-7		7	4	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ガイル	通常技	立ち弱K （ムエタイキック）		弱K	5	5-6		12	3	-1	C	300	始動補正20%	250	-500	-2000	300	上	
ガイル	通常技	立ち中P （フック）		中P	7	7-9		15	6	0	C	600		1500	-3000	-4000	500	上	
ガイル	通常技	立ち中K （トラースキック）		中K	7	7-11		18	1	-4		700		2000	-4000	-6000	700	上	
ガイル	通常技	立ち強P （サイクロンフック）		強P	7	7-9		23	-1	-6	C	900	始動補正20%	2000	-5000	-8000	1000	上	パニッシュカウンターヒット時+14
ガイル	通常技	立ち強K （ヘビースタブキック）		強K	13	13-15		21	4	-4	SA	800	始動補正20%	3000	-6000	-10000	1000	上	
ガイル	通常技	しゃがみ弱P （ジャブ）		↓ + 弱P	4	4-6		8	5	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ガイル	通常技	しゃがみ弱K （キック）		↓ + 弱K	5	5-6		12	1	-3		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
ガイル	通常技	しゃがみ中P （ストレート）		↓ + 中P	6	6-8		13	4	-2	C	600		1500	-3000	-4000	500	上	※空振り時硬直3F増加
ガイル	通常技	しゃがみ中K （スライドスイープ）		↓ + 中K	8	8-10		18	4	-5		500	始動補正20%	2000	-4000	-6000	600	下	
ガイル	通常技	しゃがみ強P （リフトアッパー）		↓ + 強P	9	9-13		20	0	-9	C	900		3000	-6000	-10000	1000	上	キャンセルは持続の1F目がヒットした時のみ|強制立ち効果
ガイル	通常技	しゃがみ強K （ドラゴンスイープ）		↓ + 強K	9	9-29	9-10, 27-29	21	D	-12		900	始動補正20%	3000	-2000	-10000	1000	下下	パニッシュカウンター時ダウン時間増加、ハードノックダウン|初段パニッシュカウンターヒット時吹き飛びダウン
ガイル	通常技	ジャンプ弱P （ジャンプパンチ）	（ジャンプ中に）	弱P	4	4-13		着地後3				300		500	-1500	-2000	300	中	
ガイル	通常技	ジャンプ弱K （ジャンピングニーアタック）	（ジャンプ中に）	弱K	6	6-15		着地後3				300		500	-1500	-2000	300	中	めくり性能
ガイル	通常技	ジャンプ中P （ジャンプストレート）	（ジャンプ中に）	中P	7	7-9		着地後3				700		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
ガイル	通常技	ジャンプ中K （ガイルキック）	（ジャンプ中に）	中K	7	7-13		着地後3				600		1000	-2500	-4000	500	中	
ガイル	通常技	ジャンプ強P （ジャンプチョップ）	（ジャンプ中に）	強P	9	9-12		着地後3				800		2000	-4000	-5000	1000	中	空中カウンター/パニッシュカウンター時叩きつけダウン
ガイル	通常技	ジャンプ強K （アンチラウンドキック）	（ジャンプ中に）	強K	10	10-14		着地後3				800		2000	-4000	-5000	1000	中	
ガイル	特殊技	フルブレットマグナム		→ + 中P	20	20-22		19	2	-3		800		1000	-2500	-4000	500	中	空中ヒット時叩きつけダウン
ガイル	特殊技	バーンストレート		← + 強P	9	9-11		21	1	-4	C	800		2000	-5000	-8000	1000	上	
ガイル	特殊技	スピニングバックナックル		→ + 強P	16	16-18		20	5	3		800		5000	-6000	-12000	1200	上	
ガイル	特殊技	ニーバズーカ		← + 弱K	8	8-11		15	0	-4		500		2000	-2500	-3000	1000	上	
