キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
ケン	通常技	立ち弱P （ジャブ）		弱P	4	4-6		7	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ケン	通常技	立ち弱K （ローキック）		弱K	5	5-6		12	0	-2	C	300	始動補正20%	250	-500	-2000	300	上	
ケン	通常技	立ち中P （顎撥）		中P	5	5-8		14	4	-2	C	600		1500	-3000	-4000	500	上	
ケン	通常技	立ち中K （上段横蹴り）		中K	8	8-10		20	3	-5	SA	600		2000	-4000	-6000	700	上	
ケン	通常技	立ち強P （正拳突き）		強P	10	10-14		17	3	-2	C	800		2000	-5000	-8000	1000	上	
ケン	通常技	立ち強K （一文字蹴り）		強K	12	12-13		※23	1	-5		800	始動補正30%	3000	-6000	-8000	1000	上	※空振り/アーマーヒット時硬直2F増加|パニッシュカウンター時きりもみダウン
ケン	通常技	しゃがみ弱P （ジャブ）		↓ + 弱P	4	4-5		9	5	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ケン	通常技	しゃがみ弱K（キック）		↓ + 弱K	5	5-7		10	1	-3		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
ケン	通常技	しゃがみ中P （ストレート）		↓ + 中P	6	6-8		14	3	0	C	700		1500	-3000	-4000	600	上	空振り時硬直2F増加
ケン	通常技	しゃがみ中K （くるぶしキック）		↓ + 中K	7	7-9		19	-2	-6	C	500	始動補正20%	1000	-2000	-4000	600	下	
ケン	通常技	しゃがみ強P（突き上げアッパー）		↓ + 強P	8	8-11		24	3	-7	C	800		2000	-6000	-8000	1000	上	強制立ち効果|キャンセルは持続の2F目まで
ケン	通常技	しゃがみ強K （回転足払い）		↓ + 強K	8	8-10		※24	D	-10		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン|※ガード時硬直1F増加
ケン	通常技	ジャンプ弱P （肘打ち）	（ジャンプ中に）	弱P	5	5-11		着地後3				300		500	-1500	-2000	300	中	
ケン	通常技	ジャンプ弱K （ひざ蹴り）	（ジャンプ中に）	弱K	6	6-11		着地後3				300		500	-1500	-2000	300	中	めくり性能
ケン	通常技	ジャンプ中P （ストレート）	（ジャンプ中に）	中P	6	6-9		着地後3			C	700		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
ケン	通常技	ジャンプ中K （ひざ落とし）	（ジャンプ中に）	中K	7	7-12		着地後3				500		1000	-2500	-4000	500	中	めくり性能
ケン	通常技	ジャンプ強P （打ち下ろしストレート）	（ジャンプ中に）	強P	9	9-14		着地後3				800		2000	-4000	-5000	1000	中	カウンター/パニッシュカウンター時叩きつけダウン
ケン	通常技	ジャンプ強K （飛び蹴り）	（ジャンプ中に）	強K	10	10-16		着地後3				800		2000	-4000	-5000	1000	中	
ケン	通常技	垂直ジャンプ強K （飛び旋風脚）	（垂直ジャンプ中に）	強K	6	6-11		着地後3				900		2000	-4000	-5000	1000	中	
ケン	特殊技	奮迅脚		KK				全体 45				0		0	0	0	0		12Fから各派生技に移行可
ケン	特殊技	急停止	（奮迅脚中に）	弱K				全体 16				0		0	0	0	0		
ケン	特殊技	紫電カカト落とし	（奮迅脚中に）	中K	18	18-20		20	3	-3	SA3	1000		1000	-2500	-4000	500	中	SA3キャンセル対応
ケン	特殊技	踏み込み前蹴り	（奮迅脚中に）	強K	10	10-13		20	3	-4	SA	800	始動補正20%	3000	-5000	-7000	1000	上	SAキャンセル対応
ケン	特殊技	顎撥二連		中P⇒強P	11	11-13		27	D	-14	C	400	コンボ補正20%	400	-1000	-4000	300	上	
ケン	特殊技	閃光連脚 （2段目）		中K⇒中K	11	11-12		27	D	-12		400		1000	-2500	-4000	400	上	
ケン	特殊技	閃光連脚 （3段目）		中K⇒中K⇒強K	13	13-15		28	D	-11		700		1500	-3000	-4000	500	上	動作中常に被パニッシュカウンター判定
ケン	必殺技	弱 波動拳		↓↘→ + 弱P	16			全体 49	-1	-7	SA3	600		1000	-2500	-2000	600	上・弾	
ケン	必殺技	中 波動拳		↓↘→ + 中P	14			全体 49	-3	-9	SA3	600		1000	-2500	-2000	600	上・弾	
ケン	必殺技	強 波動拳		↓↘→ + 強P	12			全体 49	-5	-11	SA3	600		1000	-2500	-2000	600	上・弾	
ケン	必殺技	OD 波動拳		↓↘→ + PP	12			全体 40	2	-2	SA2	800	始動補正20%	0	-2500	-5000	600	上・弾	
ケン	必殺技	弱 昇龍拳		→↓↘ + 弱P	5	5-14		21+着地後12	D	-23	SA3	※1100	始動補正20%	2000	-4000	-5000	800	上	1-14F 空中判定の打撃・空弾属性に対して無敵|7-35F 空中判定|※持続の3F目以降は個別ダメージ（800）
ケン	必殺技	中 昇龍拳		→↓↘ + 中P	6	6-15	6-8,9-15	28+着地後12	D	-28	SA3	1300	始動補正20%	4000	-4000	-5000	1000	上	1-8F 空中判定の打撃・空弾属性に対して無敵|8-43F 空中判定
ケン	必殺技	強 昇龍拳		→↓↘ + 強P	7	7-16	7-8,9-10,11-16	35+着地後15	D	-36	SA3	1400	始動補正20%	4000	-4200	-5000	1200	上	1-9F 空中判定の打撃・空弾属性に対して無敵|5-11F 飛び道具無敵|9-51F 空中判定
