キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
キンバリー	通常技	立ち弱P（裏拳）		弱P	5	5-6		8	5	-2	C	270	始動補正20%	250	-500	-2000	300	上	
キンバリー	通常技	立ち弱K（抜刀蹴）		弱K	5	5-7		11	1	-3	C	270	始動補正20%	250	-500	-2000	300	上	
キンバリー	通常技	立ち中P（胴突き）		中P	6	6-8		18	3	-2	C	540		1000	-2000	-4000	500	上	
キンバリー	通常技	立ち中K（刹那蹴り）		中K	8	8-10		18	1	-4	C	540	始動補正15%	1000	-2000	-4000	700	上	
キンバリー	通常技	立ち強P（旋回手刀）		強P	9	9-11		20	3	-4	C	630		2000	-5000	-10000	1000	上	パニッシュカウンター時+23F
キンバリー	通常技	立ち強K（旋風蹴り）		強K	12	12-15		17	7	2		630		2500	-5000	-10000	1000	上	
キンバリー	通常技	しゃがみ弱P（裏拳）		↓ + 弱P	4	4-6		7	4	-1	C	270	始動補正20%	250	-500	-2000	300	上	
キンバリー	通常技	しゃがみ弱K（連撃蹴）		↓ + 弱K	5	5-7		7	4	-2		180	始動補正20%	250	-500	-2000	300	下	
キンバリー	通常技	しゃがみ中P（水平手刀）		↓ + 中P	6	6-8		13	7	-1	C	500		1200	-2500	-5000	600	上	空振り時硬直2F増加
キンバリー	通常技	しゃがみ中K（脛割り）		↓ + 中K	7	7-9		16	5	1		540	始動補正20%	1200	-2500	-5000	600	下	
キンバリー	通常技	しゃがみ強P（肘打ち）		↓ + 強P	8	8-13		17	3	-2	C	720		2500	-5000	-10000	1000	上	強制立ち効果
キンバリー	通常技	しゃがみ強K（水面蹴り）		↓ + 強K	8	8-10		24	D	-10		810		2500	-5000	-10000	1200	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
キンバリー	通常技	ジャンプ弱P（空平手）	（ジャンプ中に）	弱P	4	4-13		着地後3				270		500	-1500	-2000	300	中	
キンバリー	通常技	ジャンプ弱K（跳び膝）	（ジャンプ中に）	弱K	5	5-14		着地後3				270		500	-1500	-2000	300	中	めくり性能
キンバリー	通常技	ジャンプ中P（空裏拳）	（ジャンプ中に）	中P	6	6-9		着地後3			C	450		1000	-2500	-5000	500	中	空中ヒット時吹き飛びダウン
キンバリー	通常技	ジャンプ中K（会心脚）	（ジャンプ中に）	中K	7	7-12		着地後3				540		1000	-2500	-4000	500	中	めくり性能
キンバリー	通常技	ジャンプ強P（空肘打ち）	（ジャンプ中に）	強P	8	8-12		着地後3				630		2000	-4000	-5000	1000	中	
キンバリー	通常技	ジャンプ強K（旋回蹴り）	（ジャンプ中に）	強K	9	9-14		着地後3				630		2000	-4000	-5000	1000	中	
キンバリー	特殊技	水切り蹴り		↘ + 中K	11	11-20		16	1	-5		450	始動補正15%	1000	-2000	-4000	500	下	持続1～4Fパニッシュカウンター時ダウン
キンバリー	特殊技	風車		← + 強K	22	22-23		19	4	-3		720	始動補正25%	2500	-5000	-10000	1000	中	強制しゃがみ効果
キンバリー	特殊技	飛箭蹴		→ + 強K	27	27-29		※21	1	-3		720	始動補正20%	3000	-4000	-7000	800	上	18-32F 空中判定|空中ヒット時吹き飛びダウン|※ガード時硬直8F減少
キンバリー	特殊技	矢来越え	（飛箭蹴後に）	↖ or ↑ or ↗				着地後3	-10	-22		0		0	0	0	0		ジャンプ動作中空中技でキャンセル可能
キンバリー	特殊技	肘落とし	（前ジャンプの頂点付近で）	↓ + 中P	13	13-25		着地後8				540		1000	-2500	-4000	500	上	空中ヒット時叩きつけダウン
キンバリー	特殊技	武神虎連牙		中P⇒強P	10	10-12		26	D	-12	C	360		1500	-4000	-8000	800	上	
キンバリー	特殊技	武神天架拳（2段目）		弱P⇒中P	6	6-8		18	1	-6		360		800	-2000	-4000	400	上	
キンバリー	特殊技	武神天架拳（3段目）		弱P⇒中P⇒強P	12	12-13		25	D	-10		440		1500	-2000	-4000	700	上	
キンバリー	特殊技	武神天架拳（4段目）		弱P⇒中P⇒強P⇒強K	26	26-28		24	D	-12		520		1500	-2000	-4000	800	上	空中ヒット時吹き飛びダウン|ヒット時硬直5F減少
キンバリー	特殊技	武神獄鎖拳（3段目）		弱P⇒中P⇒↓ + 強P	10	10-11		25	2	-10		580		1500	-2000	-4000	700	上	
キンバリー	特殊技	武神獄鎖拳（4段目）		弱P⇒中P⇒↓ + 強P⇒強K	15	15-17		24	D	-12		750		1500	-2000	-4000	800	上	
キンバリー	特殊技	武神獄鎖投げ		弱P⇒中P⇒↓ + 強P⇒↓ + 強K	15	15-17		23	D	-12		750		1500	-2000	0	700	上	
