キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
リリー	通常技	立ち弱P（コンドルビーク）		弱P	5	5-7		8	6	-1	C	350	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
リリー	通常技	立ち弱K（ストマックプレスキック）		弱K	4	4-6		8	5	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
リリー	通常技	立ち中P（タタンカホーン）		中P	9	9-12		17	1	-4		800		3000	-4000	-6000	500	上	
リリー	通常技	立ち中K（ロンリーキック）		中K	7	7-9		15	2	-1	C	600		1500	-3000	-4000	700	上	
リリー	通常技	立ち強P（メキシカンクロスホーン）		強P	10	10-12		22	0	-5	C	900		2000	-5000	-8000	1000	上	地上パニッシュカウンター時膝崩れ|空中パニッシュカウンター時吹き飛びダウン
リリー	通常技	立ち強K（ヘビートラースキック）		強K	14	14-17		21	1	-5		1000		3000	-6000	-10000	1000	上	パニッシュカウンター時吹き飛びダウン
リリー	通常技	しゃがみ弱P（リリーショット）		↓ + 弱P	6	6-8		8	6	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
リリー	通常技	しゃがみ弱K（ロープレスキック）		↓ + 弱K	5	5-6		12	2	-2		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
リリー	通常技	しゃがみ中P（ホーリーアース）		↓ + 中P	8	8-10		18	1	-3	SA	700		2000	-4000	-6000	500	上	
リリー	通常技	しゃがみ中K（ヒールスライドキック）		↓ + 中K	9	9-11		18	1	-5	C	500	始動補正20%	1000	-2000	-4000	600	下	
リリー	通常技	しゃがみ強P（ハンマーアクス）		↓ + 強P	10	10-15	10-11,12-15	22	0	-2	C	1000		2000	-5000	-8000	1000	上	空中カウンター/空中パニッシュカウンター時吹き飛びダウン
リリー	通常技	しゃがみ強K（スコールキック）		↓ + 強K	11	11-20	11-12, 19-20	24	D	-12		900		3000	-4000	-10000	1000	※下	パニッシュカウンター時ダウン時間増加、ハードノックダウン|※初段がガード時のみ2段目が上段判定
リリー	通常技	ジャンプ弱P（アローシュート）	（ジャンプ中に）	弱P	5	5-13		着地後3				300		500	-1500	-2000	300	中	
リリー	通常技	ジャンプ弱K（ビガーニーキック）	（ジャンプ中に）	弱K	6	6-11		着地後3				300		500	-1500	-2000	300	中	めくり性能
リリー	通常技	ジャンプ中P（アングリーボウ）	（ジャンプ中に）	中P	9	9-12		着地後3			C	700		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
リリー	通常技	ジャンプ中K（デザートトゥーキック）	（ジャンプ中に）	中K	8	8-12		着地後3				500		1000	-2500	-4000	500	中	めくり性能
リリー	通常技	ジャンプ強P（アズテックストライク）	（ジャンプ中に）	強P	10	10-15		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時叩きつけダウン
