キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
ルーク	通常技	立ち弱P（ファーストスティンガー）		弱P	7	7-8		※11	2	-3	C	300	始動補正20%	250	-500	-2000	300	上	※空振り時硬直3F増加
ルーク	通常技	立ち弱K（レッグハント）		弱K	5	5-6		12	3	-2	C	300	始動補正20%	250	-500	-2000	300	上	
ルーク	通常技	立ち中P（トリガーフィスト）		中P	9	9-12		16	2	-3	SA	600		1500	-3000	-4000	500	上	
ルーク	通常技	立ち中K（アンブッシュスピア）		中K	8	8-10		※16	1	-3		700		2000	-4000	-6000	700	上	※空振り時硬直3F増加
ルーク	通常技	立ち強P（クラッシャー）		強P	10	10-12		※23	1	-5	C	800		2000	-5000	-8000	1000	上	※ガード時硬直1F減少
ルーク	通常技	立ち強K（キャノンボール）		強K	10	10-16		16	2	-5		900		4000	-6000	-10000	1000	上	空中ヒット時吹き飛びダウン|パニッシュカウンター時吹き飛びダウン|8-15F足元無敵
ルーク	通常技	しゃがみ弱P（ファストジャブ）		↓ + 弱P	4	4-5		10	4	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ルーク	通常技	しゃがみ弱K（アンクルスナイプ）		↓ + 弱K	5	5-7		11	0	-3		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
ルーク	通常技	しゃがみ中P（スラッグショット）		↓ + 中P	6	6-7		※14	5	1	C	600	始動補正15%	1500	-3000	-4000	500	上	※空振り時硬直3F増加
ルーク	通常技	しゃがみ中K（カーフスカッシュ）		↓ + 中K	8	8-10		19	-2	-6	C	500	始動補正20%	1000	-2000	-4000	600	下	
ルーク	通常技	しゃがみ強P（アンチエアランチャー）		↓ + 強P	7	7-11		24	1	-13	C	800	コンボ補正15%	2000	-5000	-8000	1000	上	強制立ち効果|キャンセルは持続の1F目まで
ルーク	通常技	しゃがみ強K（トレンチブレイク）		↓ + 強K	10	10-12		24	D	-9		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
ルーク	通常技	ジャンプ弱P（ワンバレット）	（ジャンプ中に）	弱P	5	5-13		着地後3				300		500	-1500	-2000	300	中	
ルーク	通常技	ジャンプ弱K（デルタニー）	（ジャンプ中に）	弱K	6	6-11		着地後3				300		500	-1500	-2000	300	中	めくり性能
ルーク	通常技	ジャンプ中P（エア・インターセプター）	（ジャンプ中に）	中P	9	9-12		着地後3			C	700		1000	-3000	-4000	500	中	空中ヒット時吹き飛びダウン
ルーク	通常技	ジャンプ中K（バーチカルテイル）	（ジャンプ中に）	中K	7	7-12		着地後3				500		1000	-2500	-4000	500	中	めくり性能
ルーク	通常技	ジャンプ強P（ガンメタルハンマー）	（ジャンプ中に）	強P	9	9-14		着地後3				800		2000	-4000	-5000	1000	中	空中カウンター/パニッシュカウンター時叩きつけダウン
ルーク	通常技	ジャンプ強K（ヘブンリーストライク）	（ジャンプ中に）	強K	10	10-15		着地後3				800		2000	-4000	-5000	1000	中	
ルーク	特殊技	ローハイド		→ + 中P	21	21-22		21	2	-3		600		1500	-2500	-5000	500	中	空中ヒット時叩きつけダウン
ルーク	特殊技	サプレッサー		← + 強P	16	16-18		20	3	-3	C	800		3000	-6000	-10000	1000	上	
ルーク	特殊技	アウトローキック		← + 強K	12	12-15		24	4	-3		1000		3000	-6000	-10000	1000	上	パニッシュカウンター時+17F|空中ヒット時吹き飛びダウン
ルーク	特殊技	ダブルインパクト（1段目）		→ + 強P	16	16-18		※15	3	-3		800		2000	-4000	-7000	500	上	※空振り時硬直4F増加
ルーク	特殊技	ダブルインパクト（2段目）		→ + 強P⇒強P	11	11-12		34	D	-19	C	600	コンボ補正20%	1000	-2000	-7000	500	上	ダブルインパクト（1段目）がパニッシュカウンター時に派生し、地上ヒットした場合は地上やられ(コンボ補正が20%⇒10%に変化)
ルーク	特殊技	トリプルインパクト（2段目）		弱P⇒中P	8	8-11		20	-2	-9		400		500	-1000	-4000	400	上	
ルーク	特殊技	トリプルインパクト（3段目）		弱P⇒中P⇒強P	10	10-12		27	D	-14	C	800		500	-1500	-4000	400	上	
ルーク	特殊技	スナップバックコンボ（2段目）		中P⇒中P	12	12-13		23	0	-8	SA	300		400	-1000	-4000	300	上	
ルーク	特殊技	ノーズブレイカー		↓ + 中K⇒↓ + 強P	9	9-11		25	2	-8		600		1000	-3000	-4000	600	上	
ルーク	特殊技	スナップバックコンボ（3段目）		中P⇒中P⇒中P	11	11-12		29	-6	-14		300		1000	-1000	-4000	300	上	
ルーク	特殊技	スナップバックコンボ（4段目）		中P⇒中P⇒中P⇒中P	11	11-12		27	D	-12		500		2000	-1500	-4000	500	上	
ルーク	必殺技	弱 サンドブラスト		↓↘→ + 弱P	14	14-18		全体 47	-3	-8	SA3	600		1000	-3000	-2000	600	上・弾	
ルーク	必殺技	中 サンドブラスト		↓↘→ + 中P	17	17-23		全体 47	0	-5	SA3	600		1000	-3000	-2000	600	上・弾	
ルーク	必殺技	強 サンドブラスト		↓↘→ + 強P	20	20-29		全体 47	3	-2	SA3	600		1000	-3000	-2000	600	上・弾	
ルーク	必殺技	OD サンドブラスト		↓↘→ + PP	16			全体 40	D	-2	SA2	800	始動補正20％|コンボ補正20％	0	-3000	-5000	600	上・弾	
ルーク	必殺技	フェイタルショット	（ODサンドブラスト後に）	PP	8			全体 50	D	-21	SA2	1000		0	-1000	-7000	1000	上・弾	発動時にドライブゲージを10000消費
ルーク	必殺技	弱 フラッシュナックル		↓↙← + 弱P	13	13-15		27	D	-12	SA3	700		2000	-3000	-5000	500	上	18F以上ボタンホールドすると性能変化|18-20Fの間に離すとジャスト版が発生|ヒット時のみ、40F目に必殺技、SAキャンセル可能
ルーク	必殺技	弱 フラッシュナックル（ホールド）		↓↙← + 弱Pホールド	26	26-29		25	D	-8	SA3	800		2250	-4000	-6000	600	上	飛び道具相殺判定あり（1回）|2段目にコンボ補正がかかる
ルーク	必殺技	弱 フラッシュナックル（ジャスト）		↓↙← + 弱Pホールド	26	26-29		25	D	-8	SA3	900		2250	-4000	-6000	700	上	飛び道具相殺判定あり（1回）|2段目にコンボ補正がかかる
ルーク	必殺技	中 フラッシュナックル		↓↙← + 中P	19	19-21		27	3	-8	SA3	900		2000	-5000	-7000	700	上	18F以上ボタンホールドすると性能変化|18-20Fの間に離すとジャスト版が発生
ルーク	必殺技	中 フラッシュナックル（ホールド）		↓↙← + 中Pホールド	29	29-32		26	D	-3	SA3	1000		2000	-6000	-8000	800	上	飛び道具相殺判定あり（1回）|2段目にコンボ補正がかかる
ルーク	必殺技	中 フラッシュナックル（ジャスト）		↓↙← + 中Pホールド	29	29-32		26	D	-3	SA3	1100		2000	-6000	-8000	900	上	飛び道具相殺判定あり（1回）
ルーク	必殺技	強 フラッシュナックル		↓↙← + 強P	22	22-24		21	D	-4	SA3	1000		2500	-6000	-8000	800	上	18F以上ボタンホールドすると性能変化|18-20Fの間に離すとジャスト版が発生
ルーク	必殺技	強 フラッシュナックル（ホールド）		↓↙← + 強Pホールド	33	33-36		24	D	4	SA3	1300		3000	-7000	-9000	1100	上	飛び道具相殺判定あり（1回）
ルーク	必殺技	強 フラッシュナックル（ジャスト）		↓↙← + 強Pホールド	33	33-36		24	D	4	SA3	1600		3000	-7000	-9000	1200	上	飛び道具相殺判定あり（1回）
ルーク	必殺技	OD フラッシュナックル		↓↙← + PP	15	15		39	-	-22	SA2	400		0	-4000	-3000	500	上	ヒット時2段目に派生|初段ヒット時のみDDTへ派生可
ルーク	必殺技	OD フラッシュナックル（2段目）		↓↙← + PP	33	33-36		16	D		SA2	400		0	0	-3000	350	上	
ルーク	必殺技	DDT	（ODフラッシュナックル後に）	PP	1	1			D			2500		0	0	0	3000	上	発動時にドライブゲージを10000消費
ルーク	必殺技	エアフラッシュナックル	（垂直 or 前ジャンプ中に）	↓↙← + P	14	14-18		着地後13	D			700		2000	-6000	-8000	800	上	※高空で空振り時硬直7F増加
ルーク	必殺技	エアフラッシュナックル（ホールド）	（垂直 or 前ジャンプ中に）	↓↙← + Pホールド	23	23-28		着地後15	D			1000		2000	-7000	-9000	800	上	
ルーク	必殺技	OD エアフラッシュナックル	（垂直 or 前ジャンプ中に）	↓↙← + PP	14	14-19		着地後15	D			1300		0	-7000	-5000	800	上	
ルーク	必殺技	アベンジャー		↓↘→ + K				全体 45				0		0	0	0	0		13-31F 専用技に派生可
ルーク	必殺技	OD アベンジャー		↓↘→ + KK				全体 45				0		0	0	0	0		3-35F アーマー判定（1回）|12-31F 専用技に派生可
ルーク	必殺技	ノーチェイサー	（アベンジャー中に）	P	12	12-21		16	D	-6	SA3	900		2000	-5000	-5000	1000	上	
ルーク	必殺技	OD ノーチェイサー	（ODアベンジャー中に）	P	12	12-21		16	D	-6	SA2	1300	始動補正50%	0	-5000	-5000	1250	上	
ルーク	必殺技	インパラー	（アベンジャー中に）	K	13	13		22	D	-8		1200		2200	-4000	-5000	1200	中	空振り時硬直5F増加
ルーク	必殺技	OD インパラー	（ODアベンジャー中に）	K	13	13		19	D	-3		1200	始動補正50%	0	-4000	-5000	1250	中	
ルーク	必殺技	弱 ライジングアッパー		→↓↘ + 弱P	5	5-14		22+着地後12	D	-27	SA3	※900		2000	-4000	-5000	800	上	1-14F 空中判定の打撃・空弾属性に対して無敵|8-36F 空中判定|※持続の3F目以降は個別ダメージ（800）
ルーク	必殺技	中 ライジングアッパー		→↓↘ + 中P	6	6-15		24+着地後12	D	-29	SA3	※1000		2000	-4000	-5000	800	上	1-8F 空中判定の打撃・空弾属性に対して無敵|9-39F 空中判定|※持続の3F目以降は個別ダメージ（800）
ルーク	必殺技	強 ライジングアッパー		→↓↘ + 強P	9	9-18		25+着地後15	D	-33	SA3	※1200		2000	-4000	-5000	800	上	1-9F 空中判定の打撃・空弾属性に対して無敵|11-43F 空中判定|※持続の2F目以降は個別ダメージ（800）
ルーク	必殺技	OD ライジングアッパー		→↓↘ + PP	6	6-15	6-8, 9-15	35+着地後15	D	-40		1400		0	-2000	0	1000	上	1-10F 完全無敵|8-50F 空中判定|ヒット時のみスラムダンクへ派生可
ルーク	必殺技	スラムダンク	（ODライジングアッパー後に）	PP	16	16-18		14+着地後16	D			600		0	-4000	0	700	中	発動時にドライブゲージを10000消費
ルーク	スーパーアーツ	SA1 バルカンブラスト		↓↘→↓↘→ + P	6			全体 108	D	-29		2000		0	-2500	-5000	0	上・弾	1-6F 打撃・投げに対して無敵|最低保障ダメージ30％|カウンター/パニッシュカウンターで数値が変動しない
ルーク	スーパーアーツ	SA2 イレイザー		↓↙←↓↙← + P	5	5-7		51	D	-29		2800		0	-5000	-10000	0	上	1-7F 完全無敵|ヒット時2段目以降に派生|最低保障ダメージ40％|カウンター/パニッシュカウンターで数値が変動しない
ルーク	スーパーアーツ	SA3 ペイルライダー		↓↘→↓↘→ + K	10	10-13		92	D	-42		4000	※即時補正10%	0	-7500	-15000	0	上	相手との距離に応じて発生が変化|密着発動時|発生10F 1-13F完全無敵|最遠距離発動時|発生27F 1-13F完全無敵|最低保障ダメージ50％|カウンター/パニッシュカウンターで数値が変動しない|※必殺技キャンセル時のみ適用
ルーク	スーパーアーツ	CA ペイルライダー	（体力25%以下で）	↓↘→↓↘→ + K	10	10-13		92	D	-42		4500	※即時補正10%	0	-10000	-20000	0	上	相手との距離に応じて発生が変化|密着発動時|発生10F 1-13F完全無敵|最遠距離発動時|発生27F 1-13F完全無敵|最低保障ダメージ50％|カウンター/パニッシュカウンターで数値が変動しない|※必殺技キャンセル時のみ適用
ルーク	通常投げ	スウィーパー	（近距離で）	N or → + 弱P弱K	5	5-7		23	D			1200	即時補正20%	2000	0	-10000	2000	投	パニッシュカウンター時以下の性能変化|・ダメージ2040|・SAゲージ4000増加|・ハードノックダウン
ルーク	通常投げ	スクラッパー	（近距離で）	← + 弱P弱K	5	5-7		23	D			1200	即時補正20%	2000	0	-10000	2000	投	パニッシュカウンター時以下の性能変化|・ダメージ2040|・SAゲージ4000増加|・ハードノックダウン
ルーク	共通システム	前方ステップ		→→				全体 19				0		0	0	0	0		
ルーク	共通システム	後方ステップ		←←				全体 23				0		0	0	0	0		1-15F 投げ無敵
ルーク	共通システム	ドライブインパクト（マズルフラッシュ）		強P強K	26	26-27		35	D	-3		800	始動補正20%	0	-5000	-15000	0	上	1-27F アーマー判定（2回）|ヒットバックでステージ端に到達すると壁やられが発生|パニッシュカウンター、もしくはアーマー成立後にヒットで以下の性能変化|・地上ヒット膝崩れ|・空中ヒット吹き飛び時間増加|・SAゲージ3000増加
ルーク	共通システム	[ガード時]ドライブリバーサル（バッターリングラム）	（ガード中 or ドライブパリィ成立中に）	→ + 強P強K	20	20-22		26	D	-6		500		0	0	0	0	上	リカバリアブルダメージ|1-22F 完全無敵|ヒット時硬直5F増加
ルーク	共通システム	[起き上がり時]ドライブリバーサル（バッターリングラム）	（起き上がり時に）	→ + 強P強K	18	18-20		26	D	-6		500		0	0	0	0	上	リカバリアブルダメージ|1-20F 完全無敵|ヒット時硬直5F増加
ルーク	共通システム	ドライブパリィ		中P中K	1	[※2] 1-12		33			※1	0		0	0	0	0		※1 動作の4F目からドライブラッシュでキャンセル可|※2 ボタンホールドでパリィの持続を延長可|硬直部分はガードのみ可|動作中常に被パニッシュカウンター判定
ルーク	共通システム	ジャストパリィ（打撃）		ガード方向 + 中P中K	1			1				0	始動補正50％						相手の攻撃に対応した方向入力を行った状態でパリィを入力し、|入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する|（上段/中段攻撃に対して←方向、下段攻撃に対しては↙方向)|方向が正しくなかった場合は通常のドライブパリィとなり、追加でDゲージが3000増加する|硬直終了から5Fの間完全無敵 （パリィを継続した場合は無敵にならない）|ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター
ルーク	共通システム	ジャストパリィ（飛び道具）		中P中K	1			10				0	始動補正50％						パリィを入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する|暗転演出が入らない|ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター
