キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
マリーザ	通常技	立ち弱P（ライトパンチ）		弱P	6	6-8		11	0	-2		400	始動補正20%	250	-500	-2000	300	上	
マリーザ	通常技	立ち弱K（ティビアブレイク）		弱K	6	6-7		14	0	-2	C	400	始動補正20%	250	-500	-2000	300	上	
マリーザ	通常技	立ち中P（ミドルパンチ）		中P	7	7-10		15	2	-1		700		1500	-3000	-4000	500	上	空振り時硬直2F増加
マリーザ	通常技	立ち中K（スターナムブレイク）		中K	11	11-14		16	4	-2		800		2000	-4000	-6000	700	上	
マリーザ	通常技	立ち強P（ヘビィーパンチ）		強P	12	12-13		23	3	-3		1000	始動補正10%	2000	-5000	-8000	1000	上	18F以上ホールドすると性能変化
マリーザ	通常技	立ち強P（ヘビィーパンチ）（ホールド）		強Pホールド	23	23-24		22	7	4		1200	始動補正10%	3000	-8000	-12000	1000	上	空中ヒット時吹き飛びダウン|パニッシュカウンター時+15F|ヒット・ガード時硬直1F減少
マリーザ	通常技	立ち強K（リブブレイク）		強K	15	15-16		25	1	-3		1000	始動補正10%	3000	-5000	-8000	1000	上	14F以上ホールドすると性能変化|空中ヒット時吹き飛びダウン|パニッシュカウンター時吹き飛びダウン
マリーザ	通常技	立ち強K（リブブレイク）（ホールド）		強Kホールド	24	24-25		25	D	1		1200	始動補正10%	3000	-8000	-12000	1000	上	パニッシュカウンター時吹き飛び時間増加
マリーザ	通常技	しゃがみ弱P（アンダーライト）		↓ + 弱P	4	4-5		10	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
マリーザ	通常技	しゃがみ弱K（フットバッシュ）		↓ + 弱K	5	5-7		12	2	-3		300	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
マリーザ	通常技	しゃがみ中P（アンダーミドル）		↓ + 中P	8	8-10		16	3	-2	C	700		1500	-3000	-4000	500	上	
マリーザ	通常技	しゃがみ中K（レッグバッシュ）		↓ + 中K	9	9-11		18	5	-2		600	始動補正20%	2000	-4000	-6000	600	下	
