キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
ラシード	通常技	立ち弱P （スタンドスラップ）		弱P	4	4-5		9	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ラシード	通常技	立ち弱K （ニースマッシュ）		弱K	4	4-6		10	3	-1	C	300	始動補正20%	250	-500	-2000	300	上	
ラシード	通常技	立ち中P （スタッブエルボー）		中P	6	6-8		14	5	1	C	600		1500	-3000	-4000	500	上	
ラシード	通常技	立ち中K （スコーピオンテイル）		中K	8	8-10		17	6	-3		600		2000	-4000	-6000	700	上	空振り時硬直2F増加
ラシード	通常技	立ち強P （ウインドスラスト）		強P	9	9-11		21	1	-4	C	800		2000	-5000	-8000	1000	上	
ラシード	通常技	立ち強K （レッグツイスター）		強K	13	13-20		18	-1	-5		800		4000	-6000	-10000	1000	上	強制立ち効果|空中ヒット時吹き飛びダウン|パニッシュカウンター時吹き飛びダウン
ラシード	通常技	しゃがみ弱P （グランドスラップ）		↓ + 弱P	5	5-7		7	5	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ラシード	通常技	しゃがみ弱K （スティングロー）		↓ + 弱K	5	5-7		8	3	-1		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
ラシード	通常技	しゃがみ中P （ライジングビーク）		↓ + 中P	6	6-9		13	4	1	C	600		1500	-3000	-4000	500	上	
ラシード	通常技	しゃがみ中K （ファルコンキック）		↓ + 中K	7	7-9		18	-1	-5	C	500	始動補正20%	1000	-2000	-4000	600	下	
ラシード	通常技	しゃがみ強P （グランドスラスト）		↓ + 強P	12	12-14		21	5	-6	SA	900	始動補正20%	2500	-5000	-8000	1000	上	空振り時硬直2F増加
ラシード	通常技	しゃがみ強K （サイクロンスライサー）		↓ + 強K	9	9-11		24	D	-11		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
ラシード	通常技	ジャンプ弱P （エリアルスマッシュ）	（ジャンプ中に）	弱P	4	4-8		着地後3				300		500	-1500	-2000	300	中	
ラシード	通常技	ジャンプ弱K （エリアルエッジ）	（ジャンプ中に）	弱K	5	5-9		着地後3				300		500	-1500	-2000	300	中	
ラシード	通常技	ジャンプ中P （エリアルビーク）	（ジャンプ中に）	中P	9	9-13		着地後3			C	600		1000	-3000	-4000	500	中	空中ヒット時吹き飛びダウン
ラシード	通常技	ジャンプ中K （グライダードロップ）	（ジャンプ中に）	中K	7	7-12		着地後3				500		1000	-2500	-4000	500	中	
ラシード	通常技	ジャンプ強P （エリアルダブルスラスト）	（ジャンプ中に）	強P	8	8-16	8-10, 14-16	着地後3				800		2000	-4000	-5000	1000	中中	2段目空中ヒット時叩き付けダウン
ラシード	通常技	ジャンプ強K （サンライズキック）	（ジャンプ中に）	強K	10	10-14		着地後3				800		2000	-4000	-5000	1000	中	ウイング・ストローク、アラビアン・スカイハイからの派生した場合、|空中ヒット時叩き付けダウン
ラシード	特殊技	ラン		→→溜め								0		0	0	0	0		2F-60F間で移動の停止が可能|6F-60F 専用技、前方ジャンプに派生可|停止時は5Fの硬直|1F-60F 気流干渉可
ラシード	特殊技	バックアップ	（ラン中に）	→ + P	8	8-17		17	7	-10	SA	800	始動補正20%	2000	-3000	-7500	1000	下	1F-17F 気流干渉可|2段目のみSAでキャンセル可能
ラシード	特殊技	テンペスト・ムーン	（ラン中に）	→ + K	16	16-24	16-17, 22-24	21	3	-4	SA	1200	始動補正15%	2000	-5000	-10000	1000	上	2-4F 気流干渉により性能変化|6-21F 空中判定|2段目のみSAでキャンセル可能
ラシード	特殊技	【気流強化】 テンペスト・ムーン	（気流接触中にランから）	→ + K	9	9-40	9-11, 33-34,38-40	22	D	-5		1400	始動補正20%|コンボ補正20%	2500	-7000	-10000	600	上	20-35F 空中判定
ラシード	特殊技	フラップ・スピン		→ + 中P	8	8-25	8-9, 24-25	18	1	-3	C	600		1500	-3000	-5000	500	上	初段空中ヒット時吹き飛びダウン|3-10F 気流干渉可
ラシード	特殊技	アサルト・ビーク		→ + 強P	22	22-24		21	3	-3		800		2000	-5000	-5000	1000	中	4-25F 気流干渉可
ラシード	特殊技	クレセントキック		→ + 強K	16	16-19		20	2	-3		900	始動補正20%	3000	-6000	-10000	1000	上	空振り時硬直3F増加|6-19F 気流干渉可
ラシード	特殊技	ブリッツストライク	（前ジャンプ中に）	↓ + 強P	10	10-14		着地後3			C	850	始動補正15%	2000	-4000	-5000	1000	中	ヒット、ガード時12-23F 空中での必殺技へ派生可|24-着地まで 空中での通常技及び必殺技へ派生可|空中ヒット時床バウンド
ラシード	特殊技	エリアルシュート	（垂直ジャンプ中に）	↑ + 強K	8	8-12		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時吹き飛びダウン
ラシード	特殊技	ライジング・キック		中P⇒強K	13	13-16		36	D	-20	C	400	コンボ補正20%	2000	-1000	-10000	600	上	
ラシード	特殊技	サイド・フリップ		→ + KK				全体 32				0		0	0	0	0		18-24F フロント・フリップへ派生可|2F-20F 気流干渉可
ラシード	特殊技	フロント・フリップ	（サイド・フリップ中に）	← or N or → + KK				着地後8				0		0	0	0	0		11-43F 空中判定|22-40F 空中での通常技、特殊技及び必殺技へ派生可|1F-36F 気流干渉可
ラシード	必殺技	弱 スピニング・ミキサー		↓↘→ + 弱P	8	8-23	8, 16-17, 22-23	19	2	-3	SA3	700	始動補正30%	2000	-3000	-5000	800	上	2-17F 気流干渉により性能変化|空振り時硬直5F増加
ラシード	必殺技	【気流強化】 弱 スピニング・ミキサー	（気流接触中に）	↓↘→ + 弱P	6	6-59	6, 12-14, 18-20,25-27,31-33,38-40,44-46,51-53,57-59	15	4	2	SA3	1000	始動補正20%|コンボ補正20%	900	-5000	-5000	500	上	
ラシード	必殺技	中 スピニング・ミキサー		↓↘→ + 中P	8	8-26	8,9-10,13-14,20-21,25-26	着地後11	D	-45	SA3	800	始動補正10%	2000	-7500	-5000	800	上	6-14F 空中判定の打撃・空弾属性に対して無敵|13-60F 空中判定|2-9F 気流干渉により性能変化|ヒット時のみ、着地硬直11F間を必殺技、SAでキャンセル可
ラシード	必殺技	【気流強化】 中 スピニング・ミキサー	（気流接触中に）	↓↘→ + 中P	5	5-59	5,6-7,10-11,16-17,21-22,29-30,34-35,41-42,46-47,53-54,58-59	着地後15	D	-78	SA3	1400		2000	-6250	-5000	800	上	3-11F 空中判定の打撃・空弾属性に対して無敵|10-97F 空中判定
ラシード	必殺技	強 スピニング・ミキサー		↓↘→ + 強P	6	6-39	6-7, 10-12, 16-18, 23-25, 30-32, 37-39	着地後14	D	-55		1200		2000	-5000	-5000	1000	上	6-12F 空中判定の打撃・空弾属性に対して無敵|13-63F 空中判定|8-10F 投げに対して無敵|2-6F 気流干渉により性能変化
ラシード	必殺技	【気流強化】 強 スピニング・ミキサー	（気流接触中に）	↓↘→ + 強P	5	5-51	5-7, 9-11, 15-17, 22-24, 28-30, 33-35,38-40,43-45,49-51	着地後14	D	-83		1800		2600	-5000	-5000	1000	上	6-12F 空中判定の打撃・空弾属性に対して無敵|8-91F 空中判定|8-10F 投げに対して無敵
ラシード	必殺技	OD スピニング・ミキサー		↓↘→ + PP	6	6-48	6, 7-8, 11-13, 16-19, 22-25, 28-31, 34-37, 40-43, 46-48	着地後15	D	-42		1400	始動補正20%	0	-7500	0	1000	上	1-8F 完全無敵|9-13F 空中判定の打撃・空弾属性に対して無敵|2-9F 気流干渉により性能変化
ラシード	必殺技	【気流強化】 OD スピニング・ミキサー	（気流接触中に）	↓↘→ + PP	4	4-59	4, 5-6, 9-11, 14-17, 20-23, 26-29, 32-35, 38-41, 44-47,50-53,56-59	着地後15	D	-72		1400	始動補正20%	0	-7500	0	650	上	1-6F 完全無敵|10-97F 空中判定|67-71F 空中での必殺技へ派生可
ラシード	必殺技	弱 イーグル・スパイク		↓↙← + 弱K	15	15-27		31	D	-36	※SA3	1100		2000	-4000	-6000	1000	上	4-15F 気流干渉により性能変化|9-38F 空中判定|※ヒット時のみSA3でキャンセル可能
ラシード	必殺技	【気流強化】 弱 イーグル・スパイク	（気流接触中に）	↓↙← + 弱K	14	14-26		33	D	-24	※SA3	1300		2000	-5000	-6000	1000	上	9-38F 空中判定|※ヒット時のみSA3でキャンセル可能
ラシード	必殺技	中 イーグル・スパイク		↓↙← + 中K	21	21-33		26	D	-36		1300		2000	-6000	-8000	1100	上	6-28F 気流干渉により性能変化|12-38F 空中判定
ラシード	必殺技	【気流強化】 中 イーグル・スパイク	（気流接触中に）	↓↙← + 中K	17	17-31		50	D	-15		1500		2000	-8000	-8000	1200	上	17-45F 空中判定
ラシード	必殺技	強 イーグル・スパイク		↓↙← + 強K	26	26-38		27	D	-36		1500		2000	-8000	-10000	1200	上	6-31F 気流干渉により性能変化|15-44F 空中判定
ラシード	必殺技	【気流強化】 強 イーグル・スパイク	（気流接触中に）	↓↙← + 強K	17	17-31		50	D	-15		1500		2000	-8000	-8000	1200	上	8-45F 空中判定
ラシード	必殺技	OD イーグル・スパイク		↓↙← + KK	21	21-33		26	D	-36		1000	コンボ補正20%	0	-8000	-8000	1000	上	6-30F 気流干渉により性能変化|12-40F 空中判定
ラシード	必殺技	【気流強化】 OD イーグル・スパイク	（気流接触中に）	↓↙← + KK	18	18-31		22	D	-24		1300		0	-8000	-8000	500	上	12-40F 空中判定|7-40F 飛び道具に対して無敵
ラシード	必殺技	弱 ワールウインド・ショット		↓↘→ + 弱K	17			全体 52	-1	-9	SA3	600		1000	-2500	-3000	600	上・弾	29-48Fでボタンを放すとホールド版へ派生|48F以降はホールドMAXへ派生
ラシード	必殺技	弱 ワールウインド・ショット (ホールド)		↓↘→ + 弱Kホールド	34				5	0	SA3	900		1000	-2500	-3000	600	上・弾	
ラシード	必殺技	弱 ワールウインド・ショット (ホールドMAX)		↓↘→ + 弱Kホールド	53				16	8	SA3	1000		1000	-2500	-3000	600	上・弾	動作後、60F間気流が発生
ラシード	必殺技	中 ワールウインド・ショット		↓↘→ + 中K	17			全体 52	-1	-9	SA3	600		1000	-2500	-3000	600	上・弾	29-48Fでボタンを放すとホールド版へ派生|48F以降はホールドMAXへ派生
ラシード	必殺技	中 ワールウインド・ショット (ホールド)		↓↘→ + 中Kホールド	34				5	0	SA3	900		1000	-2500	-3000	600	上・弾	
ラシード	必殺技	中 ワールウインド・ショット (ホールドMAX)		↓↘→ + 中Kホールド	53				16	8	SA3	1000		1000	-2500	-3000	600	上・弾	動作後、60F間気流が発生
ラシード	必殺技	強 ワールウインド・ショット		↓↘→ + 強K	17			全体 52	-1	-9	SA3	600		1000	-2500	-3000	600	上・弾	29-48Fでボタンを放すとホールド版へ派生|48F以降はホールドMAXへ派生
ラシード	必殺技	強 ワールウインド・ショット (ホールド)		↓↘→ + 強Kホールド	34				5	0	SA3	900		1000	-2500	-3000	600	上・弾	
ラシード	必殺技	強 ワールウインド・ショット (ホールドMAX)		↓↘→ + 強Kホールド	53				16	8	SA3	1000		1000	-2500	-3000	600	上・弾	動作後、60F間気流が発生
ラシード	必殺技	OD ワールウインド・ショット		↓↘→ + KK	17			全体 52	D	-2	SA2	700	始動補正25%|コンボ補正25%	0	-2500	-3000	600	上・弾	32Fまでボタンホールドでホールド版へ派生
ラシード	必殺技	OD ワールウインド・ショット (ホールド版)		↓↘→ + KKホールド	38				D	10	SA2	1200	始動補正20%|コンボ補正20%	0	-2500	-3000	600	上・弾	54F目 専用技へ派生可|動作後、70F間気流が発生
ラシード	必殺技	弱 アラビアン・サイクロン		↓↙← + 弱P	15	15-17		全体 47	2	-6	SA3	800		2000	-4000	-8000	600	上	21-22F 専用技へ派生可|飛び道具相殺判定あり（1回）
ラシード	必殺技	中 アラビアン・サイクロン		↓↙← + 中P	20	20-22		全体 50	4	-4	SA3	900		2000	-5000	-8000	600	上	26-27F 専用技へ派生可|飛び道具相殺判定あり（1回）
ラシード	必殺技	強 アラビアン・サイクロン		↓↙← + 強P	27	27-29		全体 69	D	-2	SA3	1000		2000	-6000	-8000	600	上	33-34F 専用技へ派生可|飛び道具相殺判定あり（1回）
ラシード	必殺技	OD アラビアン・サイクロン		↓↙← + PP	20	20-22		全体 53	D	-10	SA2	800	始動補正20%|コンボ補正20%	0	-6000	-6500	600	上	26-27F 専用技へ派生可|ガード時硬直3F増加|動作後、60F間気流が発生|飛び道具相殺判定あり（1回）
ラシード	必殺技	ウイング・ストローク	（アラビアン・サイクロン中に）	← + K				着地後6				0		0	0	0	0		22-61F 空中判定|32-51F 空中での通常技へ派生可|23F-47F 気流干渉可
