キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
テリー	通常技	立ち弱P （ジャブ）		弱P	4	4-6		7	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
テリー	通常技	立ち弱K （ローキック）		弱K	5	5-6		12	2	-2	C	300	始動補正20%	250	-500	-2000	300	上	
テリー	通常技	立ち中P （ストレート）		中P	7	7-9		16	2	-3	C	700		1500	-3000	-4000	500	上	
テリー	通常技	立ち中K （ミドルキック）		中K	9	9-11		18	5	-2		700		2000	-4000	-6000	700	上	
テリー	通常技	立ち強P （ボディ）		強P	9	9-12		18	2	1	C	800		2000	-5000	-8000	1000	上	ガード時硬直2F減少
テリー	通常技	立ち強K （回し蹴り）		強K	12	12-15		21	1	-4		900		3000	-6000	-8000	1000	上	パニッシュカウンター時に膝崩れダウンに ＋18
テリー	通常技	しゃがみ弱P （しゃがみジャブ）		↓ + 弱P	4	4-6		8	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
テリー	通常技	しゃがみ弱K（足払い蹴り）		↓ + 弱K	5	5-6		11	3	-2		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
テリー	通常技	しゃがみ中P （しゃがみストレート）		↓ + 中P	6	6-9		13	5	-1	C	600		1500	-3000	-4000	600	上	ガード時硬直1F増加|空振り時硬直2F増加
テリー	通常技	しゃがみ中K （ヒールキック）		↓ + 中K	8	8-10		19	-2	-6	C	500	始動補正20%	1000	-2000	-4000	500	下	
テリー	通常技	しゃがみ強P（ワイルドアッパー）		↓ + 強P	8	8-13		22	1	-4	C	800		2000	-5000	-8000	1000	上	強制立ち効果|ヒット・ガード時硬直3F減少
テリー	通常技	しゃがみ強K （スライドキック）		↓ + 強K	10	10-12		24	D	-11		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
テリー	通常技	ジャンプ弱P （ジャンプ手刀）	（ジャンプ中に）	弱P	4	4-10		着地後3				300		500	-1500	-2000	300	中	
テリー	通常技	ジャンプ弱K （ジャンプ前蹴り）	（ジャンプ中に）	弱K	5	5-11		着地後3				300		500	-1500	-2000	300	中	
テリー	通常技	ジャンプ中P （ジャンプバックナックル）	（ジャンプ中に）	中P	7	7-12		着地後3				500		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
テリー	通常技	ジャンプ中K （ナイト・ブレイカー）	（ジャンプ中に）	中K	7	7-10		着地後3				700		1000	-2500	-4000	500	中	めくり性能
テリー	通常技	ジャンプ強P （ジャンプ正拳突き）	（ジャンプ中に）	強P	9	9-14		着地後3				800		2000	-4000	-5000	1000	中	空中カウンター/パニッシュカウンター時叩きつけダウン
テリー	通常技	ジャンプ強K （ジャンプテリーキック）	（ジャンプ中に）	強K	10	10-16		着地後3				800		2000	-4000	-5000	1000	中	
テリー	特殊技	ハンマーパンチ		→ + 強P	22	22-24		19	2	-3		800		2000	-5000	-4000	1000	中	
テリー	特殊技	パワードライブ		中P⇒強P	15	15-17		22	D	-5		1100	即時補正30%	600	-2000	-4000	600	上	
テリー	特殊技	パワーシュート		中P⇒強K	18	18-20		31	D	-14		600	始動補正20%|コンボ補正20%	500	-1000	-4000	500	上	
テリー	特殊技	パワーダンク		中P⇒強K⇒強K	18	18-47	18-20,42-47	33	D	―		1300		2500	0	-5000	1750	上	
テリー	特殊技	パッシングスウェー		中P⇒中K	13	13-14		27	-3	-12		400		1000	-2500	-4000	400	上	ヒット時のみ20-40F 完全無敵
テリー	特殊技	ジャンプラリアットパンチ		中P⇒中K⇒中P	24	24-25		18	4	3		1000		1500	-2500	-4000	1000	上	1-25F 完全無敵|14-25F 空中判定
テリー	特殊技	ジャンプニーアタック		中P⇒中K⇒中K	24	24-25		20	3	-2		1000		1500	-2500	-4000	1000	上	1-25F 完全無敵|16-25F 空中判定
テリー	特殊技	ファイヤーキック		↓ + 中K⇒↓ + 強K	13	13-14		28	D	-16	C	500	コンボ補正20%	500	-3000	-4000	300	上	
テリー	必殺技	弱 パワーウェイブ		↓↘→ + 弱P	14			全体 49	-3	-9	SA3	600		1000	-2500	-2000	600	上・弾	
テリー	必殺技	中 パワーウェイブ		↓↘→ + 中P	16			全体 48	0	-6	SA3	700		1000	-2500	-2000	700	上・弾	
テリー	必殺技	ラウンドウェイブ		↓↘→ + 強P	29			全体 51	8	5	SA3	900		1500	-7000	-2000	1000	下・弾	
テリー	必殺技	OD パワーウェイブ		↓↘→ + PP	15			全体 43	2	-2	SA2	800	始動補正20%	0	-2500	-5000	600	上・弾	
テリー	必殺技	クイックバーン		↓↙← + 弱P	10	10-23	10-11, 22-23	23	2	-5	SA3	900	始動補正30%	2000	-4000	-10000	700	上中	
テリー	必殺技	OD クイックバーン		↓↙← + 弱P中P	10	10-23	10-11, 22-23	23	D	-5	SA2	1400	始動補正20%	0	-3000	-5000	1300	上中上	
テリー	必殺技	中 バーンナックル		↓↙← + 中P	14	14-22		20	D	-6	SA3	1000		2000	-5000	-6000	1000	上	
テリー	必殺技	強 バーンナックル		↓↙← + 強P	23	23-36		17	D	-8	SA3	1200		3000	-6000	-10000	1200	上	
テリー	必殺技	OD バーンナックル		↓↙← + PP	19	19-32		17	D	-8	SA2	1400	始動補正20%|コンボ補正20%	0	-8000	-10000	1200	上	パニッシュカウンター時吹き飛び時間延長
テリー	必殺技	弱 パワーチャージ		↓↘→ + 弱K	14	14-18		24	3	-9	SA3	700	コンボ補正20%	1500	-3000	-5000	500	上	
