キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
ベガ	通常技	立ち弱P（ジャブ）		弱P	5	5-6		11	4	-3	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ベガ	通常技	立ち弱K（ヘルニーキック）		弱K	4	4-5		10	3	-1	C	300	始動補正20%	250	-500	-2000	300	上	
ベガ	通常技	立ち中P（ヘルボディーブロー）		中P	8	8-10		15	6	0	C	600		1500	-3000	-4000	500	上	
ベガ	通常技	立ち中K（シャドーミドルキック）		中K	10	10-12		17	2	-3		700		2000	-4000	-6000	700	上	
ベガ	通常技	立ち強P（サイコパイル）		強P	19	19-21		17	4	1	SA	1000	始動補正20%	2000	-5000	-10000	1000	上	空振り/アーマーヒット時硬直3F増加|空中ヒット時床バウンド|パニッシュカウンター時+17F
ベガ	通常技	立ち強K（シャドーサイス）		強K	13	13-16		19	6	-2		900		3000	-5000	-10000	1000	上	空中ヒット時吹き飛びダウン|パニッシュカウンター時に膝崩れダウンに+32F|空中パニッシュカウンター時吹き飛び時間延長
ベガ	通常技	しゃがみ弱P（ジャブ）		↓ + 弱P	4	4-5		10	4	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ベガ	通常技	しゃがみ弱K（ヘルレッグ）		↓ + 弱K	5	5-6		10	4	-2		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
ベガ	通常技	しゃがみ中P（ストレート）		↓ + 中P	6	6-8		14	5	-1	C	600		1500	-3000	-4000	500	上	※空振り時硬直3F増加
ベガ	通常技	しゃがみ中K（デスレッグ）		↓ + 中K	8	8-10		19	-2	-6	C	500	始動補正20%	1000	-2000	-4000	500	下	
ベガ	通常技	しゃがみ強P（サイコアッパー）		↓ + 強P	10	10-15		21	0	-9	C	900		2000	-5000	-8000	1000	上	強制立ち効果|空中カウンター/パニッシュカウンター時吹き飛びダウン
ベガ	通常技	しゃがみ強K（シャドースイープ）		↓ + 強K	11	11-13		26	D	-12		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
ベガ	通常技	ジャンプ弱P（ヘルフック）	（ジャンプ中に）	弱P	5	5-8		着地後3				300		500	-1500	-2000	300	中	
ベガ	通常技	ジャンプ弱K（ヒールスタンプ）	（ジャンプ中に）	弱K	5	5-11		着地後3				300		500	-1500	-2000	300	中	めくり性能
ベガ	通常技	ジャンプ中P（ヘルナックル）	（ジャンプ中に）	中P	8	8-11		着地後3				700		1000	-3000	-4000	500	中	空中ヒット時吹き飛びダウン
ベガ	通常技	ジャンプ中K（ニーミサイル）	（ジャンプ中に）	中K	7	7-13		着地後3				500		1000	-2500	-4000	500	中	めくり性能
ベガ	通常技	ジャンプ強P（サイコエルボー）	（ジャンプ中に）	強P	9	9-14		着地後3				800		2000	-4000	-5000	1000	中	空中カウンター/パニッシュカウンター時叩きつけダウン
ベガ	通常技	ジャンプ強K（トマホークキック）	（ジャンプ中に）	強K	10	10-15		着地後3				800		2000	-4000	-5000	1000	中	
ベガ	特殊技	サイコハンマー		→ + 強P	22	22-24		20	3	-3		800		2000	-5000	-7000	1000	中	空中ヒット時床バウンド
ベガ	特殊技	イビルニー		← + 強K	10	10-13		17	4	1	C	800		3000	-3000	-8000	1000	上	
ベガ	特殊技	ホバーキック		↘ + 強K	15	15-24		23	D	-15		900		3000	-4000	-10000	1000	下	カウンター/パニッシュカウンター時ダウン時間増加
ベガ	特殊技	シャドウハンマー		中P⇒→ + 強P	22	22-24		20	3	-3		800		2000	-5000	-7000	500	中	空中ヒット時床バウンド
ベガ	特殊技	シャドウスピア		中P⇒↓ + 強K	16	16-19		20	3	-3		700		3000	-3000	-4000	600	下	
ベガ	特殊技	ヘルアタック	（ジャンプ中に）	中P⇒中P	7	7-10		着地後3				700		1000	-3000	-4000	500	上	
ベガ	必殺技	弱 サイコクラッシャーアタック		←溜め→ + 弱P	14	14-29		24	D	-20	SA3	1200	始動補正30%	2000	-6000	-10000	1200	上	6-15F 空中判定の打撃・空弾属性に対して無敵|20-29F 空中判定|飛び道具相殺判定あり（1回）
ベガ	必殺技	[サイコマイン付与時]弱 サイコクラッシャーアタック		←溜め→ + 弱P	14	14-29		24	D	6	SA3	1700	始動補正30%	4000	-9000	-10000	1700	上	6-15F 空中判定の打撃・空弾属性に対して無敵|20-29F 空中判定|飛び道具相殺判定あり（1回）|ヒット/ガード時にサイコマインを誘爆
ベガ	必殺技	中 サイコクラッシャーアタック		←溜め→ + 中P	20	20-35		24	D	-20	SA3	1400	始動補正30%	3500	-7000	-10000	1300	上	6-21F 空中判定の打撃・空弾属性に対して無敵|26-45F 空中判定|飛び道具相殺判定あり（1回）
ベガ	必殺技	[サイコマイン付与時]中 サイコクラッシャーアタック		←溜め→ + 中P	20	20-35		24	D	6	SA3	1900	始動補正30%	5500	-10000	-10000	1800	上	6-21F 空中判定の打撃・空弾属性に対して無敵|26-45F 空中判定|飛び道具相殺判定あり（1回）|ヒット/ガード時にサイコマインを誘爆
ベガ	必殺技	強 サイコクラッシャーアタック		←溜め→ + 強P	24	24-49		24	D	-23	SA3	1600	始動補正30%	5000	-8000	-10000	1500	上	6-25F 空中判定の打撃・空弾属性に対して無敵|30-49F 空中判定|飛び道具相殺判定あり（1回）
ベガ	必殺技	[サイコマイン付与時]強 サイコクラッシャーアタック		←溜め→ + 強P	24	24-49		24	D	5	SA3	2100	始動補正30%	7000	-11000	-10000	2000	上	6-25F 空中判定の打撃・空弾属性に対して無敵|30-49F 空中判定|飛び道具相殺判定あり（1回）|ヒット/ガード時にサイコマインを誘爆
ベガ	必殺技	OD サイコクラッシャーアタック		←溜め→ + PP	16	16-31		20	D	-3	SA2	1300	始動補正30%	0	-5000	-7000	1200	上	7-17F 空中判定の打撃・空弾属性に対して無敵|13-31F 飛び道具無敵|20-31F 空中判定
ベガ	必殺技	[サイコマイン付与時]OD サイコクラッシャーアタック		←溜め→ + PP	16	16-31		20	D	10		1600	始動補正30%	0	-8000	-7000	2800	上	7-17F 空中判定の打撃・空弾属性に対して無敵|13-31F 飛び道具無敵|20-31F 空中判定|ヒット/ガード時にサイコマインを誘爆
ベガ	必殺技	弱 ダブルニープレス		↓↘→ + 弱K	13	13-17	13-14, 16-17	20	2	-5	SA3	800	始動補正30%	1500	-5000	-5000	800	上	
ベガ	必殺技	中 ダブルニープレス		↓↘→ + 中K	17	17-21	17-18, 20-21	20	3	-5	SA3	900	始動補正20%	2000	-5000	-5000	1000	上	
ベガ	必殺技	強 ダブルニープレス		↓↘→ + 強K	22	22-26	22-23, 25-26	20	3	-4	SA3	1200		2500	-5000	-5000	1200	上	
ベガ	必殺技	OD ダブルニープレス		↓↘→ + KK	17	17-41	17-18, 20-21, 39-41	28	D	-15	SA2	800	コンボ補正20%	0	-3000	-5000	1000	上	
ベガ	必殺技	弱 バックフィストコンボ		↓↙← + 弱P	13	13-29	13-14, 25-29	25	D	-14	SA3	700		2000	-6000	-5000	800	上	ヒット時硬直3F増加|ヒット時にサイコマインを相手に付与
ベガ	必殺技	[サイコマイン付与時]弱 バックフィストコンボ		↓↙← + 弱P	13	13-29	13-14, 25-29	25	D	9	SA3	1300		4000	-9000	-8000	1300	上	ヒット/ガード時にサイコマインを誘爆
ベガ	必殺技	中 バックフィストコンボ		↓↙← + 中P	17	17-33	17-18, 29-33	26	D	-15	SA3	800		2500	-6000	-5000	1200	上	ヒット時硬直3F増加|ヒット時にサイコマインを相手に付与
ベガ	必殺技	[サイコマイン付与時]中 バックフィストコンボ		↓↙← + 中P	17	17-33	17-18, 29-33	26	D	9	SA3	1400		4500	-9000	-8000	1700	上	ヒット/ガード時にサイコマインを誘爆
ベガ	必殺技	強 バックフィストコンボ		↓↙← + 強P	22	22-39	22-24, 35-39	26	D	-15	SA3	900		2500	-6000	-5000	1000	上	ヒット時にサイコマインを相手に付与
