キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
ザンギエフ	通常技	立ち弱P（ブレーンチョップ）		弱P	7	7-9		9	4	2	C	400	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ザンギエフ	通常技	[連打版]立ち弱P（ブレーンチョップ）		弱P	4	4-6		9	4	2	C	400	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ザンギエフ	通常技	立ち弱K（ローキック）		弱K	7	7-8		17	-2	-4	C	400	始動補正20%	250	-500	-2000	300	上	
ザンギエフ	通常技	立ち中P（カウンターチョップ）		中P	9	9-12		17	2	-2		700		2500	-5000	-6000	700	上	
ザンギエフ	通常技	立ち中K（ミドルキック）		中K	10	10-13		19	1	-4		900		3000	-6000	-8000	900	上	
ザンギエフ	通常技	立ち強P（ダイナマイトパンチ）		強P	16	16-18		22	3	-3		1000		3500	-6000	-8000	1000	上	カウンター/パニッシュカウンター時吹き飛びダウン|空振り時硬直2F増加|ボタンホールド時、4F～上半身アーマー判定（1回）|23F以上ホールドすると性能変化
ザンギエフ	通常技	立ち強P（ダイナマイトパンチ）（ホールド）		強Pホールド	32	32-34		22	D	3		1400		6000	-10000	-13000	1400	上	4-34F 上半身アーマー判定（1回）|パニッシュカウンター時吹き飛び時間増加|空振り時硬直2F増加
ザンギエフ	通常技	立ち強K（ロシアンハイキック）		強K	13	13-16		21	3	1		1000		4000	-7000	-11000	1000	上	空中ヒット時吹き飛びダウン|パニッシュカウンター時吹き飛びダウン&吹き飛び時間増加
ザンギエフ	通常技	しゃがみ弱P（ヘルフィンガー）		↓ + 弱P	6	6-7		8	6	1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ザンギエフ	通常技	[連打版]しゃがみ弱P（ヘルフィンガー）		↓ + 弱P	3	3-4		8	6	1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ザンギエフ	通常技	しゃがみ弱K（ショートスタンプ）		↓ + 弱K	4	4-6		12	0	-3		250	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
ザンギエフ	通常技	[連打版]しゃがみ弱K（ショートスタンプ）		↓ + 弱K	3	3-5		12	0	-3		250	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
ザンギエフ	通常技	しゃがみ中P（ロシアンフィスト）		↓ + 中P	8	8-10		16	3	-1	C	700		3000	-6000	-8000	800	上	
ザンギエフ	通常技	しゃがみ中K（ダイナマイトキック）		↓ + 中K	9	9-11		18	3	-2		700	始動補正20%	2500	-5000	-8000	700	下	
ザンギエフ	通常技	しゃがみ強P（ダイナマイトエルボ－）		↓ + 強P	11	11-19		35	D	-20		1000		4000	-7000	-11000	1000	上	パニッシュカウンター時吹き飛び時間増加、|パニッシュカウンター時床バウンド
ザンギエフ	通常技	しゃがみ強K（ビッグスタンプ）		↓ + 強K	12	12-14		27	D	-13		1000		3500	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
ザンギエフ	通常技	ジャンプ弱P（ジャンピングフィンガー）	（ジャンプ中に）	弱P	5	5-11		着地後3				300		500	-1500	-2000	300	中	
ザンギエフ	通常技	ジャンプ弱K（ダブルニードロップ）	（ジャンプ中に）	弱K	5	5-14		着地後3				300		500	-1500	-2000	300	中	めくり性能
ザンギエフ	通常技	ジャンプ中P（ジャンピングフィスト）	（ジャンプ中に）	中P	8	8-12		着地後3				700		1000	-3000	-4000	500	中	
ザンギエフ	通常技	ジャンプ中K（ジャンピングロシアンスタンプ）	（ジャンプ中に）	中K	8	8-15		着地後3				500		1000	-2500	-4000	500	中	
ザンギエフ	通常技	ジャンプ強P（ジャンピングロシアンチョップ）	（ジャンプ中に）	強P	9	9-14		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時叩きつけダウン
ザンギエフ	通常技	ジャンプ強K（ドロップキック）	（ジャンプ中に）	強K	10	10-16		着地後3				800		2000	-4000	-5000	1000	中	20F以上ホールドすると性能変化
ザンギエフ	通常技	ジャンプ強K（ドロップキック）（ホールド）	（ジャンプ中に）	強Kホールド	32	32-37		着地後20				1500		2000	-4000	-10000	1000	中	ヒット/ガード時専用アクションに移行し、着地硬直が10F増加|パニッシュカウンター時壁バウンド
ザンギエフ	特殊技	ヘルスタブ		↘ + 中P	7	7-9		21	-1	-3	C	800		3000	-5000	-6000	700	上	強制立ち効果
ザンギエフ	特殊技	ニーバット		→ + 中K	14	14-20		13	1	-4		700		3000	-6000	-6000	800	上	
ザンギエフ	特殊技	ヘッドバット		→ + 強P	14	14-18		15	8	4	C	1000	始動補正25%|コンボ補正20%	4500	-8000	-11000	1000	上	空振り時硬直2F増加
ザンギエフ	特殊技	サイクロンニールキック		→ + 強K	22	22-28		25	D	-9		1300	コンボ補正20%	4500	-6000	-11000	1200	中	パニッシュカウンター時床バウンド
