キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
ヤスミン	通常技	立ち弱P（マガアン・ナ・パグラスラス）		弱P	5	5-7		7	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応|空振り時硬直1F増加
ヤスミン	通常技	立ち弱K（マババング・シパ）		弱K	5	5-6		12	2	-4	C	300	始動補正20%	250	-500	-2000	300	上	
ヤスミン	通常技	立ち中P（パバリック・バリック ・ナ・パグラスラス）		中P	6	6-17	6-7, 16-17	18	2	-3		600		1600	-3000	-4000	500	上	
ヤスミン	通常技	立ち中K（タギリラング・シパ）		中K	10	10-12		19	3	-4		700		2000	-4000	-6000	700	上	
ヤスミン	通常技	立ち強P（トリップレング・パグラスラス）		強P	9	9-28	9-10, 15-16, 27-28	15	2	-3	C	800		2000	-5000	-8000	1000	上	
ヤスミン	通常技	立ち強K（トゥマタロン・ナ・シパ）		強K	14	14-16		20	1	-4		800	始動補正30%	3000	-6000	-8000	1000	上	パニッシュカウンター時きりもみダウン
ヤスミン	通常技	しゃがみ弱P（マビリサング・パグラスラス）		↓ + 弱P	4	4-6		8	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ヤスミン	通常技	しゃがみ弱K（マガアン・ナ・シパ）		↓ + 弱K	5	5-7		10	2	-2		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
ヤスミン	通常技	しゃがみ中P（カルモット）		↓ + 中P	6	6-8		16	4	0	C	600		1500	-3000	-4000	600	上	空振り時硬直2F増加|ガード時硬直2F減少
ヤスミン	通常技	しゃがみ中K（パンドゥログ・ナン・ルロッド）		↓ + 中K	8	8-10		19	-1	-6	C	500	始動補正20%	1000	-2000	-4000	600	下	
ヤスミン	通常技	しゃがみ強P（マミミツィン）		↓ + 強P	8	8-13		23	2	-11	C	800		2000	-5000	-8000	1000	上	強制立ち効果
ヤスミン	通常技	しゃがみ強K（グンティング・ナ・パバサ）		↓ + 強K	10	10-12		25	D	-10		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
ヤスミン	通常技	ジャンプ弱P（マガアン・ナ・パンヒンパパウィド・パグラスラス）	（ジャンプ中に）	弱P	4	4-8		着地後3				300		500	-1500	-2000	300	中	
ヤスミン	通常技	ジャンプ弱K（パンヒンパパウィド・ナ・シパ・ガミット・アング・トゥホッド）	（ジャンプ中に）	弱K	4	4-9		着地後3				300		500	-1500	-2000	300	中	めくり性能
ヤスミン	通常技	ジャンプ中P（パビログ・ナ・パグラスラス）	（ジャンプ中に）	中P	7	7-10		着地後3				700		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
ヤスミン	通常技	ジャンプ中K（パンヒンパパウィド・ナ・シパ・サ・ハラップ）	（ジャンプ中に）	中K	7	7-12		着地後3				500		1000	-2500	-4000	500	中	めくり性能
ヤスミン	通常技	ジャンプ強P（ナママロング・マガ・パクパク）	（ジャンプ中に）	強P	9	9-14		着地後3				800		2000	-4000	-5000	1000	中	空中カウンター/パニッシュカウンター時叩きつけダウン
ヤスミン	通常技	ジャンプ強K（パンヒンパパウィド・ナ・マラカス・ナ・シパ）	（ジャンプ中に）	強K	10	10-16		着地後3				800		2000	-4000	-5000	1000	中	
ヤスミン	特殊技	ヒワン・パババ		→ + 中P	22	22-24		18	3	-3		600		1500	-2500	-5000	500	中	
ヤスミン	特殊技	ワリス・ナ・パバグサ		← + 強K	22	22-23		25	D	-6	C	800	始動補正20%	3000	-6000	-8000	1000	下	空振り時硬直3F増加|パニッシュカウンター時吹き飛び時間延長
ヤスミン	特殊技	キドラット・ナ・ヒワ		弱P⇒弱P	8	8-9		16	1	-3	C	400		500	-1000	-4000	700	上	ガード時硬直2F増加
ヤスミン	特殊技	タッロング・ヒワ		中P⇒中P	12	12-13		27	D	-13	C	400	コンボ補正20%	400	-1000	-2000	300	上	
