キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
アレックス	通常技	立ち弱P（クイックジャブ）		弱P	4	4-5		9	5	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
アレックス	通常技	立ち弱K（ローキック）		弱K	6	6-7		13	1	-5	C	300	始動補正20%	250	-500	-2000	300	上	
アレックス	通常技	立ち中P（ボディーブロー）		中P	7	7-10		17	3	0	C	600		1500	-3000	-4000	500	上	
アレックス	通常技	立ち中K（ミドルキック）		中K	9	9-11		19	3	-4		700		2000	-4000	-6000	700	上	
アレックス	通常技	立ち強P（フェイスクラッシャー）		強P	12	12-16		19	4	-3	SA	900	始動補正10%	2000	-5000	-8000	1000	上	16F以上ホールドすると性能変化
アレックス	通常技	立ち強P（フェイスクラッシャー）（ホールド）		強Pホールド	23	23-25		22	5	2	C※	1000	始動補正20%	3000	-8000	-12000	1000	上	※ブレイカー・スタンスに派生可能|パニッシュカウンター時+13F
アレックス	通常技	立ち強K（ロングキック）		強K	16	16-18		23	1	-4		900	始動補正15%	3000	-5000	-8000	1000	上	パニッシュカウンター時に膝崩れダウンに+23F|16F以上ホールドすると性能変化
アレックス	通常技	立ち強K（ロングキック）（ホールド）		強Kホールド	25	25-27		20	D	2	※	1000	始動補正15%	3000	-8000	-12000	1100	上	※ブレイカー・スタンスに派生可能|パニッシュカウンター時吹き飛び時間延長
アレックス	通常技	しゃがみ弱P（ロークロー）		↓ + 弱P	5	5-7		8	5	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
アレックス	通常技	しゃがみ弱K（グランドロー）		↓ + 弱K	5	5-7		11	2	-2		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
アレックス	通常技	しゃがみ中P（地獄突き）		↓ + 中P	8	8-9		16	1	-2	C	600		1500	-3000	-4000	500	上	空振り時硬直4F増加
アレックス	通常技	しゃがみ中K（シンキック）		↓ + 中K	8	8-10		18	4	-2		600	始動補正20%	2000	-4000	-6000	600	下	
アレックス	通常技	しゃがみ強P（ビッグスワイプ）		↓ + 強P	9	9-14		22	-3	-6	C	800		2500	-5000	-8000	1000	上	※ブレイカー・スタンスに派生可能|パニッシュカウンター時吹き飛びダウン|強制立ち効果
アレックス	通常技	しゃがみ強K（ラウンドキック）		↓ + 強K	10	10-12		26	D	-11		1000		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
アレックス	通常技	ジャンプ弱P（ハイジャブ）	（ジャンプ中に）	弱P	5	5-12		着地後3				300		500	-1500	-2000	300	中	
アレックス	通常技	ジャンプ弱K（フライングニー）	（ジャンプ中に）	弱K	6	6-14		着地後3				300		500	-1500	-2000	300	中	めくり性能
アレックス	通常技	ジャンプ中P（フライングニーチョップ）	（ジャンプ中に）	中P	7	7-10		着地後3				700		1000	-3000	-4000	500	中	空中ヒット時吹き飛びダウン
アレックス	通常技	ジャンプ中K（ニールキック）	（ジャンプ中に）	中K	8	8-14		着地後3				700		1000	-2500	-4000	500	中	
