キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
ダルシム	通常技	立ち弱P（手刀チョップ）		弱P	4	4-6		8	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ダルシム	通常技	立ち弱K（合掌フロントローキック）		弱K	9	9-12		11	2	-6	C	300	始動補正20%	250	-500	-2000	300	上	
ダルシム	通常技	立ち中P（ズームストレート）		中P	14	14-16		19	0	-5		700		2000	-3000	-6000	500	上	
ダルシム	通常技	立ち中K（合掌ズームローキック）		中K	12	12-14		18	-2	-6		600		2000	-3000	-6000	500	上	
ダルシム	通常技	立ち強P（ダブルズームパンチ）		強P	16	16-19		27	-6	-11		1000		4000	-5000	-8000	1000	上	パニッシュカウンター時吹き飛びダウン
ダルシム	通常技	立ち強K（合掌ズームスピンキック）		強K	17	17-19		20	3	-6	C	800		2500	-4000	-8000	1000	上	空中ヒット時吹き飛びダウン|パニッシュカウンター時+24F
ダルシム	通常技	しゃがみ弱P（手刀水平チョップ）		↓ + 弱P	5	5-7		9	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ダルシム	通常技	しゃがみ弱K（スライディング）		↓ + 弱K	4	4-10		16	-5	-10		200		250	-500	-2000	300	下	
ダルシム	通常技	しゃがみ中P（しゃがみズームパンチ）		↓ + 中P	12	12-14		16	0	-4	C	600		2000	-3000	-6000	500	上	
ダルシム	通常技	しゃがみ中K（ヨガスライディング）		↓ + 中K	10	10-22		14	-3	-10		500	始動補正20%	1000	-2000	-3000	500	下	
ダルシム	通常技	しゃがみ強P（ダブルヨガパンチ）		↓ + 強P	19	19-22		20	3	-8		800		3500	-4000	-8000	1000	下	空振り時硬直4F増加
ダルシム	通常技	しゃがみ強K（ロングスライディング）		↓ + 強K	12	12-27		20	D	-16		900		2000	-4000	-7000	1000	下	カウンター/パニッシュカウンター時ダウン時間増加
ダルシム	通常技	ジャンプ弱P（ジャンプ掌底）	（ジャンプ中に）	弱P	4	4-7		着地後3				300		750	-1500	-2000	300	中	
ダルシム	通常技	ジャンプ弱K（ジャンプヨガ前蹴り）	（ジャンプ中に）	弱K	6	6-9		着地後3				300		750	-1500	-2000	300	中	めくり性能
ダルシム	通常技	ジャンプ中P（ジャンプズームサイドパンチ）	（ジャンプ中に）	中P	9	9-14		着地後3			C	700	始動補正20%	1500	-3000	-4000	500	上	空中コンボ中にヒット時吹き飛びダウン
ダルシム	通常技	ジャンプ中K（合掌ジャンプアンダーキック）	（ジャンプ中に）	中K	11	11-16		着地後3				500	始動補正20%	1500	-3000	-4000	500	中	
ダルシム	通常技	ジャンプ強P（合掌ハンマー）	（ジャンプ中に）	強P	13	13-16		着地後3				800	始動補正20%	2500	-5000	-6000	1000	中	空中ヒット時叩きつけダウン
ダルシム	通常技	ジャンプ強K（ジャンプズームハイキック）	（ジャンプ中に）	強K	10	10-19		着地後3				800	始動補正20%	2500	-5000	-6000	1000	中	
ダルシム	特殊技	ヨガアッパー		← + 中P	8	8-13		16	2	-3	C	700		1500	-3000	-4000	500	上	強制立ち効果
