キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
イングリッド	通常技	立ち弱P（ライトタッチ）		弱P	4	4-6		7	5	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
イングリッド	通常技	立ち弱K（プチリフト）		弱K	5	5-7		11	2	-3	C	300	始動補正20%	250	-500	-2000	300	上	
イングリッド	通常技	立ち中P（スタートーチ）		中P	6	6-10		13	1	0	C	600		1500	-3000	-4000	500	上	
イングリッド	通常技	立ち中K（スタークリップ）		中K	8	8-11		16	3	-3	C	700		2000	-3000	-6000	500	上	
イングリッド	通常技	立ち強P（ステラーウェーブ）		強P	12	12-15		20	3	-5		900	始動補正20%	3000	-5000	-8000	1000	上	ヒット時硬直1F減少|パニッシュカウンター時+23F
イングリッド	通常技	立ち強K（シューティングスター）		強K	9	9-17	9-13, 15-17	19	4	-2	SA	800		3500	-5000	-8000	1000	上	空中ヒット時床バウンド
イングリッド	通常技	しゃがみ弱P（リトルスター）		↓ + 弱P	4	4-5		9	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
イングリッド	通常技	しゃがみ弱K（リトルワイプ）		↓ + 弱K	5	5-6		10	3	-2		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
イングリッド	通常技	しゃがみ中P（アンダートーチ）		↓ + 中P	7	7-10		12	6	-1	C	600		1500	-3000	-4000	500	上	空振り時硬直3F増加
イングリッド	通常技	しゃがみ中K（ミルキーウェイ）		↓ + 中K	8	8-10		19	1	-6	C	500	始動補正20%	1000	-2000	-4000	500	下	
イングリッド	通常技	しゃがみ強P（ステラーリング）		↓ + 強P	12	12-14		20	1	-1	C	800		2000	-5000	-8000	1000	上	
イングリッド	通常技	しゃがみ強K（オービットキック）		↓ + 強K	10	10-12		25	D	-12		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
イングリッド	通常技	ジャンプ弱P（ライトパット）	（ジャンプ中に）	弱P	4	4-13		着地後3				300		500	-1500	-2000	300	中	
イングリッド	通常技	ジャンプ弱K（プチトリック）	（ジャンプ中に）	弱K	6	6-15		着地後3				300		500	-1500	-2000	300	中	めくり性能
イングリッド	通常技	ジャンプ中P（スタービーコン）	（ジャンプ中に）	中P	8	8-11		着地後3				600		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
イングリッド	通常技	ジャンプ中K（タイニーメテオ）	（ジャンプ中に）	中K	8	8-13		着地後3				500		1000	-2500	-4000	500	中	めくり性能
イングリッド	通常技	ジャンプ強P（タコクライン）	（ジャンプ中に）	強P	9	9-14		着地後3				800		2000	-4000	-5000	1000	中	空中カウンター/パニッシュカウンター時叩きつけダウン
イングリッド	通常技	ジャンプ強K（サテライトアーク）	（ジャンプ中に）	強K	12	12-18		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時吹き飛びダウン
イングリッド	特殊技	サンブライト		→ + 中P	21	21-24		16	3	-3		600		1500	-2500	-5000	700	中	
