キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
ジェイミー	通常技	立ち弱P（杯打）		弱P	5	5-6		7	5	0	C	300	始動補正20%	250	-500	-2000	300	上	
ジェイミー	通常技	立ち弱K（頂奏）		弱K	5	5-6		11	3	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ジェイミー	通常技	立ち中P（背束拳）		中P	8	8-11		14	6	2		600		2000	-4000	-6000	500	上	
ジェイミー	通常技	立ち中K（瞬歩脚）		中K	9	9-11		17	2	-3	C	600		1500	-3000	-4000	700	上	空振り時硬直1F増加
ジェイミー	通常技	立ち強P（連發拳）		強P	5	5-14	5, 7, 12-14	20	1	-3	C	900		2000	-5000	-8000	1600	上	持続の1F目までキャンセル可|空中ヒット時吹き飛びやられ
ジェイミー	通常技	立ち強K（魔霞弧）		強K	15	15-17		21	3	-5	C	800		3000	-4000	-10000	1000	上	パニッシュカウンター時膝くずれ|空中ヒット時吹き飛びやられ
ジェイミー	通常技	しゃがみ弱P（杯打）		↓ + 弱P	4	4-5		9	5	-1	C	250	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ジェイミー	通常技	しゃがみ弱K（先歩）		↓ + 弱K	5	5-6		11	3	-3		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
ジェイミー	通常技	しゃがみ中P（透骨拳）		↓ + 中P	6	6-8		13	5	-1	C	600		1500	-3000	-4000	500	上	空振り時硬直2F増加
ジェイミー	通常技	しゃがみ中K（膝降蹴）		↓ + 中K	7	7-9		18	-1	-6	C	500	始動補正20%	1000	-2000	-4000	600	下	
ジェイミー	通常技	しゃがみ強P（月穿）		↓ + 強P	8	8-12		23	0	-8	C	900		2500	-5000	-7000	1000	上	強制立ち効果|持続の2F目までキャンセル可
ジェイミー	通常技	しゃがみ強K（始廻）		↓ + 強K	9	9-15	9-10, 13-15	28	D	-11		800		3000	-2000	-5000	1000	※下	パニッシュカウンター時ダウン時間増加、ハードノックダウン|空中ヒット時吹き飛びやられ|※ガード時硬直1F増加|※初段がガード時のみ2段目が上段判定
ジェイミー	通常技	ジャンプ弱P（裏肘落）	（ジャンプ中に）	弱P	5	5-13		着地後3				300		500	-1500	-2000	300	中	めくり性能
ジェイミー	通常技	ジャンプ弱K（麓刺）	（ジャンプ中に）	弱K	6	6-11		着地後3				300		500	-1500	-2000	300	中	
ジェイミー	通常技	ジャンプ中P（雲掴）	（ジャンプ中に）	中P	7	7-10		着地後3			C	700		1000	-2500	-4000	500	中	空中ヒット時吹き飛びやられ
ジェイミー	通常技	ジャンプ中K（飛燕腿）	（ジャンプ中に）	中K	7	7-12		着地後3				500		1000	-2500	-4000	500	中	めくり性能
ジェイミー	通常技	ジャンプ強P（鞭槌打）	（ジャンプ中に）	強P	10	10-15		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時叩きつけダウン
ジェイミー	通常技	ジャンプ強K（連空腿）	（ジャンプ中に）	強K	8	8-19	8-10, 16-19	着地後3				800		2000	-4000	-2500	2000	中中	空中ヒット時吹き飛びやられ
ジェイミー	特殊技	天晴脚		↓ + KK	9	9-11		22	D	-8		600	始動補正20%	1000	-2500	-4000	700	上	ヒット時のみジャンプキャンセル可能
ジェイミー	特殊技	幻酔舞（2段目）		↓+強K⇒強K	12	12-14		43	D	-28		500		2000	-3000	-7000	1000	上	
ジェイミー	特殊技	幻酔舞（3段目）		↓+強K⇒強K⇒P				全体 60				0		0	0	0	0		56F目で酔いLv1上昇|酔いLv3以下の時ドライブゲージ2500回復|酔いLv4時ドライブゲージ10000回復
ジェイミー	特殊技	落星脚		→ + 中K	22	22-24		20	1	-3		600		1000	-2500	-4000	500	中	
ジェイミー	特殊技	仙姑肘		← + 強P	18	18-21		20	1	-3	SA	800		2000	-4000	-7000	1000	上	
ジェイミー	特殊技	旋影脚		→ + 強K	16	16-18		20	3	-3	SA	900		1000	-6000	-7000	500	上	
ジェイミー	特殊技	鋭鍾打（1段目）	（酔いLv1以上）	弱P	5	5-7		9	2	-3	C	300	始動補正20%	250	-500	-2000	300	上	酔いLv1以上で発動可能
ジェイミー	特殊技	鋭鍾打（2段目）	（酔いLv1以上）	弱P⇒弱K	6	6-7		16	-3	-8		200		250	-500	-2000	300	上	酔いLv1以上で発動可能
ジェイミー	特殊技	鋭鍾打（3段目）	（酔いLv1以上）	弱P⇒弱K⇒中P	8	8-10		21	-1	-10	C	500		1000	-3000	-4000	500	上	酔いLv1以上で発動可能|※ガード時硬直2F増加
ジェイミー	特殊技	円月脚（1段目）		→ + 中K	22	22-24		20	1	-3		600		1000	-2500	-4000	500	中	
ジェイミー	特殊技	円月脚（2段目）	（酔いLv2以上）	→+中K⇒中K	15	15-24	15-17, 23-24	28	D	-14		400		1000	-1500	-4000	600	上	酔いLv2以上で発動可能
ジェイミー	特殊技	円月脚（3段目）	（酔いLv2以上）	→+中K⇒中K⇒P				全体 61				0		0	0	0	0		酔いLv2以上で発動可能|54F目で酔いLv1上昇|酔いLv3以下の時ドライブゲージ5000回復|酔いLv4時ドライブゲージ10000回復
ジェイミー	特殊技	酩酊襲（1段目）	（酔いLv3以上）	← + 強P	18	18-21		21	1	-3	SA	800		2000	-4000	-7000	1000	上	酔いLv3以上で発動可能
ジェイミー	特殊技	酩酊襲（2段目）	（酔いLv3以上）	← + 強P⇒強P	21	21-24		20	1	-11	SA	600		2000	-4000	-7000	1000	上	酔いLv3以上で発動可能
ジェイミー	特殊技	酩酊襲（3段目）	（酔いLv3以上）	← + 強P⇒強P⇒強K	21	21-23		37	D	-20		800		2000	-4000	-7000	1000	上	酔いLv3以上で発動可能
ジェイミー	特殊技	乱酔旋（1段目）	（酔いLv4以上）	→ + 強K	16	16-19		19	3	-3		900		1000	-6000	-7000	500	上	
ジェイミー	特殊技	乱酔旋（2段目）	（酔いLv4以上）	→+強K⇒← + 強K				全体 75				0		0	0	0	0		酔いLv4で発動可能|空振り時も派生可能|動作中攻撃ボタンを入力するタイミングによって派生技の内容が変化する|6-25F 乱酔旋1へ派生可能|31-55F 乱酔旋2へ派生可能|63-80F 乱酔旋3へ派生可能
ジェイミー	特殊技	乱酔旋（3段目/即派生）	（酔いLv4以上）	→+強K⇒← + 強K⇒P	14	14-18		28	D	-13	C	850	コンボ補正20%	2000	-5000	-7000	1000	上	酔いLv4で発動可能
ジェイミー	特殊技	乱酔旋（3段目/ディレイ派生）	（酔いLv4以上）	→+強K⇒← + 強K⇒P	4	4-28	4-5, 14-15, 27-28	27	D	-9	C	1200		4000	-11000	-7000	2000	上	酔いLv4で発動可能
ジェイミー	特殊技	乱酔旋（3段目/大幅ディレイ派生）	（酔いLv4以上）	→+強K⇒← + 強K⇒P				全体 52				0		0	0	0	0		酔いLv4で発動可能|ドライブゲージ10000回復
ジェイミー	必殺技	魔身		↓↓ + P				全体 50				0		0	0	0	0		49F目で酔いLv1上昇|酔いLv4時ドライブゲージ5000回復|ボタンホールドで動作継続を行い、ホールドした分だけ酔いLvが上昇する|1段階ホールドした場合、全体動作が97Fとなる|酔いLvが上昇すると、上昇したLvに応じてダメージ倍率が増加して、技が解放される|酔いLv毎のダメージ倍率|酔いLv0 90%|酔いLv1 95%|酔いLv2 100%|酔いLv3 105%|酔いLv4 110%|※絶唱魔身中は酔いLv4であるが、ダメージ倍率は105%となる
ジェイミー	必殺技	弱 流酔拳（1段目）		↓↘→ + 弱P	13	13-14		24	-1	-6	SA3	350		1500	-2500	-4000	300	上	
ジェイミー	必殺技	[酔いレベル4]弱 流酔拳（1段目）		↓↘→ + 弱P	13	13-26	13-14,24-26	19	1	-3	SA3	400		3000	-5000	-8000	1000	上	酔いLv4で発動可能
ジェイミー	必殺技	中 流酔拳（1段目）		↓↘→ + 中P	16	16-17		24	-1	-6	SA3	400		1500	-2500	-4000	300	上	
ジェイミー	必殺技	[酔いレベル4]中 流酔拳（1段目）		↓↘→ + 中P	16	16-29	16-17,27-29	19	1	-3	SA3	500		3000	-5000	-8000	1000	上	酔いLv4で発動可能
ジェイミー	必殺技	強 流酔拳（1段目）		↓↘→ + 強P	19	19-20		24	-1	-6	SA3	450		1500	-2500	-4000	300	上	
ジェイミー	必殺技	[酔いレベル4]強 流酔拳（1段目）		↓↘→ + 強P	19	19-32	19-20,30-32	19	1	-3	SA3	600		3000	-5000	-8000	1000	上	酔いLv4で発動可能
ジェイミー	必殺技	OD 流酔拳（1段目）		↓↘→ + PP	13	13-14		24	1	-3	SA2	450	始動補正25%|コンボ補正20%	0	-2500	-4000	300	上	
ジェイミー	必殺技	[酔いレベル4]OD 流酔拳（1段目）		↓↘→ + PP	13	16-26	16-17,24-26	19	3	-3	SA2	600	始動補正25%|コンボ補正20%	0	-5000	-8000	1000	上	酔いLv4で発動可能
ジェイミー	必殺技	弱 流酔拳（2段目）		↓↘→ + 弱P⇒→ + P	13	13-14		28	-3	-13		350		1500	-2500	-4000	300	上	空振り時も派生可能
ジェイミー	必殺技	中 流酔拳（2段目）		↓↘→ + 中P⇒→ + P	16	16-17		28	-3	-11		400		1500	-2500	-4000	300	上	空振り時も派生可能
ジェイミー	必殺技	強 流酔拳（2段目）		↓↘→ + 強P⇒→ + P	19	19-20		28	-3	-9		450		1500	-2500	-4000	300	上	空振り時も派生可能
ジェイミー	必殺技	[酔いレベル4]流酔拳（2段目）		↓↘→ + P⇒→ + P	15	15-23	15-16, 22-23	27	-2	-10		450		1000	-3000	-4000	1000	上	酔いLv4で発動可能
ジェイミー	必殺技	OD 流酔拳（2段目）		↓↘→ + PP⇒→ + P	13	13-14		28	-3	-9		450	始動補正25%	0	-2500	-4000	300	上	空振り時も派生可能
ジェイミー	必殺技	[酔いレベル4]OD 流酔拳（2段目）		↓↘→ + PP⇒→ + P	15	15-23	15-16, 22-23	27	-2	-10		500	始動補正25%	0	-3000	-4000	1000	上	酔いLv4で発動可能
