キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
JP	通常技	立ち弱P（ノーシ）		弱P	6	6-8		10	4	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
JP	通常技	立ち弱K（ニージニイ・ウダール）		弱K	5	5-7		11	3	-2	C	300	始動補正20%	250	-500	-2000	300	上	
JP	通常技	立ち中P（シュトゥールム）		中P	12	12-14		21	1	-6	※	700		3000	-4000	-6000	500	上	※ヴィーハト・チェーニのみキャンセル可能
JP	通常技	立ち中K（ウームヌィ・ウダール）		中K	8	8-10		19	3	-3	C	600		1500	-3000	-4000	500	上	
JP	通常技	立ち強P（キンターヴル）		強P	12	12-13		22	3	-3	C	800	始動補正20%	2000	-5000	-8000	1000	上	空中ヒット時吹き飛びダウン|パニッシュカウンター時+25F
JP	通常技	立ち強K（オボロートニ）		強K	12	12-15		17	7	2		800		3000	-4000	-10000	1000	上	※ヴィーハト・チェーニのみキャンセル可能
JP	通常技	しゃがみ弱P（ブィストルイ・ウダール）		↓ + 弱P	4	4-5		11	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
JP	通常技	しゃがみ弱K（リョーフキー・ウダール）		↓ + 弱K	6	6-7		10	2	-2		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応|※ヴィーハト・チェーニのみキャンセル可能
JP	通常技	しゃがみ中P（ズミヤー）		↓ + 中P	7	7-10		14	6	-2	C	600		1500	-3000	-4000	500	上	
JP	通常技	しゃがみ中K（ズローバ）		↓ + 中K	9	9-11		17	3	-3		700	始動補正20%	2000	-4000	-6000	500	下	※ヴィーハト・チェーニのみキャンセル可能
JP	通常技	しゃがみ強P（マリートヴァ）		↓ + 強P	9	9-14		20	1	-6	C	800		2000	-5000	-8000	1000	上	強制立ち効果
JP	通常技	しゃがみ強K（ジョーキル）		↓ + 強K	10	10-12		21	D	-6		900		2000	-5000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
JP	通常技	ジャンプ弱P（ルイースイ）	（ジャンプ中に）	弱P	5	5-14		着地後3				300		500	-1500	-2000	300	中	
JP	通常技	ジャンプ弱K（ヴァローナ）	（ジャンプ中に）	弱K	6	6-13		着地後3				300		500	-1500	-2000	300	中	めくり性能
JP	通常技	ジャンプ中P（ローシャッチ）	（ジャンプ中に）	中P	12	12-14		着地後3				700		1000	-2500	-4000	500	中	
JP	通常技	ジャンプ中K（コンダ）	（ジャンプ中に）	中K	7	7-12		着地後3				600		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
JP	通常技	ジャンプ強P（イディナローク）	（ジャンプ中に）	強P	9	9-13		着地後3				800		2000	-4000	-5000	1000	中	空中カウンター/パニッシュカウンター時叩きつけダウン
JP	通常技	ジャンプ強K（ジャール・プチーツァ）	（ジャンプ中に）	強K	11	11-16		着地後3				800		2000	-4000	-5000	1000	中	
JP	特殊技	ギリオチーナ		→ + 中K	22	22-23		19	3	-3		700		1500	-2500	-5000	500	中	
JP	特殊技	シャーロスチ		↘ + 強P	16	16-18		31	D	-14		900		3000	-4000	-10000	1000	下	カウンター/パニッシュカウンター時ダウン時間延長
JP	特殊技	ヴィリーナ		→ + 強K	11	11-16	11-12, 13-16	24	D	-5	C	900		2500	-5000	-10000	1000	上	空中ヒット時吹き飛びダウン
JP	特殊技	グロームストレルカ（1段目）		← + 中P	8	8-10		16	5	-1	C	500		1500	-3000	-4000	400	上	
JP	特殊技	グロームストレルカ（2段目）		← + 中P⇒中P	10	10-12		20	3	-6	C	500	コンボ補正20%	800	-2000	-3000	400	上	
JP	特殊技	ジラント		強K⇒強P	20	20-22		20	3	-3	C	500		1000	-2000	-4000	500	上	
JP	特殊技	ジラントルカー		強K⇒強P⇒強P	21	21-23		22	3	-4		1000		2000	-5000	-10000	1000	中	
JP	特殊技	ジラントナガー		強K⇒強P⇒強K	21	21-23		22	3	-4		1000		2000	-5000	-10000	1000	下	
JP	必殺技	弱 トリグラフ		↓↓ + 弱P	22	22-31		全体 55	D	-2	SA3	800		1000	-2500	-3000	800	上・弾	
JP	必殺技	中 トリグラフ		↓↓ + 中P	22	22-31		全体 55	D	-2	SA3	800		1000	-2500	-3000	800	上・弾	
JP	必殺技	強 トリグラフ		↓↓ + 強P	22	22-31		全体 55	D	-2	SA3	800		1000	-2500	-3000	800	上・弾	
JP	必殺技	OD 弱 トリグラフ		↓↓ + 弱P中P	20	20-39		全体 53	D	3	SA2	1000	始動補正20％	0	-3000	-5000	1000	上・弾	
JP	必殺技	OD 中 トリグラフ		↓↓ + 弱P強P	20	20-39		全体 53	D	3	SA2	1000	始動補正20％	0	-3000	-5000	1000	上・弾	
JP	必殺技	OD 強 トリグラフ		↓↓ + 中P強P	20	20-39		全体 53	D	3	SA2	1000	始動補正20％	0	-3000	-5000	1000	上・弾	
JP	必殺技	弱 ストリボーグ		↓↘→ + 弱P	16	16-21		全体 49	D	-10	SA3	1000		2000	-3500	-5000	800	上	ジャストパリィ時はドライブゲージを10000増加|飛び道具相殺判定あり（1回）
JP	必殺技	中 ストリボーグ		↓↘→ + 中P	20	20-26	20-22, 24-26	全体 53	D	-8	SA3	1200		2000	-3500	-5000	800	上	ジャストパリィ時はドライブゲージを10000増加|飛び道具相殺判定あり（1回）
JP	必殺技	強 ストリボーグ		↓↘→ + 強P	28	28-42	28-30, 40-42	全体 61	D	4	SA3	800		2000	-3500	-5000	800	上	ジャストパリィ時はドライブゲージを10000増加|飛び道具相殺判定あり（1回）|ジャストパリィ時硬直3F増加
JP	必殺技	OD ストリボーグ		↓↘→ + PP	19	19-30	19-21, 28-30	全体 52	D	2	SA2	1000		0	-3500	-5000	800	上	ジャストパリィ時はドライブゲージを10000増加|飛び道具相殺判定あり（1回）|ジャストパリィ時硬直3F増加|初段のみSA2/SA3/CAでキャンセル可能
JP	必殺技	弱 ヴィーハト		↓↙← + 弱P	150	150-159		全体 50				800	始動補正20％	1000	-2500	-3000	1000	上・弾	
JP	必殺技	中 ヴィーハト		↓↙← + 中P	150	150-159		全体 50				800	始動補正20％	1000	-2500	-3000	1000	上・弾	
JP	必殺技	強 ヴィーハト		↓↙← + 強P	150	150-159		全体 50				800	始動補正20％	1000	-2500	-3000	1000	上・弾	
JP	必殺技	OD 弱 ヴィーハト		↓↙← + 弱P中P	110	110-149	110-119, 140-149	全体 40				1000	始動補正20％	0	-3000	-5000	800	上・弾	
JP	必殺技	OD 中 ヴィーハト		↓↙← + 弱P強P	110	110-149	110-119, 140-149	全体 40				1000	始動補正20％	0	-3000	-5000	800	上・弾	
JP	必殺技	OD 強 ヴィーハト		↓↙← + 中P強P	110	110-149	110-119, 140-149	全体 40				1000	始動補正20％	0	-3000	-5000	800	上・弾	
JP	必殺技	ヴィーハト・アクノ	（ヴィーハト設置中に）	↓↙← + 弱Por中P				全体 44				0		0	0	0	0		6-25F 完全無敵|26F目から空中判定|31F目から行動可
JP	必殺技	ヴィーハト・チェーニ	（ヴィーハト設置中に）	↓↙← + 強P				全体 40				0		0	0	0	0		
JP	必殺技	アムネジア		↓↓ + K	3	3-20		35				800	始動補正50％※|即時補正60％	1000	-2500	-3000	1000	上・弾	当身成立時にドライブゲージ10000増加|当身成立時に飛び道具が発生|※コンボの3段目以降に補正がかかる
JP	必殺技	OD アムネジア		↓↓ + KK	1	1-20		35				1200	始動補正50％※|即時補正60％	0	-3000	-5000	1200	上・弾	当身成立時に飛び道具が発生|※コンボの3段目以降に補正がかかる
JP	必殺技	弱 トルバラン		↓↘→ + 弱K	22			全体 50	D	-6	SA3	800		1000	-2500	-3000	600	上・弾	発生は密着で発動した場合の数値
JP	必殺技	中 トルバラン		↓↘→ + 中K	26			全体 50	6	-8	SA3	1000	始動補正20%	1000	-2500	-3000	600	中・弾	発生は密着で発動した場合の数値
JP	必殺技	強 トルバラン		↓↘→ + 強K	26			全体 50	6	-8	SA3	1000	始動補正20%	1000	-2500	-3000	600	下・弾	発生は密着で発動した場合の数値
JP	必殺技	OD トルバラン		↓↘→ + KK	22			全体 50	D	25	SA2	800	始動補正20%	0	-5000	-5000	800	上・弾	発生は密着で発動した場合の数値|初段のみSA2/SA3/CAでキャンセル可能
JP	必殺技	アブニマーチ		↓↙← + K	26			全体 72				1800	即時補正10%	2500	0	-10000	3000	投	■クラシック操作|パニッシュカウンター時のダメージ2070|発生、全体は密着で発動した場合の数値|■モダン操作時|パニッシュカウンター時のダメージ（1656）
JP	必殺技	OD アブニマーチ		↓↙← + KK	26			全体 72				2600	即時補正10%	0	0	-10000	3000	投	■クラシック操作|パニッシュカウンター時のダメージ2990|発生、全体は密着で発動した場合の数値|■モダン操作時|パニッシュカウンター時のダメージ（2392）
JP	スーパーアーツ	SA1 チェルノボーグ		↓↘→↓↘→ + P	8			全体 84	D	-33		2000		0	-2500	-5000	0	上	1-10F 打撃・投げに対して無敵|最低保障ダメージ30％|カウンター/パニッシュカウンターで数値が変動しない
JP	スーパーアーツ	SA2 ラヴーシュカ		↓↙←↓↙← + P	29			全体 13				2000	始動補正25％※|即時補正25％	0	-4000	-10000	0	上中下中	最低保障ダメージ40％|カウンター/パニッシュカウンターで数値が変動しない|※コンボの3段目以降に補正がかかる
JP	スーパーアーツ	SA3 ザプリェット		↓↘→↓↘→ + K	18	18-23		62	D	-50		4000	※即時補正10%	0	-7500	-15000	0	上	1-23F 完全無敵|最低保障ダメージ50％|カウンター/パニッシュカウンターで数値が変動しない|※必殺技キャンセル時のみ適用
JP	スーパーアーツ	CA ザプリェット	（体力25%以下で）	↓↘→↓↘→ + K	18	18-23		62	D	-50		4500	※即時補正10%	0	-10000	-20000	0	上	1-23F 完全無敵|最低保障ダメージ50％|カウンター/パニッシュカウンターで数値が変動しない|※必殺技キャンセル時のみ適用
JP	通常投げ	ラヴィーナ	（近距離で）	N or → + 弱P弱K	5	5-7		23	D			1200	始動補正40%|即時補正20%	2000	0	-10000	2000	投	パニッシュカウンター時以下の性能変化|・ダメージ2040|・SAゲージ4000増加|・ハードノックダウン
JP	通常投げ	ウラガーン	（近距離で）	← + 弱P弱K	5	5-7		23	D			1200	始動補正40%|即時補正20%	2000	0	-10000	2000	投	パニッシュカウンター時以下の性能変化|・ダメージ2040|・SAゲージ4000増加|・ハードノックダウン
JP	通常投げ	タルナード	（ジャンプ中に）	（近距離で）弱P弱K	5	5-7		着地後3	D			1200	即時補正20%	2000	0	-10000	2000	投	パニッシュカウンター時以下の性能変化|・ダメージ2040|・SAゲージ4000増加|・ハードノックダウン
JP	共通システム	前方ステップ		→→				全体 22				0		0	0	0	0		
JP	共通システム	後方ステップ		←←				全体 23				0		0	0	0	0		1-15F 投げ無敵
JP	共通システム	ドライブインパクト（エスパーダ）		強P強K	26	26-27		35	D	-3		800	始動補正20%	0	-5000	-15000	0	上	1-27F アーマー判定（2回）|パニッシュカウンター、もしくはアーマー成立後にヒットで以下の性能変化|・地上ヒット膝崩れ|・空中ヒットきりもみダウン|・SAゲージ3000増加
JP	共通システム	[ガード時]ドライブリバーサル（エクシリオ）	（ガード中 or ドライブパリィ成立中に）	→ + 強P強K	20	20-22		26	D	-6		500		0	0	0	0	上	リカバリアブルダメージ|1-22F 完全無敵|ヒット時硬直5F増加
JP	共通システム	[起き上がり時]ドライブリバーサル（エクシリオ）	（起き上がり時に）	→ + 強P強K	18	18-20		26	D	-6		500		0	0	0	0	上	リカバリアブルダメージ|1-20F 完全無敵|ヒット時硬直5F増加
JP	共通システム	ドライブパリィ		中P中K	1	[※2] 1-12		33			※1	0		0	0	0	0		※1 動作の4F目からドライブラッシュでキャンセル可|※2 ボタンホールドでパリィの持続を延長可|硬直部分はガードのみ可|動作中常に被パニッシュカウンター判定
JP	共通システム	ジャストパリィ（打撃）		ガード方向 + 中P中K	1			1				0	始動補正50％						相手の攻撃に対応した方向入力を行った状態でパリィを入力し、|入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する|（上段/中段攻撃に対して←方向、下段攻撃に対しては↙方向)|方向が正しくなかった場合は通常のドライブパリィとなり、追加でDゲージが3000増加する|硬直終了から5Fの間完全無敵 （パリィを継続した場合は無敵にならない）|ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター
JP	共通システム	ジャストパリィ（飛び道具）		中P中K	1			10				0	始動補正50％						パリィを入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する|暗転演出が入らない|ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター
JP	共通システム	パリィドライブラッシュ	（ドライブパリィ中に）	→→				全体 45			※	0	乗算補正15％	0	0	0	0		暗転10F|※動作9F目から攻撃行動にキャンセル可|24F目からパリィ以外の行動でキャンセル可
JP	共通システム	キャンセルドライブラッシュ	（必殺技キャンセル可能な攻撃ヒット中に）	→→ or (N or →) + 中P中K				全体 46			※	0	乗算補正15％	0	0	0	0		暗転9F|※動作10F目から攻撃行動にキャンセル可|25F目からパリィ以外の行動でキャンセル可
