キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
ジュリ	通常技	立ち弱P（首甲殺）		弱P	4	4-7		7	5	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ジュリ	通常技	[チェーンコンボ]立ち弱P（首甲殺）		弱P	4	4-7		7	5	-2	C	100	始動補正20%	62	-125	-500	0	上	連打キャンセル対応|空中ヒット時吹き飛びダウン
ジュリ	通常技	立ち弱K（微弄脚）		弱K	5	5-7		9	2	-3	C	300	始動補正20%	250	-500	-2000	300	上	
ジュリ	通常技	[チェーンコンボ]立ち弱K（微弄脚）		弱K	5	5-7		9	2	-3	C	100	始動補正20%	62	-125	-500	0	上	空中ヒット時吹き飛びダウン
ジュリ	通常技	立ち中P（胸破殺）		中P	6	6-9		12	7	2	C	600		1500	-3000	-4000	500	上	
ジュリ	通常技	[チェーンコンボ]立ち中P（胸破殺）		中P	6	6-9		12	7	2	C	400		375	-750	-1000	0	上	空中ヒット時吹き飛びダウン
ジュリ	通常技	立ち中K（伸腿蹴）		中K	5	5-10	5-6, 8-10	17	3	-4	C	700		2000	-4000	-6000	1050	上	
ジュリ	通常技	[チェーンコンボ]立ち中K（伸腿蹴）		中K	5	5-10	5-6, 8-10	17	3	-4	C	500		500	-1000	-1500	0	上	空中ヒット時吹き飛びダウン
ジュリ	通常技	立ち強P（蜘殺）		強P	10	10-12		24	-1	-5	C	800		2000	-5000	-8000	1000	上	強制立ち効果
ジュリ	通常技	[チェーンコンボ]立ち強P（蜘殺）		強P	10	10-12		24	D	-5	C	600		500	-1250	-2000	0	上	
ジュリ	通常技	立ち強K（空耀脚）		強K	17	17-20		19	2	-3		900	始動補正20%	4000	-6000	-10000	1000	上	パニッシュカウンター、空中カウンター/パニッシュカウンター時吹き飛びダウン|空中パニッシュカウンター時吹き飛び時間延長
ジュリ	通常技	[チェーンコンボ]立ち強K（空耀脚）		強K	17	17-20		19	D	-3	C	700	始動補正20%	1000	-1500	-2500	0	上	
ジュリ	通常技	しゃがみ弱P（狙腓打）		↓ + 弱P	4	4-6		8	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
ジュリ	通常技	[チェーンコンボ]しゃがみ弱P（狙腓打）		↓ + 弱P	4	4-6		8	4	-1	C	100	始動補正20%	62	-125	-500	0	上	連打キャンセル対応|空中ヒット時吹き飛びダウン
ジュリ	通常技	しゃがみ弱K（踵打）		↓ + 弱K	5	5-7		8	3	-1		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
ジュリ	通常技	[チェーンコンボ]しゃがみ弱K（踵打）		↓ + 弱K	5	5-7		8	3	-1	C	100	始動補正20%	62	-125	-500	0	下	連打キャンセル対応|空中ヒット時吹き飛びダウン
ジュリ	通常技	しゃがみ中P（妖撞）		↓ + 中P	6	6-9		14	5	-2	C	600		1500	-3000	-4000	500	上	空振り時硬直1F増加
ジュリ	通常技	[チェーンコンボ]しゃがみ中P（妖撞）		↓ + 中P	6	6-9		14	5	-2	C	400		375	-750	-1000	0	上	空振り時硬直1F増加|空中ヒット時吹き飛びダウン
ジュリ	通常技	しゃがみ中K（剥影脚）		↓ + 中K	8	8-10		19	1	-6	C	500	始動補正20%	1000	-2000	-4000	600	下	
ジュリ	通常技	[チェーンコンボ]しゃがみ中K（剥影脚）		↓ + 中K	8	8-10		19	1	-6	C	300	始動補正20%	250	-500	-1000	0	下	空中ヒット時吹き飛びダウン
ジュリ	通常技	しゃがみ強P（穿開脚）		↓ + 強P	8	8-11		23	3	-11	C	900		2000	-5000	-8000	1000	上	強制立ち効果|空中パニッシュカウンター時吹き飛びダウン
ジュリ	通常技	[チェーンコンボ]しゃがみ強P（穿開脚）		↓ + 強P	8	8-11		23	D	-11	C	700		500	-1250	-2000	0	上	ヒット時ジャンプキャンセル可
ジュリ	通常技	しゃがみ強K（刈脚）		↓ + 強K	10	10-12		23	D	-11		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
ジュリ	通常技	[チェーンコンボ]しゃがみ強K（刈脚）		↓ + 強K	10	10-12		23	D	-11	C	700		750	-1000	-2500	0	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
ジュリ	通常技	ジャンプ弱P（空形殺）	（ジャンプ中に）	弱P	5	5-10		着地後3				300		500	-1500	-2000	300	中	
ジュリ	通常技	[チェーンコンボ]ジャンプ弱P（空形殺）	（ジャンプ中に）	弱P	5	5-10		着地後3			C	100		125	-375	-500	0	中	空中ヒット時吹き飛びダウン
ジュリ	通常技	ジャンプ弱K（膝空打）	（ジャンプ中に）	弱K	4	4-9		着地後3				300		500	-1500	-2000	300	中	めくり性能
ジュリ	通常技	[チェーンコンボ]ジャンプ弱K（膝空打）	（ジャンプ中に）	弱K	4	4-9		着地後3			C	100		125	-375	-500	0	中	めくり性能|空中ヒット時吹き飛びダウン
ジュリ	通常技	ジャンプ中P（空洛刃）	（ジャンプ中に）	中P	7	7-11		着地後3			C	500		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
ジュリ	通常技	[チェーンコンボ]ジャンプ中P（空洛刃）	（ジャンプ中に）	中P	7	7-11		着地後3			C	300		250	-625	-1000	0	中	空中ヒット時吹き飛びダウン
ジュリ	通常技	ジャンプ中K（被陰脚）	（ジャンプ中に）	中K	6	6-11		着地後3				500		1000	-2500	-4000	500	中	めくり性能
ジュリ	通常技	[チェーンコンボ]ジャンプ中K（被陰脚）	（ジャンプ中に）	中K	6	6-11		着地後3			C	300		250	-625	-1000	0	中	めくり性能|空中ヒット時吹き飛びダウン
ジュリ	通常技	ジャンプ強P（空震脚）	（ジャンプ中に）	強P	12	12-17		着地後3				900		2000	-4000	-5000	1000	中	めくり性能|叩きつけダウン
ジュリ	通常技	[チェーンコンボ]ジャンプ強P（空震脚）	（ジャンプ中に）	強P	12	12-17		着地後3			C	700		500	-1000	-1250	0	中	めくり性能|叩きつけダウン
ジュリ	通常技	ジャンプ強K（玄空蹴）	（ジャンプ中に）	強K	10	10-15		着地後3				800		2000	-4000	-5000	1000	中	
ジュリ	通常技	[チェーンコンボ]ジャンプ強K（玄空蹴）	（ジャンプ中に）	強K	10	10-15		着地後3			C	600		500	-1000	-1250	0	中	空中ヒット時吹き飛びダウン
ジュリ	通常技	垂直ジャンプ強K（横圧殺）	（垂直ジャンプ中に）	強K	10	10-13		着地後3				800		2000	-4000	-5000	1000	中	
ジュリ	通常技	[チェーンコンボ]垂直ジャンプ強K（横圧殺）	（垂直ジャンプ中に）	強K	10	10-13		着地後3			C	600		500	-1000	-1250	0	中	空中ヒット時吹き飛びダウン
ジュリ	特殊技	狂背掌		→ + 中P	8	8-10		17	4	-3	C	600		1500	-3000	-4000	500	上	空中コンボ中にヒット時吹き飛びダウン
ジュリ	特殊技	[チェーンコンボ]狂背掌		→ + 中P	8	8-10		17	4	-3	C	400		375	-750	-1000	0	上	空中ヒット時吹き飛びダウン
ジュリ	特殊技	殲廻脚		→ + 中K	21	21-22		※23	2	-3		600		1500	-2500	-5000	700	中	※空振り時硬直2F増加
ジュリ	特殊技	[チェーンコンボ]殲廻脚		→ + 中K	21	21-22		※23	D	-3	C	400		375	-625	-1250	0	中	※空振り時硬直2F増加|叩きつけダウン
ジュリ	特殊技	連剋脚		→ + 強P	15	15-25	15-17, 23-25	※20	2	-4	C	1000		2500	-5000	-10000	1000	上	※空振り時硬直3F増加|空中ヒット時吹き飛びダウン
ジュリ	特殊技	[チェーンコンボ]連剋脚		→ + 強P	15	15-25	15-17, 23-25	※20	D	-4	C	800		625	-1250	-2500	0	上	※空振り時硬直3F増加
ジュリ	特殊技	鉤鎌斬		← + 強K	10	10-21	10-12, 19-21	19	2	-6	C	800		3500	-3000	-8000	1000	上	2段目空中ヒット時床バウンド
ジュリ	特殊技	[チェーンコンボ]鉤鎌斬		← + 強K	10	10-21	10-12, 19-21	19	D	-6	C	600		875	-750	-2000	0	上	2段目空中ヒット時床バウンド
ジュリ	特殊技	死紋蹴（2段目）		中P⇒← + 強P	12	12-14		19	D	-3		500		1000	-2000	-7000	1000	上	
ジュリ	特殊技	死紋蹴（3段目）		中P⇒← + 強P⇒強P	17	17-19		27	D	-16	SA※	600		1000	-1000	-7000	500	上	※ヒット時のみSAでキャンセル可能
ジュリ	必殺技	弱 風破刃		↓↙← + 弱K	10	10-13		※21	D	-4	SA3	600		2000	-2500	-5000	600	上	飛び道具相殺判定あり（1回）|10F目で風破ストックが1増加|※空振り時硬直2F増加
ジュリ	必殺技	中 風破刃		↓↙← + 中K	13	13-16		21	D	-6	SA3	600		2000	-2500	-5000	600	上	飛び道具相殺判定あり（1回）|13F目で風破ストックが1増加
ジュリ	必殺技	強 風破刃		↓↙← + 強K	25	25-29		19	D	-8	SA3	500		2000	-2500	-5000	600	上	飛び道具相殺判定あり（1回）|25F目で風破ストックが1増加
ジュリ	必殺技	OD 風破刃		↓↙← + KK	12	12-17		21	D	-12	SA2	600	コンボ補正20%	0	-2500	-5000	600	上	飛び道具相殺判定あり（2回）|14F目で風破ストックが1増加
ジュリ	必殺技	歳破衝		↓↘→ + 弱K	16			全体 45	-2	-8	SA3	400		1000	-2500	-3000	600	上・弾	
ジュリ	必殺技	[強化版]歳破衝		↓↘→ + 弱K	16			全体 45	1	-3	SA3※	600	始動補正20%|コンボ補正20%	1000	-2500	-3000	600	上・弾	※風破ストックがある時に[強化版]暗剣殺 or [強化版]五黄殺 に派生可能|同じ技は2回使えない
ジュリ	必殺技	OD 歳破衝		↓↘→ + 弱K中K	11			全体 38	D	-2	SA2※	800	始動補正20%|コンボ補正20%	0	-3000	-5000	600	上・弾	※風破ストックがある時にOD暗剣殺 or OD五黄殺 に派生可能|同じ技は2回使えない
ジュリ	必殺技	暗剣殺		↓↘→ + 中K	24	24-27		19	5	-8	SA3	600	始動補正20%|コンボ補正20%	2000	-3000	-5000	800	上	8-27F空中判定|攻撃持続2-4F目ヒット時叩き付けダウン|空中ヒット時叩きつけダウン
ジュリ	必殺技	[強化版]暗剣殺		↓↘→ + 中K	24	24-27		19	8	-8	SA3※	600	始動補正20%|コンボ補正20%	2000	-3000	-5000	800	上	8-27F空中判定|※風破ストックがある時に[強化版]歳破衝 or [強化版]五黄殺 に派生可能|同じ技は2回使えない|空中ヒット時床バウンド
