キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
LUKE	Normal Moves	Standing Light Punch		弱P	7	7-8		*11	2	-3	C	300	Starter scaling 20%	250	-500	-2000	300	High	* 3 frames of recovery added when the attack misses
LUKE	Normal Moves	Standing Light Kick		弱K	5	5-6		12	3	-2	C	300	Starter scaling 20%	250	-500	-2000	300	High	
LUKE	Normal Moves	Standing Medium Punch		中P	9	9-12		16	2	-3	SA	600		1500	-3000	-4000	500	High	
LUKE	Normal Moves	Standing Medium Kick		中K	8	8-10		*16	1	-3		700		2000	-4000	-6000	700	High	* 3 frames of recovery added when the attack misses
LUKE	Normal Moves	Standing Heavy Punch		強P	10	10-12		*23	1	-5	C	800		2000	-5000	-8000	1000	High	* Recovery is reduced by 1 frames when blocked
LUKE	Normal Moves	Standing Heavy Kick		強K	10	10-16		16	2	-5		900		4000	-6000	-10000	1000	High	Forces a juggle state when hitting a mid-air opponent|Forces a juggle state when the attack lands as a Punish Counter.|Feet are Invincible from frame 8 to frame 15.
LUKE	Normal Moves	Crouching Light Punch		↓ + 弱P	4	4-5		10	4	-2	C	300	Starter scaling 20%	250	-500	-2000	300	High	Can be rapid canceled
LUKE	Normal Moves	Crouching Light Kick		↓ + 弱K	5	5-7		11	0	-3		200	Starter scaling 20%	250	-500	-2000	300	Low	Can be rapid canceled
LUKE	Normal Moves	Crouching Medium Punch		↓ + 中P	6	6-7		*14	5	1	C	600	Starter scaling 15%	1500	-3000	-4000	500	High	* 3 frames of recovery added when the attack misses
LUKE	Normal Moves	Crouching Medium Kick		↓ + 中K	8	8-10		19	-2	-6	C	500	Starter scaling 20%	1000	-2000	-4000	600	Low	
LUKE	Normal Moves	Crouching Heavy Punch		↓ + 強P	7	7-11		24	1	-13	C	800	Combo scaling 15%	2000	-5000	-8000	1000	High	Forces the opponent into a standing position|This move can be canceled until the 1st active frame.
LUKE	Normal Moves	Crouching Heavy Kick		↓ + 強K	10	10-12		24	D	-9		900		3000	-4000	-10000	1000	Low	Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown
LUKE	Normal Moves	Jumping Light Punch	(During a jump)	弱P	5	5-13		3 frame(s) after landing				300		500	-1500	-2000	300	Mid	
LUKE	Normal Moves	Jumping Light Kick	(During a jump)	弱K	6	6-11		3 frame(s) after landing				300		500	-1500	-2000	300	Mid	Has cross-up attack properties
LUKE	Normal Moves	Jumping Medium Punch	(During a jump)	中P	9	9-12		3 frame(s) after landing			C	700		1000	-3000	-4000	500	Mid	Forces a juggle state when hitting a mid-air opponent
LUKE	Normal Moves	Jumping Medium Kick	(During a jump)	中K	7	7-12		3 frame(s) after landing				500		1000	-2500	-4000	500	Mid	Has cross-up attack properties
LUKE	Normal Moves	Jumping Heavy Punch	(During a jump)	強P	9	9-14		3 frame(s) after landing				800		2000	-4000	-5000	1000	Mid	Forces a slam knockdown on counter or Punish Counter when hitting a mid-air opponent
LUKE	Normal Moves	Jumping Heavy Kick	(During a jump)	強K	10	10-15		3 frame(s) after landing				800		2000	-4000	-5000	1000	Mid	
LUKE	Unique Attacks	Rawhide		→ + 中P	21	21-22		21	2	-3		600		1500	-2500	-5000	500	Mid	Forces a slam knockdown when hitting a mid-air opponent
LUKE	Unique Attacks	Suppressor		← + 強P	16	16-18		20	3	-3	C	800		3000	-6000	-10000	1000	High	
LUKE	Unique Attacks	Outlaw Kick		← + 強K	12	12-15		24	4	-3		1000		3000	-6000	-10000	1000	High	17 frames of advantage added when the attack lands as a Punish Counter.|Forces a juggle state when hitting a mid-air opponent
LUKE	Unique Attacks	Double Impact(1)		→ + 強P	16	16-18		*15	3	-3		800		2000	-4000	-7000	500	High	* 4 frames of recovery added when the attack misses
LUKE	Unique Attacks	Double Impact(2)		→ + 強P⇒強P	11	11-12		34	D	-19	C	600	Combo scaling 20%	1000	-2000	-7000	500	High	When the 1st attack of Double Impact hits as a Punish Counter, the 2nd hit is considered a grounded attack if the opponent is standing on the ground. Combo scaling changes from 20% to 10% in this situation.
LUKE	Unique Attacks	Triple Impact(2)		弱P⇒中P	8	8-11		20	-2	-9		400		500	-1000	-4000	400	High	
LUKE	Unique Attacks	Triple Impact(3)		弱P⇒中P⇒強P	10	10-12		27	D	-14	C	800		500	-1500	-4000	400	High	
LUKE	Unique Attacks	Snapback Combo(2)		中P⇒中P	12	12-13		23	0	-8	SA	300		400	-1000	-4000	300	High	
LUKE	Unique Attacks	Nose Breaker		↓ + 中K⇒↓ + 強P	9	9-11		25	2	-8		600		1000	-3000	-4000	600	High	
LUKE	Unique Attacks	Snapback Combo(3)		中P⇒中P⇒中P	11	11-12		29	-6	-14		300		1000	-1000	-4000	300	High	
LUKE	Unique Attacks	Snapback Combo(4)		中P⇒中P⇒中P⇒中P	11	11-12		27	D	-12		500		2000	-1500	-4000	500	High	
LUKE	Special Moves	L Sand Blast		↓↘→ + 弱P	14	14-18		47 total frames	-3	-8	SA3	600		1000	-3000	-2000	600	High - Projectile	
LUKE	Special Moves	M Sand Blast		↓↘→ + 中P	17	17-23		47 total frames	0	-5	SA3	600		1000	-3000	-2000	600	High - Projectile	
LUKE	Special Moves	H Sand Blast		↓↘→ + 強P	20	20-29		47 total frames	3	-2	SA3	600		1000	-3000	-2000	600	High - Projectile	
LUKE	Special Moves	OD Sand Blast		↓↘→ + PP	16			40 total frames	D	-2	SA2	800	Starter scaling 20％|Combo scaling 20％	0	-3000	-5000	600	High - Projectile	
LUKE	Special Moves	Fatal Shot	(After an OD Sand Blast)	PP	8			50 total frames	D	-21	SA2	1000		0	-1000	-7000	1000	High - Projectile	Consumes 10000 of the Drive gauge on activation.
LUKE	Special Moves	L Flash Knuckle		↓↙← + 弱P	13	13-15		27	D	-12	SA3	700		2000	-3000	-5000	500	High	Hold the button for more than 18 frames to change properties|Perform the Perfect version by releasing the button between frames 18 - 20|Can be canceled into a special move or Super Art on the 40th frame when the attack hits
LUKE	Special Moves	L Flash Knuckle(Charged)		↓↙← + Hold 弱P	26	26-29		25	D	-8	SA3	800		2250	-4000	-6000	600	High	Clashes with projectiles (Once)|Combo scaling added to 2nd hit.
LUKE	Special Moves	L Flash Knuckle(Perfect)		↓↙← + Hold 弱P	26	26-29		25	D	-8	SA3	900		2250	-4000	-6000	700	High	Clashes with projectiles (Once)|Combo scaling added to 2nd hit.
LUKE	Special Moves	M Flash Knuckle		↓↙← + 中P	19	19-21		27	3	-8	SA3	900		2000	-5000	-7000	700	High	Hold the button for more than 18 frames to change properties|Perform the Perfect version by releasing the button between frames 18 - 20
LUKE	Special Moves	M Flash Knuckle(Charged)		↓↙← + Hold 中P	29	29-32		26	D	-3	SA3	1000		2000	-6000	-8000	800	High	Clashes with projectiles (Once)|Combo scaling added to 2nd hit.
LUKE	Special Moves	M Flash Knuckle(Perfect)		↓↙← + Hold 中P	29	29-32		26	D	-3	SA3	1100		2000	-6000	-8000	900	High	Clashes with projectiles (Once)
LUKE	Special Moves	H Flash Knuckle		↓↙← + 強P	22	22-24		21	D	-4	SA3	1000		2500	-6000	-8000	800	High	Hold the button for more than 18 frames to change properties|Perform the Perfect version by releasing the button between frames 18 - 20
LUKE	Special Moves	H Flash Knuckle(Charged)		↓↙← + Hold 強P	33	33-36		24	D	4	SA3	1300		3000	-7000	-9000	1100	High	Clashes with projectiles (Once)
LUKE	Special Moves	H Flash Knuckle(Perfect)		↓↙← + Hold 強P	33	33-36		24	D	4	SA3	1600		3000	-7000	-9000	1200	High	Clashes with projectiles (Once)
LUKE	Special Moves	OD Flash Knuckle		↓↙← + PP	15	15		39	-	-22	SA2	400		0	-4000	-3000	500	High	Transitions to 2nd attack on hit|Can only be canceled into DDT on the 1st hit
LUKE	Special Moves	OD Flash Knuckle(2)		↓↙← + PP	33	33-36		16	D		SA2	400		0	0	-3000	350	High	
LUKE	Special Moves	DDT	(After an OD Flash Knuckle)	PP	1	1			D			2500		0	0	0	3000	High	Consumes 10000 of the Drive gauge on activation.
LUKE	Special Moves	Aerial Flash Knuckle	(During a neutral or forward jump)	↓↙← + P	14	14-18		13 frame(s) after landing	D			700		2000	-6000	-8000	800	High	*+7 frames of recovery added when whiffing the attack high in the air.
LUKE	Special Moves	Aerial Flash Knuckle(Charged)	(During a neutral or forward jump)	↓↙← + Hold P	23	23-28		15 frame(s) after landing	D			1000		2000	-7000	-9000	800	High	
LUKE	Special Moves	OD Aerial Flash Knuckle	(During a neutral or forward jump)	↓↙← + PP	14	14-19		15 frame(s) after landing	D			1300		0	-7000	-5000	800	High	
LUKE	Special Moves	Avenger		↓↘→ + K				45 total frames				0		0	0	0	0		Can transition to branching attacks from frames 13 - 31
LUKE	Special Moves	OD Avenger		↓↘→ + KK				45 total frames				0		0	0	0	0		Super Armor for 1 attack from frames 3 - 35|Can transition to branching attacks from frames 12 - 31
LUKE	Special Moves	No Chaser	(During Avenger)	P	12	12-21		16	D	-6	SA3	900		2000	-5000	-5000	1000	High	
LUKE	Special Moves	OD Chaser	(During OD Avenger)	P	12	12-21		16	D	-6	SA2	1300	Starter scaling 50%	0	-5000	-5000	1250	High	
LUKE	Special Moves	Impaler	(During Avenger)	K	13	13		22	D	-8		1200		2200	-4000	-5000	1200	Mid	5 frames of recovery added when the attack misses
LUKE	Special Moves	OD Impaler	(During OD Avenger)	K	13	13		19	D	-3		1200	Starter scaling 50%	0	-4000	-5000	1250	Mid	
