キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
舞	通常技	立ち弱P（扇打）		弱P	4	4-6		7	5	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
舞	通常技	立ち弱K（飛燕脚）		弱K	4	4-6		8	1	-1	C	300	始動補正20%	250	-500	-2000	300	上	
舞	通常技	立ち中P（扇子突き）		中P	8	8-11		15	2	-3	C	600		1500	-3000	-4000	600	上	
舞	通常技	立ち中K（舞蹴撃）		中K	9	9-11		18	5	-4		700		1500	-3000	-4000	700	上	
舞	通常技	立ち強P（大扇打）		強P	9	9-11		21	1	-3	C	800		2000	-4000	-8000	800	上	
舞	通常技	立ち強K（背面蹴り）		強K	14	14-16		19	3	-3		900	始動補正20%	4000	-6000	-10000	1000	上	空振り時硬直3F増加|パニッシュカウンター時に膝崩れダウンに ＋22
舞	通常技	しゃがみ弱P（龍尾髪）		↓ + 弱P	4	4-6		7	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
舞	通常技	しゃがみ弱K（摺り蹴り）		↓ + 弱K	5	5-7		8	2	-2		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
舞	通常技	しゃがみ中P（背面ひじ打ち）		↓ + 中P	6	6-9		15	5	-3	C	600		1500	-3000	-4000	600	上	空振り時硬直2F増加
舞	通常技	しゃがみ中K（捌き蹴り）		↓ + 中K	7	7-9		19	-2	-6	C	500	始動補正20%	1000	-2000	-4000	500	下	
舞	通常技	しゃがみ強P（回転扇打）		↓ + 強P	10	10-22	10-11, 20-22	19	4	-3		800		2000	-5000	-8000	1000	上	
舞	通常技	しゃがみ強K（反り蹴り）		↓ + 強K	9	9-11		22	D	-11		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン|空振り時硬直3F増加|ガード時硬直1F増加
舞	通常技	ジャンプ弱P（翔扇打）	（ジャンプ中に）	弱P	4	4-12		着地後3				300		500	-1500	-2000	300	中	
舞	通常技	ジャンプ弱K（翔脚）	（ジャンプ中に）	弱K	5	5-11		着地後3				300		500	-1500	-2000	300	中	めくり性能
舞	通常技	ジャンプ中P（天仰扇）	（ジャンプ中に）	中P	7	7-11		着地後3			C	600		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
舞	通常技	ジャンプ中K（前蹴り）	（ジャンプ中に）	中K	7	7-11		着地後3				500		1000	-2500	-4000	500	中	めくり性能
舞	通常技	ジャンプ強P（刃扇天翔刺し）	（ジャンプ中に）	強P	9	9-13		着地後3				800		2000	-4000	-5000	1000	中	
舞	通常技	ジャンプ強K（隼蹴撃）	（ジャンプ中に）	強K	10	10-15		着地後3				800		2000	-4000	-5000	1000	中	
舞	特殊技	扇骨打ち		→ + 中P	20	20-22		18	2	-3		600		1500	-2500	-5000	500	中	
