キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
マノン	通常技	立ち弱P（ハジメ）		弱P	4	4-6		10	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
マノン	通常技	立ち弱K（タンジュ）		弱K	5	5-6		12	2	-2	C	300	始動補正20%	250	-500	-2000	300	上	
マノン	通常技	立ち中P（ツリテ）		中P	7	7-10		15	2	-2	C	600		1500	-3000	-4000	500	上	
マノン	通常技	立ち中K（ラ・シェーヌ）		中K	10	10-12		18	-2	-5	C	600		1500	-3000	-4000	700	上	
マノン	通常技	立ち強P（ランドリ）		強P	10	10-13		20	0	-3	SA	800		3000	-6000	-10000	1000	上	空中ヒット時吹き飛びダウン
マノン	通常技	立ち強K（ピエ・ドンジュ）		強K	15	15-17		26	※1	-6		900		3000	-6000	-10000	1000	上	※地上パニッシュカウンター時+17F|空中パニッシュカウンター時吹き飛びダウン
マノン	通常技	しゃがみ弱P（ソデキリ）		↓ + 弱P	4	4-5		11	3	-2	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
マノン	通常技	しゃがみ弱K（シーニュ・ナジェ）		↓ + 弱K	5	5-6		13	-1	-3		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
マノン	通常技	しゃがみ中P（ヒキテ）		↓ + 中P	7	7-9		11	6	-1	C	600		1500	-3000	-4000	500	上	空振り時硬直4F増加
マノン	通常技	しゃがみ中K（ストゥニュー）		↓ + 中K	8	8-11		16	3	-2		600	始動補正20%	2000	-4000	-6000	600	下	
マノン	通常技	しゃがみ強P（ヴィクトワール・ポーム）		↓ + 強P	10	10-14		21	-2	-8		600		3000	-6000	-10000	1000	上	
マノン	通常技	しゃがみ強K（クロワゼ）		↓ + 強K	11	11-12		27	D	-12		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
マノン	通常技	ジャンプ弱P（シエル・クーデ）	（ジャンプ中に）	弱P	5	5-14		着地後3				300		500	-1500	-2000	300	中	
マノン	通常技	ジャンプ弱K（シエル・パッセ）	（ジャンプ中に）	弱K	6	6-14		着地後3				300		500	-1500	-2000	300	中	めくり性能
マノン	通常技	ジャンプ中P（クロワゼ・ドゥヴァン）	（ジャンプ中に）	中P	8	8-11		着地後3				700		1000	-2500	-4000	500	中	空中ヒット時吹き飛びダウン
マノン	通常技	ジャンプ中K（アレグロ）	（ジャンプ中に）	中K	7	7-12		着地後3				500		1000	-2500	-4000	500	中	めくり性能
マノン	通常技	ジャンプ強P（グロワール・ポーム）	（ジャンプ中に）	強P	9	9-12		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時叩きつけダウン
マノン	通常技	ジャンプ強K（カブリオール）	（ジャンプ中に）	強K	11	11-15		着地後3				800		2000	-4000	-5000	1000	中	
マノン	特殊技	レベランス		← + 強P	8	8-13		17	3	1	C	800		2000	-5000	-8000	1000	上	空中ヒット時吹き飛びダウン
マノン	特殊技	トモエ・デリエール		↘ + 強K	11	11-19		32	26	-23		1000		3000	-6000	-10000	500	上	地上パニッシュカウンター時吹き飛び変化|空中パニッシュカウンター時吹き飛びダウン
マノン	特殊技	ア・テール		中P⇒中K	10	10-11		17	2	-5		500		2500	-2500	-4000	700	上	立ち中Pがパニッシュカウンター時に派生した場合はダウン
マノン	特殊技	アン・オー（1段目）		← + 中K	10	10-13		19	-1	-3		600		2000	-4000	-4000	700	上	空中ヒット時吹き飛びダウン
マノン	特殊技	アン・オー（2段目）		← + 中K⇒中K	14	14-18		21	-3	-11	C	500		1000	-2500	-4000	700	中	空中ヒット時床バウンド
マノン	特殊技	タン・リエ		強P⇒強P	5	5-9		※17	3	-8		600	コンボ補正20%	2000	-5000	-7000	1000	上	立ち強Pがパニッシュカウンター時に派生した場合は吹き飛びダウン|※ガード時硬直2F増加
マノン	特殊技	アロンジェ		↓+強P⇒強P	4	4-7		26	1	-10		500		4000	-5000	-7000	1000	上	
マノン	必殺技	弱 マネージュ・ドレ（メダルLvに応じて動作が変化）	（近距離で）	→↘↓↙← + 弱P	10	10-11		49	D			※2000		5000	0	-10000	※3000	投	ヒット時にメダルLvが1上昇|※メダルLvに応じてダメージが上昇|メダルLv1 2000（2300）|メダルLv2 2300（2645）|メダルLv3 2700（3105）|メダルLv4 3000（3450）|メダルLv5 3700（4255）|（）内はパニッシュカウンター時のダメージ|※メダルLvに応じてSAゲージ増加量が上昇|メダルLv1-2 3000|メダルLv3-4 4000|メダルLv5 5000
マノン	必殺技	中 マネージュ・ドレ（メダルLvに応じて動作が変化）	（近距離で）	→↘↓↙← + 中P	8	8-9		51	D			※2000		5000	0	-10000	※3000	投	ヒット時にメダルLvが1上昇|※メダルLvに応じてダメージが上昇|メダルLv1 2000（2300）|メダルLv2 2300（2645）|メダルLv3 2700（3105）|メダルLv4 3000（3450）|メダルLv5 3700（4255）|（）内はパニッシュカウンター時のダメージ|※メダルLvに応じてSAゲージ増加量が上昇|メダルLv1-2 3000|メダルLv3-4 4000|メダルLv5 5000
マノン	必殺技	強 マネージュ・ドレ（メダルLvに応じて動作が変化）	（近距離で）	→↘↓↙← + 強P	5	5-6		54	D			※2000		5000	0	-10000	※3000	投	■クラシック操作|ヒット時にメダルLvが1上昇|※メダルLvに応じてダメージが上昇|メダルLv1 2000（2300）|メダルLv2 2300（2645）|メダルLv3 2700（3105）|メダルLv4 3000（3450）|メダルLv5 3700（4255）|（）内はパニッシュカウンター時のダメージ|■モダン操作時|ヒット時にメダルLvが1上昇|※メダルLvに応じてダメージが上昇|メダルLv1 1600（2000）/1840（2300）|メダルLv2 1840（2300）/2116（2645）|メダルLv3 2160（2700）/2484（3105）|メダルLv4 2400（3000）/2760（3450）|メダルLv5 2960（3700）/3404（4255）|※/の後ろがパニッシュカウンター時のダメージ|※メダルLvに応じてSAゲージ増加量が上昇|メダルLv1-2 3000|メダルLv3-4 4000|メダルLv5 5000
マノン	必殺技	OD マネージュ・ドレ（メダルLvに応じて動作が変化）	（近距離で）	→↘↓↙← + PP	8	8-9		51	D			※2000		0	0	-10000	※3000	投	■クラシック操作|ヒット時にメダルLvが1上昇|※メダルLvに応じてダメージが上昇|メダルLv1 2000（2300）|メダルLv2 2300（2645）|メダルLv3 2700（3105）|メダルLv4 3000（3450）|メダルLv5 3700（4255）|（）内はパニッシュカウンター時のダメージ|■モダン操作時|ヒット時にメダルLvが1上昇|※メダルLvに応じてダメージが上昇|メダルLv1 1600（2000）/1840（2300）|メダルLv2 1840（2300）/2116（2645）|メダルLv3 2160（2700）/2484（3105）|メダルLv4 2400（3000）/2760（3450）|メダルLv5 2960（3700）/3404（4255）|※/の後ろがパニッシュカウンター時のダメージ|※メダルLvに応じてSAゲージ増加量が上昇|メダルLv1-2 3000|メダルLv3-4 4000|メダルLv5 5000
マノン	必殺技	弱 ロン・ポワン		↓↘→ + 弱K	9	9-15	9-11, 14-15	29	3	-15	SA3	900		2000	-4000	-4000	1350	上	5-15F 上半身のみ空中判定の打撃・空弾属性に対して無敵|2段目のみSA3/CAでキャンセル可能
マノン	必殺技	中 ロン・ポワン		↓↘→ + 中K	11	11-19	11-13, 17-19	27	D	-14	SA3	1000		2000	-4000	-4000	1350	上	7-19F 上半身のみ空中判定の打撃・空弾属性に対して無敵|初段のみSA3/CAでキャンセル可能
マノン	必殺技	強 ロン・ポワン		↓↘→ + 強K	14	14-22	14-16, 20-22	24	D	-11	SA3	800		2000	-4000	-4000	1350	上	9-22F 上半身のみ空中判定の打撃・空弾属性に対して無敵|44-46F ヒット時に、必殺技、SAキャンセル可能|初段のみSA3/CAでキャンセル可能
マノン	必殺技	OD ロン・ポワン		↓↘→ + KK	8	8-16	8-11, 14-16	30	D	-19	SA2	800		0	-4000	-4000	1350	上	4-16F 空中判定の打撃・空弾属性に対して無敵|41-46F ヒット時に、必殺技、SAキャンセル可能
マノン	必殺技	弱 デガジェ		↓↙← + 弱K	16	16-31	16-17, 28-31	36	D	-24		1000		1500	-4000	-8000	800	下	
マノン	必殺技	中 デガジェ		↓↙← + 中K	16	16-39	16-19, 34-39	22	D	-13		1200		2000	-5000	-8000	800	上	15-39F 空中判定
マノン	必殺技	強 デガジェ		↓↙← + 強K	20	20-22		24	3	-9		1000		3000	-4000	-5000	800	中	9-19F 足元無敵
