キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
リュウ	通常技	立ち弱P（ジャブ）		弱P	4	4-6		7	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
リュウ	通常技	立ち弱K（ローキック）		弱K	5	5-7		11	2	-4	C	300	始動補正20%	250	-500	-2000	300	上	
リュウ	通常技	立ち中P（鉤突き）		中P	6	6-9		11	7	-1	C	600		1500	-3000	-4000	500	上	空振り時硬直2F増加
リュウ	通常技	立ち中K（横蹴り）		中K	9	9-11		18	4	-4		700		2000	-4000	-6000	700	上	
リュウ	通常技	立ち強P（正拳突き）		強P	10	10-14		18	4	-2	C	800		2000	-5000	-8000	1000	上	強制立ち効果
リュウ	通常技	立ち強K（後ろ回し蹴り）		強K	12	12-15		20	9	1		900		3000	-6000	-10000	1000	上	空中ヒット時吹き飛びダウン|パニッシュカウンター時に膝崩れダウンに+36F|空中パニッシュカウンター時吹き飛び時間延長
リュウ	通常技	しゃがみ弱P（ジャブ）		↓ + 弱P	4	4-5		9	4	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
リュウ	通常技	しゃがみ弱K（キック）		↓ + 弱K	5	5-6		10	3	-1		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
リュウ	通常技	しゃがみ中P（ストレート）		↓ + 中P	6	6-9		13	5	0	C	600		1500	-3000	-4000	500	上	空振り時硬直2F増加
リュウ	通常技	しゃがみ中K（くるぶしキック）		↓ + 中K	8	8-10		19	1	-6	C	500	始動補正20%	1000	-2000	-4000	500	下	
リュウ	通常技	しゃがみ強P（突き上げアッパー）		↓ + 強P	9	9-14		22	1	-7	C	800		3000	-7500	-10000	1200	上	キャンセルは持続の1F目がヒットした時のみ|強制立ち効果
リュウ	通常技	しゃがみ強K（回転足払い）		↓ + 強K	9	9-11		23	D	-12		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
リュウ	通常技	ジャンプ弱P（肘落とし）	（ジャンプ中に）	弱P	4	4-13		着地後3				300		500	-1500	-2000	300	中	
リュウ	通常技	ジャンプ弱K（ひざ蹴り）	（ジャンプ中に）	弱K	6	6-15		着地後3				300		500	-1500	-2000	300	中	めくり性能
リュウ	通常技	ジャンプ中P（すくい突き）	（ジャンプ中に）	中P	8	8-12		着地後3			C	700		1000	-3000	-5000	500	中上	空中ヒット時吹き飛びダウン
リュウ	通常技	ジャンプ中K（飛び蹴り）	（ジャンプ中に）	中K	7	7-12		着地後3				500		1000	-2500	-4000	500	中	めくり性能
リュウ	通常技	ジャンプ強P（ストレート）	（ジャンプ中に）	強P	9	9-14		着地後3				800		2000	-4000	-5000	1000	中	空中カウンター/パニッシュカウンター時叩きつけダウン
リュウ	通常技	ジャンプ強K（跳び前蹴り）	（ジャンプ中に）	強K	10	10-17		着地後3				800		2000	-4000	-5000	1000	中	
リュウ	特殊技	鎖骨割り		→ + 中P	20	20-23		19	3	-3		600		1500	-2500	-5000	500	※中上	※初段が空振り時のみ2段目が中段判定
