キャラ	カテゴリ	技名	条件	入力	発生	持続	持続内訳	硬直	ヒット硬直差	ガード硬直差	キャンセル	ダメージ	コンボ補正値	Dゲージ増加ヒット	Dゲージ減少ガード	Dゲージ減少PC	SAゲージ増加	属性	備考
サガット	通常技	立ち弱P（タイガージャブ）		弱P	5	5-7		11	4	-3	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
サガット	通常技	立ち弱K（ローキック）		弱K	7	7-8		15	-1	-4	C	400	始動補正20%	250	-500	-2000	300	上	空振り時硬直2F増加
サガット	通常技	立ち中P（タイガーソーク）		中P	6	6-9		15	6	2		600		2000	-3000	-4000	700	上	
サガット	通常技	立ち中K（ミドルキック）		中K	11	11-14		19	3	-3		700		2000	-4000	-6000	700	上	
サガット	通常技	立ち強P（タイガーストレート）		強P	15	15-18		22	0	-5		800		3000	-6000	-8000	1000	上	空振り時硬直3F増加
サガット	通常技	立ち強K（ハイキック）		強K	10	10-15		21	1	-5	C	900	始動補正20%	2000	-6000	-8000	1000	上	空振り時硬直4F増加|強制立ち効果
サガット	通常技	しゃがみ弱P（ローナックル）		↓ + 弱P	4	4-5		10	5	-1	C	300	始動補正20%	250	-500	-2000	300	上	連打キャンセル対応
サガット	通常技	しゃがみ弱K（ローカーフ）		↓ + 弱K	5	5-7		12	1	-3		200	始動補正20%	250	-500	-2000	300	下	連打キャンセル対応
サガット	通常技	しゃがみ中P（ミドルフック）		↓ + 中P	7	7-9		16	4	-1	C	600		1500	-3000	-4000	500	上	ガード時硬直1F増加|空振り時硬直3F増加
サガット	通常技	しゃがみ中K（タイガースラストキック）		↓ + 中K	9	9-11		18	5	-2		600	始動補正20%	2000	-2000	-6000	600	下	
サガット	通常技	しゃがみ強P（グランドストレート）		↓ + 強P	11	11-14		21	1	-5	C	800		2000	-5000	-8000	1000	上	
サガット	通常技	しゃがみ強K（タイガーキック）		↓ + 強K	11	11-13		26	D	-12		900		3000	-4000	-10000	1000	下	パニッシュカウンター時ダウン時間増加、ハードノックダウン
サガット	通常技	ジャンプ弱P（ジャンピングジャブ）	（ジャンプ中に）	弱P	4	4-10		着地後3				300		500	-1500	-2000	300	中	
サガット	通常技	ジャンプ弱K（ジャンピングタイガードロップ）	（ジャンプ中に）	弱K	5	5-14		着地後3				300		500	-1500	-2000	300	中	めくり性能
サガット	通常技	ジャンプ中P（ジャンピングアッパー）	（ジャンプ中に）	中P	8	8-12		着地後3				700		1000	-3000	-4000	500	※中	※ガード時のみ2段目が上段判定|空中ヒット時吹き飛びダウン
サガット	通常技	ジャンプ中K（ジャンピングタイガーキック）	（ジャンプ中に）	中K	8	8-15		着地後3				700		1000	-2500	-4000	500	中	
サガット	通常技	ジャンプ強P（ジャンピングヘビーエルボー）	（ジャンプ中に）	強P	10	10-15		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時叩きつけダウン
サガット	通常技	ジャンプ強K（ジャンピングタイガーハイキック）	（ジャンプ中に）	強K	10	10-15		着地後3				800		2000	-4000	-5000	1000	中	空中ヒット時吹き飛びダウン
サガット	特殊技	タイガーヘビーエルボー		→ + 中P	22	22-24		19	3	-3		700		1000	-5000	-5000	500	中	空中ヒット時床バウンド
サガット	特殊技	タイガーモノリス		← + 強P	8	8-15		25	D	-10	C	800	始動補正10%	2000	-6000	-8000	1000	上	初段カウンター/パニッシュカウンター時床バウンド
サガット	特殊技	ステップローキック		→ + 弱K	18	18-20		18	3	-3		700	始動補正30%	2000	-4000	-5000	1000	下	空振り時硬直3F増加
サガット	特殊技	ステップハイキック		→ + 強K	16	16-19		21	7	4		900	始動補正10%|コンボ補正15%	6000	-8000	-10000	1000	上	ガード時全体3F減少|パニッシュカウンター時+21F
サガット	特殊技	ステップミドルキック		中K⇒強K	19	19-21		23	D	-8		800		2500	-3000	-8000	1000	上	
サガット	特殊技	タイガースティング		強P⇒強K	16	16-18		27	D	-12		1200		3000	-6000	-5000	1000	上	
サガット	特殊技	タイガースラッシュ		↓ + 中P⇒強P	20	20-22		27	-2	-14	C	600		1500	-5000	-8000	1000	上	空中ヒット時床バウンド
サガット	特殊技	タイガーライズ		↓ + 中P⇒強K	18	18-21		26	D	-10	SA	1000	始動補正30%	3000	-5000	-8000	1200	上	
サガット	必殺技	中 タイガーショット		↓↘→ + 中P	16			全体 42	3	3	SA3	700		1000	-4000	-3500	600	上・弾	
サガット	必殺技	強 タイガーショット		↓↘→ + 強P	12			全体 42	-1	-1	SA3	700		1000	-4000	-3500	600	上・弾	
サガット	必殺技	OD タイガーショット		↓↘→ + 中P強P	21			全体 48	D	6	SA2	1000	始動補正20%|コンボ補正20%	0	-6000	-5000	600	上・弾	
サガット	必殺技	グランドタイガーショット		↓↘→ + 弱P	14			全体 50	-3	-7	SA3	600	コンボ補正20%	1000	-2500	-3000	600	上・弾	
サガット	必殺技	OD グランドタイガーショット		↓↘→ + PP	12			全体 44	D	-1	SA2	800	始動補正20%|コンボ補正20%	0	-2500	-5000	600	上・弾	
サガット	必殺技	弱 タイガーアッパーカット		→↓↘ + 弱P	5	5-14		35+着地後12	D	-37	SA3	1100	始動補正30%	2000	-4000	-5000	1000	上	1-14F 空中判定の打撃・空弾属性に対して無敵|9-49F 空中判定
サガット	必殺技	中 タイガーアッパーカット		→↓↘ + 中P	10	10-19		40+着地後15	D	-45	SA3	1400	始動補正20%	2000	-4000	-5000	1000	上	1-13F 空中判定の打撃・空弾属性に対して無敵|14-59F 空中判定
サガット	必殺技	強 タイガーアッパーカット		→↓↘ + 強P	18	18-27		40+着地後15	D	-45	SA3	1600	始動補正10%	3000	-6000	-8000	1300	上	24F以上ホールドすると性能変化|1-21F 空中判定の打撃・空弾属性に対して無敵|22-67F 空中判定
サガット	必殺技	強 タイガーアッパーカット（ホールド）		→↓↘ + 強Pホールド	35	35-44		40+着地後15	D	-45	SA3	2800		8000	-10000	-15000	3500	上	1-9F,28-38F 空中判定の打撃・空弾属性に対して無敵|39-84F 空中判定
サガット	必殺技	OD タイガーアッパーカット		→↓↘ + PP	8	8-19		38+着地後15	D	-43		1600		0	-5000	0	1000	上	1-12F 完全無敵|13-57F 空中判定
サガット	必殺技	弱 タイガーニークラッシュ		↓↘→ + 弱K	14	14-24		18	D	-8		800	始動補正20%	2000	-4000	-5000	800	上	13-27F 空中判定|アーマーヒット時硬直3F増加
サガット	必殺技	中 タイガーニークラッシュ		↓↘→ + 中K	18	18-28		18	D	-7		1000	始動補正20%	2000	-5000	-5000	1000	上	16-31F 空中判定|アーマーヒット時硬直3F増加
サガット	必殺技	強 タイガーニークラッシュ		↓↘→ + 強K	22	22-40	22-25, 30-40	18	D	-5	SA3	1400		3000	-8000	-8000	1500	上	24-43F 空中判定|初段の攻撃持続3～4F目に特定の位置でヒット時、1300ダメージに変化し吹き飛び時間延長
サガット	必殺技	OD タイガーニークラッシュ		↓↘→ + KK	19	19-36	19-21, 26-36	18	D	-2	SA2	1600	始動補正30%|コンボ補正20%	0	-7000	-6000	1200	上	21-38F 空中判定|近距離ヒット時吹き飛び時間延長
サガット	必殺技	弱 タイガーネクサス		↓↙← + 弱K	17	17-19		23	2	-5	SA3	500	始動補正20%	2000	-3000	-5000	500	上	25-28Fまで、タイガーマイト、タイガーグリード、タイガーノヴァに派生可|カウンター/パニッシュカウンター時吹き飛びダウン
サガット	必殺技	中 タイガーネクサス		↓↙← + 中K	20	20-22		23	2	-5	SA3	500	始動補正20%	2000	-3000	-5000	500	上	28-31Fまで、タイガーマイト、タイガーグリード、タイガーノヴァに派生可|カウンター/パニッシュカウンター時吹き飛びダウン
サガット	必殺技	強 タイガーネクサス		↓↙← + 強K	28	28-35	28-30, 32-35	20	4	-3	SA3	500		3000	-4000	-10000	700	上	ジャストパリィ時硬直2F増加|38-41Fまで、タイガーマイト、タイガーグリード、タイガーノヴァに派生可
サガット	必殺技	OD タイガーネクサス		↓↙← + KK	23	23-30	23-25, 27-30	20	4	-3	SA2	500		0	-4000	-10000	700	上	ジャストパリィ時硬直2F増加|33-36Fまで、タイガーマイト、タイガーグリード、タイガーノヴァに派生可
サガット	必殺技	タイガーマイト	（タイガーネクサス中に）	→ + 弱K	15	15-17		22	3	-5	SA3	800	始動補正20%	2000	-2000	-5000	600	中	空中ヒット時床バウンド
サガット	必殺技	OD タイガーマイト	（ODタイガーネクサス中に）	→ + 弱K	15	15-17		22	3	-5	SA2	800	始動補正20%	0	-2000	-5000	600	中	空中ヒット時床バウンド
サガット	必殺技	タイガーグリード	（タイガーネクサス中に）	→ + 中K	17	17-19		17	D	4	SA3	1000	コンボ補正20%	3000	-8000	-5000	600	上	空振り時硬直2F増加
サガット	必殺技	OD タイガーグリード	（ODタイガーネクサス中に）	→ + 中K	17	17-19		17	D	4	SA2	1000	コンボ補正20%	0	-8000	-5000	600	上	空振り時硬直2F増加
サガット	必殺技	タイガーノヴァ	（タイガーネクサス中に）	→ + 強K	21	21-23		19	D	2	SA3	800	コンボ補正20%	2000	-3000	-5000	600	上	
サガット	必殺技	OD タイガーノヴァ	（ODタイガーネクサス中に）	→ + 強K	21	21-23		19	D	2	SA2	800	コンボ補正20%	0	-3000	-5000	600	上	
サガット	スーパーアーツ	SA1 タイガーキャノン		↓↘→↓↘→+ P	13			全体 109	D	-31		2200		0	-2500	-5000	0	上・弾	1-13F 打撃・投げに対して無敵|最低保障ダメージ30％|カウンター/パニッシュカウンターで数値が変動しない
